Question,Answer
Q: This is a United States Holocaust Memorial Museum interview with,A: Maria Pawulska Rasiej.
Q: Rasiej. Rasiej. And what was your maiden name?,A: Pawulska.
"Q: Ah, Pawulska. Okay, can you tell me where you were born, and when you were","A: I was born in Lvov, Poland, and I was born on the December 8"", 1926."
"Q: Okay. Can you -- what were your parents"" names?","A: My mother was Maria also, or Maria, and my father's name was StanislawPawulski."
Q: Pawulski.,A: Mm-hm.
Q: And did you have brothers and sisters?,"A: [have two brothers. One is Tadeusz, and the other one is Jerzy(ph)."
Q: Are they older or younger than you?,A: Younger.
"Q: Okay, so you were the oldest in the family?",A: Yes.
Q: Okay. Tell me a little bit about your parents. How did your father support the,A: He was the al -- an -- officer in the Polish army.
Q: Okay.,A: He -- for most of the -- of his life.
Q: He was a career military man.,"A: Career. He started in the first World War was [indecipherable], the first, beforePoland became independent in 1914, til he was taken prisoner by Soviets in 1939."
"Q: Okay. We're -- when you were growing up, if he was an active army officer,","A: He usually spend the time with his battalion, or group of sol-soldiers, or going af-- for example, maneuvers, or also introducing to the teenagers or hi -- teenagers, oryoung people as high school, into a kind of preparation for a military high school,or military preparation, as in the case of emergencies. And he was usually out of the The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.Interview with Maria Pawulska Rasiej degMay 8, 2013house for most of the hours that usually people in -- who are working were, usuallyfrom about eight o'clock until four o'clock at -- in the afternoon. And then he hadsometimes meetings with -- at his place at the quarters where his army post was.And sometimes soci -- social events, sometimes in the parades. I think he had -- atone point was the adjutant of the general who was chief officer of Lvov. So as anadjutant he would stand at the place where the parade was being received by thepresident of the city. And -- that I remember even --"
Q: Yeah.,"A: --as a small child, I was so very proud of him standing there. He had special -- atthat time he had a special kind of uniform of [indecipherable] which mean thesoldiers of [indecipherable] in Poland, which had similar hat like the[indecipherable] mountaineers. And had the -- by the hat, they had the eagle --"
Q: On the side.,A: -- on the -- the eagle feathers.
Q: Mm-hm.,A: Feathers.
"Q: Ah, either fe --","A: An-And instead of the coat, it was a peleryna, which is the --"
Q: A cape?,A: A cape.
Q: I see.,A: So that he was unique in that sense.
Q: What was his rank?,A: He was a captain.
"Q: He was a captain. And was there an army base, a military base then, in Lvov?","A: Oh, but several. Italians, or several, how you call it, the -- the bi -- it's a big -- wasa very big city, so it had a lot of different kinds of [indecipherable] my father waswith the -- how you call the -- the unit, the marching people, the soldiers, footsoldiers."
Q: Infantry?,A: Infantry.
Q: Okay.,A: And there -- there was a cavalry and there was the heavy armored --
Q: Artillery.,"A: --ra-- artillery, light artillery, and also the air force. They had the small -- therewas an airport for -- for the army, so -- for the air officers in Lvov, called[indecipherable]. And sometimes he was, as a matter of fact, toward the end of his The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.7Interview with Maria Pawulska RasiejMay 8, 2013career, he was in charge of security of being in adven -- infantry, taking security ofthis Polish air for -- at Lvov --"
Q: The airport.,A: -- air force -- air -- airport.
