Question,Answer
Q: This is a United States Holocaust Memorial Museum interview with,A: Sure.
"Q: So, can you tell me what was the date of your birth?","A: June 10"", 1934."
Q: Okay.,A: In Vienna.
"Q: That was my second question, where were you born?","A: Vienna, Austria."
Q: Okay. And what was your name at birth?,A: Erika Tamar.
Q: Erika Tamar.,"A: I reverted back to my maiden name.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.4Interview with Erika TamarDecember 18, 2015"
Q: Okay. Tell me -- tell me a little bit about your family. What were your father's na,"A: My father's name is Julius Tamar, my mother is Pauline Hutterer Tamar. Myfather was a physician, and he practiced in Vienna. He graduated from Universityof Vienna Medical School. But both my parents were originally from Poland,which explains a little bit why my brother and I had to come separately, because wewere Viennese born, which was one quota system. Polish born was a wholedifferent quota system."
"Q: We"" ll get there. We"" ll --",A: My -- my parents --
Q: Yeah.,A: Much harder --
Q: Yeah.,"A: -- to, you know, get --"
Q: To come to the United St --,"A: -- to come to the United States. Almost hopeless because there was a longwaiting list. Am I going on too long, or --"
"Q: No, no, no, no, I will ask questions.","A: Yeah.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.5Interview with Erika TamarDecember 18, 2015"
"Q: What we're going to start with though is, rather than the trip to the United",A: Okay.
Q: About your family's situation. Can you repeat again your mother's maiden,A: Hutterer.
Q: Hutterer?,"A: Hutterer, h-u-t-t-e-r-e-r."
"Q: Okay, and --","A: And both my parents born in Poland, my father came to Vienna to go tomedical school, and remained in Vienna. And my mother had met him in Poland,th-then joined him at the university."
Q: Okay.,"A: I don't know if she was a serious student, or she was following my father,frankly."
Q: Yeah.,"A: And then they lived in Vienna, though they still had families in Poland."
Q: Do you know what part of Poland?,"A: What part of Poland? That -- it was more than one town, but the one that mymother was from, and talked about the most was, if I pronounce this, Przemysl."
Q: Przemysl.,A: Przemysl.
Q: Okay.,"A: But they also had a lumber mill, which I believe was in Katowice. This was herparents."
"Q: Her parents, okay. Did she have brothers and sisters?","A: Yes, she did. She had two brothers, one sister. My father had brothers andsisters. I know less about his family than I do about my mother's, because shetalked more --"
Q: Okay.,"A: -- you know, about her history."
Q: Did these -- did these brothers and sisters remain in Poland?,A: Yes.
Q: And -- from both sides of the family?,A: Yes.
