Question,Answer
"Q: We're...we're on. The camera's starting. Would you tell me your full name, please?",A: My name is Leo Schneiderman.
"Q: Where were you born, and when? Q: Leo, tell me about your childhood. I want to know about your family first.","A: Well, my family, uh, was...I had, uh...two brothers and a sister. My father owned a very small store in Poland for supplies, uh, shoemaker supplies. We were not considered on the poverty level, but, uh, we were comfortable before the war. I went to a private Jewish school, because my parents believed in, uh, a Jewish education--but secular, not religious. We were never strictly religious; but I would call ourselves traditional Jews.When the war broke out, uh, I was eighteen years old."
Q: Let's talk a little bit more before the war. I want to know something.,A: Uh huh.
"Q: Tell me about...what was Lodz like, pre-Hitler?","A: Well, Lodz was a industrial city, about the second largest city in Poland. It was...it had a large Jewish population. I'd say about a hundred and seventy-five thousand Jews used to live in Poland [NB: in Lodz]. Uh, most of the Jews were concentrated in uh...in one area.It was voluntarily, because they...they like just to live.... It was just, I would call it, a voluntary ghetto; because they like to, to stick to each other. They...they had a cultural life. There were three Jewish theaters, three daily newspapers. It was a publishing house.It was Jewish schools, which I attended one of them. It was also a very active religious life and a political life. Uh, it was swarming with the unions and, uh, political parties. It was really a bustling Jewish life, in the city of Lodz. A lot...most of the Jews were in textile industry. Uh, many of them, uh, used to take out work from the factories, and they did it at home; and by the end of the week they'd put it back together and they'd send it in. It was those...uh weavers, hand weavers, mostly. It was a large industry in...in Poland.After I finished school, you know, for a Jewish young kid, it was uh.... In, in our class, I could not afford any higher education. I went to learn a trade, as an apprentice.What...[some (ph)] went as weavers, tailors, shoemakers. Well, I choose to be a tailor; and for a few years I worked as an apprentice even without getting paid. Just for thebenefit to learn the trade. And later on, I start to make a little money. And then come the war. War broke out, I was about eighteen years old."
"Q: Alright. Tell me what happened the day the war broke out. Q: Leo, tell...tell me about a day in your life. What was it like for Leo Schneiderman?",A: During the war?
"Q: Tell me what you did, and what your family did?","A: OK. When we get up in the morning, all four of us, we had to prepare for work. | start off with...with my mother. My mother worked at a...at the place where they used to, to, to...fuel, to distribute the fuel for the house. Coal. It's a.... So she had to go to work in order to get that pot of soup. My sister went to work in a...in a...a place where they used to make shoes out of straw; used for the German army on the front, so when they stood guard they shouldn't freeze their feet. So those big shoes she used to make out of straw.My little brother worked in uh one of the tailor shops, in the office; he was a runner. And I went to work as a tailor in the factory for uniforms. When we came to work in the morning, we start...we started uh by...by the machines, of course, and we were making the German uniforms. But uh the minute I sat down, un...until we finish, that's all it was in my mind at that time is twelve o'clock when we will go, we'll have a break and we'll get something to eat. Because I was constantly hungry. The...the hunger didn't leave me, because the little food that we had at home uh in, in the morning--it was one piece of bread that I ate in the morning, and the se...the other piece I took with me to have it in the shop. And L...I kept it in my pocket, or I kept it in in the pot that I took with me for the...for the soup. Everybody had a little pot with them. And we could not wait; and this was everybody. The whole day, it was in my mind. In the meantime, work has to be done.It was strictly controlled. And twelve o'clock, the minute we have the break we have to...everybody was running for the soup. This was the major event in the...in the day. After work, we came home. Uh if it was summer, it was bearable. In the wintertime, it was no fuel. It was cold. Uh, most of the furniture was gone already because we break, broke it up and burned it just to keep warm. And the minute we were ready with that little supper that we had from the...we, we finished it all together. And then we went to bed, to...even just to keep warm. Uh, and this...when it...most of the time uh, we stood [NB: stayed] in bed. The summertime, when it was warm, we used to go out. We also had to go to stay in line for the rations to...to get. And sometimes uh the staying in line meant hours. And me being the...the man of the house, it was up to me; because I would not have my mother standing in line, or my sister or my little brother, but it...it was up to me to...to bring inthe food from the rations. And uh it was very little left for social life. Me being eighteen, nineteen year old--for some people this is the golden age. Uh, I spent my eighteen and nineteen and twenty years in...in the ghetto of Lodz. Always hungry, always tired, uh overworked, and with no hope for the...for the future. I didn't see any hope. Later, after a few years, I got involved in...in, in some educational project. We started to...to write. I particular was interested in writing something about the ghetto. And I developed some...people say that I did develop some talent for poetry, which later on it was used by some Jewish dramatists like [Jonah Stogow (ph)]. I was also at one time involved in teaching Yiddish, because I was a student of the Yiddish school in...in Lodz, of the [Medem (ph) school. And we taught. It was...this was illegal. It was not allowed to teach. My students were not the children, actually. It was young uh girls--uh, at the age of fifteen, sixteen-- who were interested in knowing, because before the war they went to Polish school and Yiddish was strange to them. In the ghetto, they got that chance. They considered this part of the social life; and also beneficially, because they learned a language. And to me, it was very rewarding, very satisfactory for a while. And for the...for a few years, actually, I did that kind of teaching in Yiddish."
Q: You told me before about a particular man in the ghetto who was particularly cruel.,"A: Yeah. Uh it was one German guard. He took some pleasure in abusing people physically.It was a part of the ghetto where you used to cross from one...from one side to the other, under guard. And this man many times stood there at those gates. And uh if he didn't like somebody, or he went too fast, or he didn't take off his hat in the right way, or he'd walked too slow, he went over to him (cough) and he punched him several times. And that's how (cough) he got the name of ""The Boxer,"" because he used to box people. I looked at that man several times, and somehow he registered in mine brain. At one time-- it was in 1942, before that action that we used to call the ""Sperre"" [Translation: ""Closing,"" ""Closure"" (Ger)], that we were ordered for eight days not to leave the house and they selected all the people that got too weak to work anymore. The children--it were illegal to have children in...in the ghetto. The sick, the olderly [NB: elderly], that they considered useless people. But that...before this action actually started, they...they...all of a sudden, they attacked the ghetto. They came in like a surprise, and they surrounded the hospital. And like wildfire the news spread that the Germans surrounded the hospital on Lagowniecka Street. Before the war, this used to be the ...the....also a ""ambulance""--like social...social medicine station [NB: perhaps ""ambulatorium"" (Pol), an outpatient facility of a hospital]. Kasa Chorych [NB: former National Health Service]. And we run over there. It so happened that one of my friends was a patient at that hospital; because he had an attack, they took him to that hospital. And when I heard, the first name that came to my mind, ""Oh, my God, Josek Feldman is in the hospital!"" And I run over and stood there. I still had an hour before going to work, so I stood there for the hour and watched.What I saw, it's hard to describe, even. Wagons standing below the building, and nurses bringing out the patients and put them on the wagons. Uh some patients going on themselves; like uh I saw them, they're going to the wagon. And then I saw from thesecond floor, they opened the window and people were throwing out sick people into the wagons. And who is there conducting the whole operation? That ""Boxer""! Well, after the war at one time I read in the paper that somebody is looking for me, that the the.... It was to the Jewish World Congress that were looking for me as a witness for that ""Boxer."" Of course, I immediately replied; and I was called to the German Consul in Chicago and I was told that somebody gave my name that I know what happened in that...in that day. I said, ""I certainly do."" I still don't know until today who gave my name; but I went to Germany and I testified against that ""Boxer,"" which I found out that his real name is ""Krisom"" because that's how they referred to him, ""Herr Krisom."" And I was asked by the prosecutor to...to tell what I know about him; and I told them the story about that hospital, what's happened in that...in that day. Uh, his lawyer asked me a question, if I know for sure that the people were thrown out from the windows into the wagon. He said how do I know for sure they were thrown out? Maybe they jumped out, out of fear, when they saw the troops. They jumped out by themselves. So my question to him was, ""How about the stretchers?"" People on stretchers. And also: belongings, packages, suitcases, bottles. Altogether were thrown out into the.... And then another question was put to me: ""Weren't you afraid to stay there and watch all this, with all the Germans around--with that ""Boxer,"" that you call him, around? Weren't you afraid to stand there? You told me that he used to beat up people he didn't like."" So I told them that I think that they wanted us to stay. If they wouldn't want us to stay there, they would chase us away. They want us to stay and observe all that fear, all that cruelty, that I did. Then the only defense was, from the lawyer in that same, that I mistake him for somebody else. They never denied that such action happened there by the hospital. The only defense was: maybe it was somebody else, not him. And sure enough, this was forty years later. I said, ""Looking at that man I don't know if this is the man. I only know the ""Boxer."" And if he was the ""Boxer,"" he was the man."" They showed me pictures from the past. I recognized him immediately. And then they showed me different kind of hats that he wore, and I picked his uniform. I picked his cap that he wore, and it was established that he was the one.And then the defense went--not referring to me, but referring to the prosecutor--that it was a cruel war and every man in the war had to follow the orders, and this was the orders. But I establish one point: that that action...that this man, Herr Krisom--or that one that we called ""The Boxer""--was in charge of that operation."
Q: When and where was this trial?,"A: The trial was in Bochum (Westphalia), West Germany. It was outside of Diisseldorf. It was in 1978. I don't recall the exact date."
Q: Thank you. Let's go back to the ghetto in Ledz.,A: Yeah. Yeah.
Q: Are there any other stories or incidents that you remember from Lodz that are important that you want to tell us?,"A: Well, the most important is during the liquidation when we were running from the transports, we were trying to stay in the ghetto, not to go away. Because to go away to nowhere, to a unknown destination, it's frightening. We don't know where. They..."
