Question,Answer
"Q: This is a United States Holocaust Memorial Museum interview with Mrs. Stanistawa Synowiec Tobis, on January 28, 2015, in Chicago, Illinois. Thank you very, very much, Mrs. Tobis, for agreeing to speak with us today, and to share your experiences of what happened to you and your family during World War IL. I'm going to start our interview by talking an awful lot about what pre-war life was like, so that we get a better understanding of how things really changed for you when the war actually occurred. So my very first question is; could you tell me the date of your birth?",A: 10-17-1928.
"Q: So that would be October 17"", 1928?",A: Right.
Q: Okay. And where was the place you were born?,"A: Osada Brantowce, gmina Lyskow, wojew6ddztwa Wolkowysk, bial -- Bialystok -- no, wojewedztwa Bialystok. Oh, I am mixed up."
"Q: So you were telling me the place, then the larger district, and then the larger region.",A: Right.
Q: Is that right?,A: Right.
Q: So what's the name of the place itself? Th-Th-The very place you were born.,A: Osada Brantowce.
Q: Brantowce.,A: Right.
Q: And what does osada mean?,"A: Osada means a settlement my father received for being a soldier in the firstWorld War. As a young boy he joined, and he --"
"Q: We'll talk about that then, so --",A: Right.
"Q: This was a settlement, which was as a result -- that your family moved to as a",A: Right.
"Q: Okay, and it was called Brantowce.",A: Right.
Q: Okay. And what was your name at birth?,A: Stanislawa Synowiec.
Q: Did you have a baptized name?,"A: Yes.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.5Interview with Stanistawa TobisJanuary 28, 2015"
Q: What was that?,A: Stanislawa Helena.
"Q: Helena, okay. Tell me a little bit about your father, since we started talking",A: Wawjeenitz(ph).
Q: Wawjeenitz(ph).,A: Synowiec.
"Q: And was he from that part of Poland, or did he come from someplace else?","A: No, he came from Opoczno."
Q: And where is Opoczno?,A: Opoczno is in the western part of Poland.
"Q: Okay. Did he come from a small family, or a large family?","A: A small. Three -- three boys, and the parents."
"Q: And a-- which one was he? The youngest, the oldest?",A: He was middle.
"Q: Of course he'd be the middle, because I said the youngest and the old. What","A: only --I don't even -- I know -- A2: Was [inaudible] or no? The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview. The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record. Interview with Stanistawa Tobis (r) January 28, 2015"
"Q: Of course he'd be the middle, because I said the youngest and the old. What",A: [know only children's names.
"Q: Okay. Did you ever meet your uncles, your father's brothers?","A: Brothers, no. Only son who --"
Q: Of the brother.,"A: -- of the brother, of the -- I think younger brother, who lived in wa -- eastern partof Poland also, and he was deported to -- not to Siberia, because it was in the lastdeportation in April of -- no, June of 1941 -- no, 1940, 1940, the same year. And --and he ended up in Polish army."
"Q: So that was your uncle, or the son of your uncle?",A: Son of a-- of uncle.
"Q: Okay, uncle was not deported.","A: No, a-- uncle died before the war."
Q: Okay. Did you know your father's parents?,A: No.
Q: Okay.,"A: My father didn't have -- my father's father died before the first World War. Andthen his mother was taken care of by the older -- oldest brother, so there was nogood relationship with the good brother, because he didn't, I think, do a gooddividing of the property. So-- so my -- my father just left to the army, and then The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.7Interview with Stanistawa TobisJanuary 28, 2015never -- never went back to him. But he had better relationship with his young --middle brother -- no, not middle, youngest brother, who lived in --I for -- I'mforgetting -- closer to Lithuania. Lida(ph)."
Q: Lida(ph).,"A: He -- he -- he lives in le -- Lida(ph). And his son was de -- deported to Russia, butthen he joined the arm -- Polish army."
Q: I see. So there were deportations from Lida as well?,A: Right.
Q: Okay. But they were both -- so both brothers ended up in the same general part of,"A: Right, right."
Q: Okay.,"A: But he lived in a city, and he was not given such a reward for being in -- inMarshall Pilsudski army. So -- so he was co -- kind of better -- in a better pos --position."
"Q: That is, your father was?","A: Than -- no, no, my father was better."
Q: Yo -- your father was in a better position.,"A: Yes, mm-hm.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.8Interview with Stanistawa TobisJanuary 28, 2015"
