Question,Answer,topics
Q: Uh-huh. And you were born Doris -- as Doris --,A: Dora Costinski (ph).,"{
  ""topic1"": {
    ""topic"": ""Jews and Jewish identity, false papers"",
    ""topic_reason"": ""The person is providing their name with a different spelling, indicating that they may have used false or adapted identification papers during the Holocaust""
  },
  ""topic2"": {
    ""topic"": ""Birth, living situation, camp life"",
    ""topic_reason"": ""The person's birth name and surname suggest Jewish heritage, while the adaptation of 'Dora' instead of 'Doris' might imply a change in circumstances or identification during their time in a camp""
  },
  ""topic3"": {
    ""topic"": ""Actions, choices, and intentions"",
    ""topic_reason"": ""The variation between their birth name and provided name could indicate a strategic decision to conceal or adapt their identity for protection or survival purposes""
  }
}"
Q: Dora Costinski. Who are your parents?,"A: My parents came from Poland, but my father was a prisoner in the first World War taken by the Germans and that's how he got to Germany. And that's how my sister and I were born there.","{
  ""topic1"": {
    ""topic"": ""Germany, Germans"",
    ""topic_reason"": ""The mention of Germany and its connection to the speaker's father being a prisoner in World War I indicates that this topic is relevant to the conversation.""
  },
  ""topic2"": {
    ""topic"": ""Poland, Polish"",
    ""topic_reason"": ""The speaker mentions their parents coming from Poland, which establishes a connection to Poland and its people.""
  },
  ""topic3"": {
    ""topic"": ""Interactions with Germans, Aryan identities"",
    ""topic_reason"": ""The speaker's father being taken as a prisoner by the Germans during World War I and how it affected his life implies interactions between Germans and Jews, making this topic relevant to the conversation.""
  }
}"
Q: What were your parents names?,"A: My father name was Max Mosik in Polish or Hebrew, Moshe. Whichever name you want to pick.","{
  ""topic1"": {
    ""topic"": ""Jews and Jewish identity, false papers"",
    ""topic_reason"": ""The respondent provided a non-standard way of referring to their father's name, which is common in some Jewish communities.""
  },
  ""topic2"": {
    ""topic"": ""Interactions with SS and SS actions"",
    ""topic_reason"": ""The mention of 'name you want to pick' could be seen as an attempt to deceive or mislead the interviewer, similar to how some people might use false identification documents in Nazi-occupied territories.""
  },
  ""topic3"": {
    ""topic"": ""Birth, living situation, camp life"",
    ""topic_reason"": ""The respondent provided a personal detail about their father's name, which could be related to their experience of living in a Jewish community or during a time of persecution.""
  }
}"
Q: Uh-huh.,A: My mother was Hilda Moyim (ph) and in German Maria.,"{
""topic1"": {
  ""topic"": ""Jews and Jewish identity, false papers"",
  ""topic_reason"": ""The person provided a name that is commonly used for people of Jewish descent, specifically \""Moyim\"" which is an Yiddish term for \"" Jew\"", indicating a possible Jewish background. However, the use of the German alternative \u00d6hne\"" suggests a German-speaking Jewish family or a Jewish person who was more comfortable using their father's language.""
},
""topic2"": {
  ""topic"": ""Jews and fate of Jewish community"",
  ""topic_reason"": ""The mention of a Jewish surname \u00d6yim/Moyim, along with the use of a common German variant for the name, indicates a possible connection to the Jewish community. This is reinforced by the context of discussing family history.""
},
""topic3"": {
  ""topic"": ""Interactions with SS and SS actions"",
  ""topic_reason"": ""The mention of Hilda Moyim/Maria suggests that this person or their family may have had interactions with the SS, potentially as victims of persecution. The use of a German name variant further supports this interpretation.""
}"
Q: Uh-huh. And you see -- you had two sisters?,A: [had one sister.,"{
  ""topic1"": {
    ""topic"": ""Family (background, what happened to)"",
    ""topic_reason"": ""The conversation mentions having two sisters, but the person corrects that they actually only have one""
  },
  ""topic2"": {
    ""topic"": ""Actions, choices, and intentions"",
    ""topic_reason"": ""Although not explicitly stated, the person's correction implies a choice or decision about how to present their family situation""
  },
  ""topic3"": {
    ""topic"": ""Days, daily life, daily routines"",
    ""topic_reason"": ""The conversation touches on everyday aspects of life, like having siblings and family dynamics""
  }
}"
Q: One sister.,A: And one brother. I'm the youngest one. I was.,"{
  ""topic1"": {
    ""topic"": ""Jews and fate of Jewish community"",
    ""topic_reason"": ""The conversation mentions a family with multiple siblings, specifically highlighting the youngest sibling, indicating a personal experience within the Jewish community""
  },
  ""topic2"": {
    ""topic"": ""Birth, living situation, camp life"",
    ""topic_reason"": ""The mention of being the youngest and having a brother suggests a context that could relate to life in a concentration camp or similar setting""
  },
  ""topic3"": {
    ""topic"": ""Family (background, what happened to)"",
    ""topic_reason"": ""The conversation implies a family with multiple siblings, which may be relevant to understanding the individual's experience and background within their community""
  }
}"
Q: What were their names and when were they born?,A: My brother?,"{
  ""topic1"": {
    ""topic"": ""Family (background, what happened to)"",
    ""topic_reason"": ""The mention of 'brother' suggests a familial relationship, which is closely tied to the family aspect of the Holocaust""
  },
  ""topic2"": {
    ""topic"": ""Men (fathers, sons, brothers, husbands, uncles)"",
    ""topic_reason"": ""The use of the word 'brother' implies a male family member, but the context and lack of further information make it unclear if this is a specific brother or a general reference""
  },
  ""topic3"": {
    ""topic"": ""Birth, living situation, camp life"",
    ""topic_reason"": ""The mention of a personal relationship (brother) may be connected to their birth or living experiences during the Holocaust, but the context is too vague to confirm""
  }
}"
Q: Uh-huh.,"A: My brother's name was Alan Baer Costinski. He want that last name. And he was born in Larch, Poland. And he came with my mother just shortly before the -- the first World War to Germany.","{
  ""topic1"": {
    ""topic"": ""Jews and Jewish identity, false papers"",
    ""topic_reason"": ""The response mentions a person's last name being changed from 'Baer' to 'Costinski', suggesting that they had to falsify their Jewish identity in order to obtain a visa or travel documents, which is consistent with the experiences of Jews trying to escape Nazi persecution.""
  },
  ""topic2"": {
    ""topic"": ""Jews and fate of Jewish community"",
    ""topic_reason"": ""The response provides information about a person's family history, including their birthplace in Poland and their migration to Germany before the first World War, which can be seen as relevant to understanding the broader impact of the Holocaust on the Jewish community.""
  },
  ""topic3"": {
    ""topic"": ""Jews and Jewish identity, false papers"",
    ""topic_reason"": ""The response also mentions a person's desire to change their last name from 'Baer' to 'Costinski', which could be seen as an attempt to hide or disguise one's Jewish identity, a common experience for Jews during this time period.""
  }
}"
Q: With your mother only?,"A: Yeah. Because my father was a prisoner in a German prison camp. And she knew about it. She walked all the way from -- but the Germans came and they took everything away and there was nothing left. She had two more children younger than the one that I knew, and that's a boy and girl, but they both died, I really don't know how. But the Germans came in and they -- that's the first World War.","{
  ""topic1"": {
    ""topic"": ""Jews and fate of Jewish community"",
    ""topic_reason"": ""The speaker shares a personal experience of growing up with their mother, who had to endure significant hardships due to the loss of her husband in a German prison camp during WWI. The speaker also mentions having younger siblings who died under unknown circumstances, highlighting the fragility of the Jewish community during this time.""
  },
  ""topic2"": {
    ""topic"": ""Interactions with and feelings about Germans, Aryan identities"",
    ""topic_reason"": ""The speaker expresses a complicated relationship with Germans, as their father was a prisoner, and their family experienced loss and hardship. The mention of 'Aryan identities' suggests a nuanced exploration of the complexities surrounding this topic.""
  },
  ""topic3"": {
    ""topic"": ""Encounters with Germans"",
    ""topic_reason"": ""The speaker shares a personal account of interactions with German authorities, who took away their family's belongings and killed younger siblings. This experience highlights the harsh realities of encountering Germans during WWI.""
  }
}"
Q: Uh-huh.,"A: And they destroyed everything and there was nothing left for her. So when she only had that one little boy left, she took him and she walked all night. And during the day, she stopped over somewhere on a farm, and only nights she walked until she -- by the time she reached the border from Poland to Germany, the war was practically over and she just walked across. And she went to the prison camp where my father was and they got together. And there was nothing to go back to to Poland. So they stayed in Germany.But then later on after they got a little established, my sister was born in 1921 and I was born in 1923.","{
""topic1"": {
  ""topic"": ""Action, decision, and choice"",
  ""topic_reason"": ""The interviewee describes the actions taken by the woman to protect her child, including walking at night and during the day, and eventually reaching a border where she could find safety. This demonstrates a clear example of action and decision-making in the face of traumatic circumstances.""
},
""topic2"": {
  ""topic"": ""Survival and rescue"",
  ""topic_reason"": ""The interviewee shares her story of survival, including walking with her child to safety and eventually finding a prison camp where she could be reunited with her father. This narrative highlights the challenges faced by those trying to survive during the Holocaust.""
},
""topic3"": {
  ""topic"": ""Family and community"",
  ""topic_reason"": ""The interviewee mentions the birth of two children, her sister and herself, which suggests a sense of normalcy and family life in the aftermath of the war. This example illustrates how survivors were able to rebuild their lives and form new communities."""
