Question,Answer,topics
"Q: This is a United States Holocaust Memorial Museum interview with Mr. Elio Grandi, on March 3"", 2015, in Springfield, Virginia. Thank you very, very much Mr. Grandi, that you've agreed to meet with me today, and to share some of your experiences during World War II, and to explain a little bit about those circumstances. It's very much appreciated. And I'll start, as I mentioned before, before the interview, I'll start with a lot of questions from before the war, in order for people to get a better sense of what your life was like, what were your young years like, what was the pre-war life like, and a little bit about you. So, Pll start at the very beginning. Can you tell me your name at birth? Was it the same?",A: Cornelio Giacomo Emilio Grandi.,"[1, 2, 3]"
Q: And what -- when were you born? What was the date of your birth?,"A: Nove Aprile, mille nove cento venti quattro.","[1, 2, 3]"
Q: And how were --,"A: April 9, 1924.","[1, 2, 3]"
"Q: 1924. And -- there is a noise just -- that just started. Hang on. [break] Okay, now there's no noise, and we know your name was quite long at birth, a very long one.","A: Correct.ontectnetbnancedjushetnney for father Hlonmalberabouttfiseetecion Interview with Elio Grande , March 3, 2015","[1, 2, 3]"
Q: Where were you born?,A: In the city of Boston.,"[1, 2, 3]"
Q: Of Boston?,A: Yes.,"[1, 2, 3]"
Q: In Massachusetts?,"A: Massachusetts, Massachusetts. Massachusetts General hos -- Hospital.","[1, 2, 3]"
Q: Really?,A: And I got a--a story to tell about it.,"[1, 2, 3]"
Q: Tell me about it.,"A: It is now around my oct -- doctor, who is the son of my godfather.","[1, 2, 3]"
Q: Really?,A: He's the manager -- managing doctor at Massachusetts General.,"[1, 2, 3]"
"Q: Had your family been in the Boston area for a long time, when you were born?",A: No.,"[1, 2, 3]"
Q: Tell me about that. When had they come to the United States?,"A: My father came for the second time, on the 19"" of the month, I don't know the day, I know the year.","[1, 2, 3]"
Q: What was the year?,"A: Nine -- 1919, ""19, one-nine.ontectnetbnancedjushetnney for father Hlonmalberabouttfiseetecion Interview with Elio Grande deg March 3, 2015","[1, 2, 3]"
Q: So it was 1919 when he came.,A: Right.,"[1, 2, 3]"
Q: Five years before you were born.,A: Right.,"[1, 2, 3]"
Q: Okay.,"A: Nine years after my -- my birth, he sent the family to Italy, that he lost 2,000 dol -- dollars, when the banks closed.","[1, 2, 3]"
"Q: Oh, you mean, after the -- the crash?",A: After the cra -- cra --,"[1, 2, 3]"
Q: After the -- af -- uh-huh.,"A: So he decided to return to Italy, where we were -- he was from.","[1, 2, 3]"
"Q: Okay. We'Il talk about that, but now I still want to talk a little bit about Boston.","A: I--I was in bo -- Boston, until I was fi -- 10 years old.","[1, 2, 3]"
"Q: So, did you grow up in the North End?","A: Yes, Commonwealth Ave.","[1, 2, 3]"
"Q: Oh, you grew up on Commonwealth Avenue?ontectnetbnancedjushetnney for father Hlonmalberabouttfiseetecion Interview with Elio Grande deg March 3, 2015","A: Yes, but I don't remember nothing. The only thing I remember is what my mother told me, that I had pneumonia twice in 10 years. And that's the only thi -- thing I remember.","[1, 2, 3]"
Q: Did you have brothers and sisters?,"A: A twin brother, a sister, and an older bro-brother.","[1, 2, 3]"
Q: What was your twin brother's name?,A: Sil-Silvio.,"[1, 2, 3]"
Q: Silvio.,"A: And the reason he had such a qu-queer name for an Italian fellow, was because the consul of Italy, in New York, in wa -- in Boston --","[1, 2, 3]"
Q: In Boston.,"A: -- was a friend of my -- my father. And he kept saying that my mother was expecting twins. And one day my father told him, okay, if they're twins, Ill name the second one Silvio. Are you happy? He says, yes. The second one Silvio. So my brother carried that name to his death.","[1, 2, 3]"
Q: And -- and that was after the consul in -- in Boston. That is -- was Silvio the name of the counsel?,"A: Yes, course.","[1, 2, 3]"
"Q: Yeah, yeah. How cute. He was very prescient, that he predicted twins.ontectnetbnancedjushetnney for father Hlonmalberabouttfiseetecion Interview with Elio Grande "" March 3, 2015",A: That's right.,"[1, 2, 3]"
Q: Yeah.,"A: Well, in those days, they went by volume. And there's a picture of my mother, which was a few days, I guess, before the birth.","[1, 2, 3]"
Q: So she must have --,A: It's enormous.,"[1, 2, 3]"
"Q: Yeah, yeah.",A: Compared to what they -- they -- to what they do to now.,"[1, 2, 3]"
"Q: Yeah. So, in your -- were your brother and yourself the second oldest, or were you the youngest? Where in this family of siblings --",A: The one before the youngest.,"[1, 2, 3]"
Q: Okay. So you're --,"A: My daughter -- my -- my mother had a -- a daughter, finally.","[1, 2, 3]"
Q: So thr -- four boy -- three boys and then a girl.,A: Right.,"[1, 2, 3]"
Q: Okay. What was your sister's name?,A: Paola.,"[1, 2, 3]"
Q: Paola.,"A: That's because my father's name was Paulo.ontectnetbnancedjushetnney for father Hlonmalberabouttfiseetecion Interview with Elio Grande deg March 3, 2015","[1, 2, 3]"
Q: Paulo.,"A: My father was very difficult to get anything from him. If there was ever a plus for him, he was all o-over you. But unless there was something for him to gain, it was imma -- immaterial.","[1, 2, 3]"
Q: Also with his children?,A: With the world.,"[1, 2, 3]"
Q: Oh. That must have been quite difficult for you.,"A: Well, he wasn't the easiest father to -- to live with.","[1, 2, 3]"
"Q: What did he do in Boston, what was his work?",A: He sold Italian -- what do you eat?,"[1, 2, 3]"
Q: Foods?,A: Food.,"[1, 2, 3]"
Q: Yeah?,A: Food were lar-largest Italian sales company.,"[1, 2, 3]"
"Q: So imported food from Italy, he would sell?",A: Most -- mostly.,"[1, 2, 3]"
"Q: And -- and can you describe a little bit about your home on Commonwealth Avenue, or do you have any memories of it?","A: No memory.ontactrefieannedjustanmiang er hither btemelortabnattfiexaliaton Interview with Elio Grande deg March 3, 2015","[1, 2, 3]"
"Q: No memory. At home, even in Boston, what language did you speak?",A: I don't know. I don't remember.,"[1, 2, 3]"
Q: Okay.,A: But I--I- I assume Italian.,"[1, 2, 3]"
Q: Okay.,A: But I don't know.,"[1, 2, 3]"
"Q: Was it your first language, by the way, Italian?","A: Oh yes, I--","[1, 2, 3]"
Q: Okay.,"A: Don't forget, I was six, seven, eight, nine and 10 years old.","[1, 2, 3]"
Q: Yeah.,"A: At 10 you don't get on -- on a pedestal, and start speaking a foreign language, or any language.","[1, 2, 3]"
Q: Did you go to schools? Did you start school in Boston?,"A: I don't know, I don't -- I don't remember.","[1, 2, 3]"
"Q: Okay, okay. Tell me a little bit about your -- hang on a minute. [break] What was your oldest brother's name?",A: Gastoni(ph).,"[1, 2, 3]"
"Q: Gastoni(ph)?ontectnetbnancedjushetnney for father Hlonmalberabouttfiseetecion Interview with Elio Grande "" March 3, 2015",A: Gaston(ph).,"[1, 2, 3]"
Q: Gaston(ph).,"A: I don't know how he got his name, but I think it was from some prominent figure in the newspapers at the time when, actually, he was born during the first World War.","[1, 2, 3]"
"Q: Oh, really?",A: Cause he was born in 1917.,"[1, 2, 3]"
Q: In Italy?,"A: In-- yes, in Padua.","[1, 2, 3]"
"Q: So, when your father came to the United States, did he come with a wife and a little baby, and that was it?","A: No, he came alone. For the second trip -- he came the first trip, there's no record of his coming. It was chur -- because he was a stowaway.","[1, 2, 3]"
Q: He was a stowaway.,A: He wa -- he was a stowaway to come to New York --,"[1, 2, 3]"
Q: I see.,"A: --and made his way to Boston. I don't know why, but somebody had a friend that was -- and he went to work for this firm of Italian [indecipherable] Italian foo- foods.ontactrefieannedjustanmiang er hither btemelortabnattfiexaliaton Interview with Elio Grande "" March 3, 2015","[1, 2, 3]"
Q: Okay.,A: Mortadella.,"[1, 2, 3]"
Q: Mortadella?,A: Yeah.,"[1, 2, 3]"
Q: You mean making mortadella? Making the food?,"A: I don't know whether he made it, or not, but Italian-American in Boston ate a lot of -- of Italian food.","[1, 2, 3]"
Q: Yeah.,A: Among which is mor-mortadella.,"[1, 2, 3]"
Q: Yeah.,A: Which I like tremendously.,"[1, 2, 3]"
Q: Me too. Me too. Tell me a little bit about your mother. What kind of a person was she?,A: Remis -- remissive.,"[1, 2, 3]"
Q: What do you mean by that?,"A: Anybody could say what they wanted about what they believed, and she would say yes. She had no opinion of her ow-own. She was a wonderful housekeeper.","[1, 2, 3]"
Q: Was she an influence on you?,"A: Not directly.ontactrefieannedjustanmiang er hither btemelortabnattfiexaliaton Interview with Elio Grande "" March 3, 2015","[1, 2, 3]"
Q: I see. Was your father an influence on you?,A: In the wrong way.,"[1, 2, 3]"
Q: Oh. Uh-huh. How would you describe that?,"A: Oh, he wasn't suppor-supportive. He wa -- the books and the [indecipherable] of must read books, a hundred volumes. Never read the first page --","[1, 2, 3]"
Q: Really?,"A: -- on any one. He just bought them to show, because he had people come for dinner at the house, and they had to go by where the store -- where all the books were.","[1, 2, 3]"
Q: Was he an educated man?,"A: Well, he had a -- a degree of -- that you re -- you recall -- what is it when --I can't think of the word.","[1, 2, 3]"
Q: He had a degree in -- did it -- was it higher education? A degree in higher -- what he -- did he go to college or university?,"A: No, he went to high -- to a high school, where he learned how to be a bookkeeper.","[1, 2, 3]"
Q: I see. A vocational type of school.,A: Right.,"[1, 2, 3]"
"Q: Okay.ontectnetbnancedjushetnney for father Hlonmalberabouttfiseetecion Interview with Elio Grande (r) March 3, 2015","A: But he did have that degree, so he could -- could have been a keeper.","[1, 2, 3]"
"Q: A bookkeeper, yes.",A: A bookkeeper.,"[1, 2, 3]"
Q: Yes.,A: Technically. But --,"[1, 2, 3]"
"Q: But -- but then, he didn't.",A: He -- he never -- he never practice.,"[1, 2, 3]"
"Q: Okay. So, if I understand correctly, you don't really have many memories of Boston at all, as a child.",A: The answer is yes.,"[1, 2, 3]"
"Q: Oh, you do?",A: I do not.,"[1, 2, 3]"
"Q: Oh, yes, you do not have memories, yes. So, can you tell me about what some of your earliest memories are? They must be back in Italy.","A: The earliest memory is the day I left New York, on board an Italian ship with my mother and my older brother, my sister, and my twi-- twin brother. And I was on the ship, looking down, and I saw my father waving goodbye. And I had a play camera that I was playing with. And I made believe that I took a picture of myontactrefieannedjustanmiang er hither btemelortabnattfiexaliaton Interview with Elio Grande "" March 3, 2015 father, and I clicked the thing, and off came the sna-snake, which was the game of the --","[1, 2, 3]"
Q: Of the camera?,A: -- camera that I had. So my best toy fell in the water. And my father was waving goodbye. And I remember distinctly what I said to myself.,"[1, 2, 3]"
Q: What was that?,"A: I'll be goddamned if I don't come back, as soon as I can.","[1, 2, 3]"
Q: Can you repeat that for me?,"A: I can. I said, I'll be an es -- an s.o.b. if | can't come back by the -- as soon as I can.","[1, 2, 3]"
"Q: I don't understand, I must say. You were happy that -- if you could -- if you would be able to come back, or happy if you would never have to come back?","A: No, ha -- that I was gonna find a wa -- way to come back as soon as I could.","[1, 2, 3]"
Q: I see.,A: It was 20 -- 17 years.,"[1, 2, 3]"
Q: That's a long time. That's a long time.,A: And I live in Rome throughout that per-period.,"[1, 2, 3]"
"Q: Okay, so now I'll come to this. Did your father stay in the United States?ontactrefieannedjustanmiang er hither btemelortabnattfiexaliaton Interview with Elio Grande 6 March 3, 2015","A: He ha-had things to clear up before coming back to Italy. But two years later, he came back.","[1, 2, 3]"
"Q: And when you returned to Italy, did you go back to Padua, or was it to Rome?",A: That's another story.,"[1, 2, 3]"
"Q: Okay, tell me about that story.","A: There's a town where my father was born. It's called Este, spelled e-s-t-e.","[1, 2, 3]"
Q: Okay.,"A: It's a famous place, because in the renaissance period, there was a qu-queen who's part of her history.","[1, 2, 3]"
Q: Wa -- a queen who was part of history?,A: A part -- a queen whose hist-his -- whose history involved hi-- Este.,"[1, 2, 3]"
Q: I see.,A: Because a castle of Este was in very good shape.,"[1, 2, 3]"
Q: Where -- what -- where in Italy was this town?,A: Not far from Padua.,"[1, 2, 3]"
Q: I see.,"A: Which is [indecipherable] town, it's the -- the head town --","[1, 2, 3]"
Q: Okay.,"A: -- of one of the se-sections. I--I ve --ontectnetbnancedjushetnney for father Hlonmalberabouttfiseetecion Interview with Elio Grande a March 3, 2015","[1, 2, 3]"
Q: So-,A: Lam having a hard ti-time --,"[1, 2, 3]"
Q: Talking?,A: -- pronoun -- pronouncing the w -- the words.,"[1, 2, 3]"
Q: That's okay. Do you want to stop a little bit?,A: Yes.,"[1, 2, 3]"
"Q: Sure, we'll stop. [break] So you remembered -- we were talking about where in Italy your family returned to.",A: Este.,"[1, 2, 3]"
Q: Este.,A: Which is in the province of Padua.,"[1, 2, 3]"
Q: Right.,A: Which is a main city because of its university.,"[1, 2, 3]"
"Q: And what was your life like in Este? Did you go to school there, did you have a larger family from your father's side, who looked after you?",A: We were given to be housed with my father's stepmother.,"[1, 2, 3]"
Q: Okay.,"A: My grandfather on the father's -- my fa -- father's si-side was unique, because he had 20 --I forget how many -- 30 children, with two wives.ontactrefieannedjustanmiang er hither btemelortabnattfiexaliaton Interview with Elio Grande "" March 3, 2015","[1, 2, 3]"
Q: Oh.,"A: The second wife was his -- his maid. His first wife was -- had 11 children -- children, and his second wife had 13.","[1, 2, 3]"
Q: Oh my goodness.,A: He was a very reli-religious per-person.,"[1, 2, 3]"
Q: Did you know him?,"A: No, he died long before I was born.","[1, 2, 3]"
Q: Okay.,"A: But I told you this st-story, because my grandmother -- my step-grandmother, was on the list of the poor people of Este, which was on the list of the poor cities of Padua.","[1, 2, 3]"
"Q: Oh, I see.","A: And she was given a chore to look after my older brother, my twin brother, myself, and my daughter -- my si-sister, who we -- who went back to United States.","[1, 2, 3]"
"Q: Oh, she went back?","A: Yeah, to live with my father for -- for the two ye-years.","[1, 2, 3]"
"Q: Where he stayed before coming back, yes.","A: Before. When he came back, we moved to Rome, almost on the very same day, I don't re-remember E-Este with my fa-father in it.ontactrefieannedjustanmiang er hither btemelortabnattfiexaliaton Interview with Elio Grande . March 3, 2015","[1, 2, 3]"
Q: But you do remember Rome?,A: Of course.,"[1, 2, 3]"
Q: Okay.,A: I lived there 18 years.,"[1, 2, 3]"
"Q: Oh my goodness. Oh my goodness. So, how old were you when you ended up in Rome, when you moved there with your father?",A: Iwas 11 and a ha-- 12 year -- 12 years old.,"[1, 2, 3]"
Q: So this was 1936?,A: No.,"[1, 2, 3]"
Q: Thirty-five?,"A: Thirty -- 19 was thirty -- deg33, how --","[1, 2, 3]"
"Q: Oh, at 1933, you would have been nine years old. Because if you were born in 1924, 30 -- 1933 would have made it nine year -- you would have been nine years old.","A: So I-- when I went to Rome, it was -- I was -- I was either 11 or thir -- 13.Anyhow, two years after my father came back from re -- from Boston, I was living in Rome.","[1, 2, 3]"
Q: Had Mussolini already come to power?,"A: Yes. He was in power 1920 -- ""23, ""24.ontectnetbnancedjushetnney for father Hlonmalberabouttfiseetecion Interview with Elio Grande deg March 3, 2015","[1, 2, 3]"
"Q: Okay. And did your father or mother -- I mean, were they -- did they have any kind of political leanings? Did they have any kind of political views?",A: My mother didn't. My father was a relatively good fascist.,"[1, 2, 3]"
Q: Really?,A: He -- but he used it in business. He -- I have pictures of my father -- I have a picture with my father following Mussolini in Naples.,"[1, 2, 3]"
Q: Really?,A: Yeah.,"[1, 2, 3]"
"Q: Excuse me. So your father, you have a photo of him following Mussolini in Naples?",A: Right.,"[1, 2, 3]"
Q: And -- and --,A: And -- and he acted as a -- a -- a-- what is it when one -- stop it.,"[1, 2, 3]"
Q: Sure. [break] Okay.,A: He acted as a reporter.,"[1, 2, 3]"
Q: Your father acted as a reporter?,A: For the Italian newspaper ha -- bo -- Boston.,"[1, 2, 3]"
Q: Ha -- what's it called?,"A: The newspaper [indecipherable]ontactrefieannedjustanmiang er hither btemelortabnattfiexaliaton Interview with Elio Grande * March 3, 2015","[1, 2, 3]"
Q: Of Boston?,"A: No, of -- yes.","[1, 2, 3]"
"Q: Oh, so he would write articles about Mussolini and send them back to Boston, to be printed there, in the Italian newspaper?","A: No, he would write articles about -- he was -- would write articles on one -- what would happen in Italy, yeah. This was a disaster in Naples --","[1, 2, 3]"
Q: Okay.,A: -- when Mussolini was going. So he was following Mussolini. You could see the picture. I have the picture. I can show it.,"[1, 2, 3]"
"Q: Okay, later, when we're finished with the interview.",A: Right.,"[1, 2, 3]"
Q: Okay.,A: The -- he would send the picture of himself and Mussolini to the -- to the company.,"[1, 2, 3]"
Q: Where he worked.,"A: The -- the newspaper, the Italian newspaper --","[1, 2, 3]"
Q: Okay.,A: -- of,"[1, 2, 3]"
"Q: Of Boston?ontectnetbnancedjushetnney for father Hlonmalberabouttfiseetecion Interview with Elio Grande a March 3, 2015",A: Boston.,"[1, 2, 3]"
Q: I see.,"A: [indecipherable] my godfather was a -- a contrib -- a contributor to the newspaper. So I assume that he would send it to his buddy, who would put it in -- in the paper, so that when he got back from his trips to Ital-Italy, he could prove that he was with mu-mu-mu -- that -- that's the ki-kind of person he -- you -- you couldn't change him.","[1, 2, 3]"
Q: So it sounds like you're saying he was an opportunist.,A: Yes.,"[1, 2, 3]"
"Q: In the -- he may not have been a real believer, but he too -- but he followed along because it was beneficial.","A: Right, right.","[1, 2, 3]"
Q: As you -- I have a couple of questions I want to make sure I don't forget.,"A: Up to a point, yes. But I-- I would have to research and find out what the Italian attitude towards dual citizenship was, because he had changed several times, both in Italy as well as --","[1, 2, 3]"
"Q: The United States.ontectnetbnancedjushetnney for father Hlonmalberabouttfiseetecion Interview with Elio Grande "" March 3, 2015",A: -- the United State -- States.,"[1, 2, 3]"
Q: Yeah.,"A: Today you say yes, definitely, one who is born of Italian parents, no matter where he was born. He can be born on the -- the moon. There's one who's ever about to be, in birth, he never wo -- well, citizenship is --","[1, 2, 3]"
Q: Automatically granted?,A: Right.,"[1, 2, 3]"
Q: Okay. Okay. So you knew you were definitely an Italian citizen.,"A: Again, we were re-register at nine -- 10, 11 year -- years.","[1, 2, 3]"
Q: Okay. I just wanted to understand that.,A: Yeah.,"[1, 2, 3]"
"Q: And the second question was a bigger question, and that is, it sounds that your parents never -- you -- they were -- you were never close to them, for different reasons. Is that true?","A: Tragically, yes.","[1, 2, 3]"
"Q: So who was the biggest influence in your young life? Who would you say you -- you were close to, of those who were surrounding you?",A: Nobody.,"[1, 2, 3]"
"Q: So you're very lonely.ontectnetbnancedjushetnney for father Hlonmalberabouttfiseetecion Interview with Elio Grande 8 March 3, 2015","A: [had a very close childhood friend that became my only real attachment to any one per-person, was Johnny Marzano(ph).","[1, 2, 3]"
Q: Johnny Marzano(ph)?,A: Right. And he died three months ago.,"[1, 2, 3]"
"Q: Oh, what a loss.",A: I-- but he was my -- I have a picture of him.,"[1, 2, 3]"
Q: And what about your twin brother?,A: We never were close.,"[1, 2, 3]"
Q: I see.,"A: He had his own life. He married at 19, because of his son.","[1, 2, 3]"
"Q: So he had a baby, and he married the mother.",A: Right.,"[1, 2, 3]"
