Question,Answer,topics
"Q: Good morning, Sibylle.",A: Good morning.,"[1, 2, 3]"
Q: It's so nice to see you. What was your name when you were born?,"A: My name was Sybilla Augusta Sophia von Sell. Augusta after my mother, and Sophia after my aunt, it's -- it's a family name, and Sybilla after the princess of Coburg and Gotha who la -- later became queen -- crown princess of Sweden, and is Gustav's mother -- was Gustav's mother.","[1, 2, 3]"
Q: And your name now?,"A: My name now, I dropped -- I -- I didn't quite drop Augusta, I still use it as an initial. My name now is Sibylle Sarah Niemoeller. It's my Jewish name, and I -- I picked it myself.","[1, 2, 3]"
Q: And you keep von Sell as your --,"A: Yes, as a --","[1, 2, 3]"
Q: -- as a family -- as the family name.,"A: Yes, yes.","[1, 2, 3]"
"Q: And it's Sybilla, it's not Sibyl --","A: Yes, but you know, it's Sibylle, really, I be -- in this country, I prefer to be called Sibylle.","[1, 2, 3]"
Q: Sibylle.,A: Yes.,"[1, 2, 3]"
Q: Okay. And when were you born?,"A: On the 10"" of April.","[1, 2, 3]"
Q: And the year?,A: 1923.,"[1, 2, 3]"
"Q: 1923, okay. Somehow I thought it was 1924.",A: No.,"[1, 2, 3]"
"Q: But no, it's 1923.",A: No.,"[1, 2, 3]"
Q: And where were you born?,A: I was born Potsdam.,"[1, 2, 3]"
Q: And did you --,A: The cradle of Prussian military.,"[1, 2, 3]"
Q: Yes? And how long did you stay there?,"A: Until I was two and a half years old, that's when my family moved to -- my father had a new position, and we moved to Berlin, but not to Berlin Dahlem yet, but we stayed in -- in another half suburb of Berlin, which was known for being nice, and quiet, and cheap.","[1, 2, 3]"
"Q: Uh-huh. So tell me -- I would like to get a sense of your family. Tell me about your mother first, and then we'll go to your father, and the --","A: Yes, of course.","[1, 2, 3]"
Q: -- and what the home life was like.,"A: Oh, by the way, since you asked my -- my names, I was not -- the authorities have to come to my parents after my birth to tell them what my name was going to be. They had not counted on a girl. I was to be -- I was to be a boy because my father had lost his three brothers --","[1, 2, 3]"
Q: Right.,"A: -- in the first World War, which was such a tragedy. And here comes a girl, so not everybody was terribly amused. My mother -- I was my mother's second child, because she had been married before, she wa -- married at age 19, a Baron von Hornstein, who not only had a Jewish grandmother, but was the rightful heir to the name -- I'm sorry, he was the child -- he was the great, great grandchild of Lord Nelson and Lady Hamilton. That's the one thing I en -- I always envied my sister who -- my stepsister -- half sister, who is 10 years older than I am, always envied her for it.","[1, 2, 3]"
Q: So your mother married into that family?,"A: My mother married into that family, that was a zo -- the -- they are -- that was old nobility around Lake Constance, and very Catholic, so she had to agree that in case my half sister was born as a boy that he had to be brought up Catholic, which is, I think, a very brutal decision to split a family that way. Well but so he was bor -- he was baptized in the Protestant faith, and then my mother lost her husband during the first few weeks of the first World War, and became very ill with tuberculosis, which meant she -- thanks to the help of the friend of the family, the victor - - Queen Victoria's great grand-nephew, the count of Coburg and Gotha -- not count, I'm sorry, the duke of Coburg and Gotha saw to it that she was put in a -- in a -- a sanitorium, and she survived very well. She died at 93. My mother's family is by far -- is lo -- a lot older than my father's family. My father's family, of which I'll talk later, they were really newcomers to nobility, meaning they were mor -- they were nobilized in 1657, while my mother's family goes back to -- to Charlemagne, documented.","[1, 2, 3]"
Q: Really?,"A: Yes. And they were partially -- they we -- they came from the east, how much Slavic influence there was, we can only guess. A lot, I would say.","[1, 2, 3]"
Q: Why?,"A: Well, I -- sometimes, you know, the Vens, that Slavic tribe that ruled Germany between the river Rhine and the -- and the -- or not -- not the Rhine, the Elba, and the Oda, they ruled in Germany, a wild tribe, for three to 400 years. So everybody has Vendish, Solbic, Serbic blood in them. And my mother was born -- my mother's father was a Prussian general, and he had been one of -- his name was von Brauchitsch, Brokovitce, you know, God knows what it was originally. And my -- my grandfather was a Prussian general, as was my father's father. And he was one of 23 children.","[1, 2, 3]"
Q: 23?,"A: Yes, his father had married several times, and there were your children, my children, our children. And there are funny legends going around about that family like a -- a Brauchitsch officer stopped the little guy on -- in -- in a military school, asked for his name and then found out they were brothers. How many of them are true, I never -- I call them legends. So they were - - they didn't have much money of course, and my -- my --","[1, 2, 3]"
