Question,Answer,topics
"Q: This is a United States Holocaust Memorial Museum interview with Mr. edg -- Ezra Sherman, on May 16"", 2014, in Washington, D.C. Thank you very much, Mr. Sherman, for agreeing to speak with us today.",A: You're welcome.,"[1, 2, 3]"
"Q: We're going to begin the interview at the very beginning. So, I'm going to ask a few questions about your childhood, about your family, about the town you were born in, or the village you were born in. So I'll start now. Can you tell me please, your name at birth, your date of birth, and we'll go from there.",A: My name is Ezra Sherman. Was born in 1931.,"[1, 2, 3]"
Q: What was the date?,"A: February 25"", 1931.","[1, 2, 3]"
"Q: And was your name Sherman also, when you were born?",A: Yes.,"[1, 2, 3]"
"Q: Okay. Where were you born, Mr. Sherman?","A: A li--a little town, was Poland that time. The name is Mlynov.","[1, 2, 3]"
Q: Mlynov. And --,"A: To-Today they call it Mylniv, it's Ukraine today.","[1, 2, 3]"
"Q: Oh, so you were born in the --",A: Poland.,"[1, 2, 3]"
"Q: In Poland, but in the eastern section.",A: In the w -- in the west.,"[1, 2, 3]"
Q: In the west?,"A: The west section, not the eastern.","[1, 2, 3]"
"Q: Oh, I -- but how could it b-border the Ukraine?","A: Til 39, was Poland.","[1, 2, 3]"
Q: Okay.,"A: In deg39, the Russian captured the west part of Ukraine, in what's today called --","[1, 2, 3]"
"Q: Yes, west part --",A: -- west part --,"[1, 2, 3]"
"Q: -- of Ukraine, that's true.",A: Yes.,"[1, 2, 3]"
"Q: Okay, okay. And Mlynov, was it a large town?","A: A little town with about 1200 Jews living, and a couple hundred Gentiles; Ukrainian, Poles, Czechs some. And around was still villages.","[1, 2, 3]"
"Q: So, it was small.","A: Small, very small town.","[1, 2, 3]"
"Q: And most -- but mostly, from you say, it was mostly a Jewish town.",A: I would say yes. The majority was Jewish.,"[1, 2, 3]"
Q: What were your father and mother's names?,A: My father's name was Moshe.,"[1, 2, 3]"
Q: Moshe.,A: Yes. And my mother's name was Esther.,"[1, 2, 3]"
Q: Esther. Do you remember her maiden name?,A: Yes. My mother's name was Golysuk(ph).,"[1, 2, 3]"
