Question,Answer,topics
"Q: Good morning, Mr. Wos.",A: Good morning.,"[1, 2, 3]"
Q: You're going to let me call you Paul?,"A: Yes, please do.","[1, 2, 3]"
Q: Yes? Yes? Thank you very much for letting us come to your home this morning.,A: That's my pleasure.,"[1, 2, 3]"
Q: Tell me what your name was when you were born.,"A: I born Paul Pawel Xenon Wos. The last name Wos, W-o-s and apostrophe over S, Wos.","[1, 2, 3]"
"Q: Right. And your father's name was also Pawel, yes?","A: My father was Po -- Po -- Pawel, and my grand -- ma -- father was also Pawel. That's was little bit a problem home because if somebody call Pawel, we don't know which one. That's -- my family called me Xenon, that second name Xenon. In other words, I was known by family, by my friends, Xenon. In school I was Paul -- Pawel.","[1, 2, 3]"
"Q: And did they -- did they make the Xenon a nickname, Xenic?",A: Xenic.,"[1, 2, 3]"
Q: Yes?,"A: Xenon, that was short Xenic.","[1, 2, 3]"
Q: And when were you born?,"A: I born in Warsaw in 1920, and December 22""C/. And my parents put in my paper, January first, 1921. This way I go in one year later to military.","[1, 2, 3]"
Q: I see. That was very clever.,"A: Yeah, I know that's couple days and not make difference.","[1, 2, 3]"
Q: So let's talk a little bit about your family. I would like to get a sense of your mother and father and your brothers and sisters. Tell -- tell me about your fa --,"A: I born in a family where mother was ann -- name Anna from home Shahofska, and my father pa -- Pawel Wos. And I born in a family where was four children, I was the oldest one. And next one was my sister Irena, and third was my brother Odin and fourth, Wanda. That's whole family, two sister, one brother, and me. We bo -- I born in Warsaw, and I study in Warsaw and finish high school in Warsaw and up to 1939, where war starts, you know, that's start literally upside- down. And up to 1939, that's was Warsaw uprising, I was sent to concentration camp.","[1, 2, 3]"
Q: Right.,A: That's --,"[1, 2, 3]"
"Q: So n-now we're going to slow down a little bit. Tel -- tell me what you remember about your father, what kind of a person was he?","A: My father was like mostly fathers, the best father. And my father and my mother was also very good, caring mother, and was on -- Father was very soft up to some point, and my mother was very strict, and take care of her -- her children very hard and very tight. And so was very good mother, very good father, not only for us, for everybody. And this part of my life I can say only some good thing about my parents. And Father was very hardworking man, my mother, too.And we was raised in a house where was the order, and time where was dinner we were supposed to be on time, not one hour later. And during the -- a meal, we sit together, eat and later there's sometime discussion about what happened during the day, and what was good, what was no good, and we was very close family. And s -- that's about my [indecipherable] family. In ourfamily was also the very close sister of my mother, Sophia, and was not -- never married, and was very hardworking person, and still was very intelligent lady who like, you know, poetry, p -- opera, etcetera, etcetera. That's was some part of family where we was very many times with our si -- aunt in operas -- I know all operas for example in Warsaw, this was very nice place, very nice building, and that's was for us pleasure. And that's was close family.","[1, 2, 3]"
Q: And you liked opera?,"A: I like opera, I like opera.","[1, 2, 3]"
Q: Do you remember what your first opera was?,A: I think so. First -- I don't know this -- Aida -- I think so --,"[1, 2, 3]"
Q: Aida?,"A: -- for time -- Aida was for me very interesting part, special, the Verdi created, you know, this so nice voices, I like this.","[1, 2, 3]"
"Q: Did you also have a favorite opera that was Pagliacci, is that true?","A: Pagliacci? Yes, sure, I -- I was -- it's nice.","[1, 2, 3]"
Q: So how -- how old were you when your aunt took you? Were you a young kid?,"A: I was young kids because my aunt was -- her s -- or each year, four, five free ticket for the government people, for booths in opera, and normally was booths for four people, and I was kids, maybe 12 years old, 10 - 12 years old, I go like fifth one.","[1, 2, 3]"
Q: Aha.,"A: That's was a pleasure and a good tul -- the best location, and you know, the voices were [indecipherable] opera very good because international opera, and we remember this part very nicely.","[1, 2, 3]"
"Q: Wa -- when you describe your parents, your mother is the disciplinarian --",A: Yes.,"[1, 2, 3]"
Q: -- and you say your father was soft up to a certain point --,A: Up to a point.,"[1, 2, 3]"
Q: Wa -- explain what you mean.,"A: I mean this one, you know, you -- small thing my father not react, and our was very loving children, and dedicated to family. And if something was very, very bad, or somebody did something wrong to our family, was very active, very powerful, because he was tall man, almost six foot, and everybody like him. Mean th -- not on -- only family and other people has a very [indecipherable] for my father.","[1, 2, 3]"
"Q: Did you do things alone with your father, did you go for walks with your father?","A: Oh yes, sure --","[1, 2, 3]"
