Question,Answer,topics
Q: Good morning.,"A: Good morning, Joan.","[1, 2, 3]"
"Q: Can you tell us your name and the name that you were born with, because I know it is different than your name now, and when you were born and where?","A: I was born September 17, 1916, in Hannover, Germany. My name at that time was Bernard Fuchs, and I was born and raised in Hannover; and until 1936, I went through the schools and read the Nuremberg law, and it became too hard for us. I had to leave the university because no Jews could study further.","[1, 2, 3]"
Q: Let's go back a little bit. Tell me about your family -- about your mother and your father and sister.,"A: My father and mother both came from Ledz. They had left Poland around when the war broke out, 1914 -- no before that -- 1913, they went to Elsass-Lothringen, which is part of France now and was at that time also. And there they lived until 1915 when they went to live in Germany. Father was a custom tailor, and he built up his own studio and built up a wonderful clientele. He was really the number-one custom tailor in Hannover. And my mother, may she rest in peace, died very young. She died already 1928, when I was 12 years old and is buried in Hannover. My father remarried in 1932 and had another son in 1933 and -- when I had to leave the university, I went on hash'alah"" to be processed to go at that time Palestine. But my father got sick. He had a very serious operation, and he asked me to stay back and take care of his wife and son. So, this way, that is why I did not go to Palestine at that time. Then in 1938, there was a big Aktion"" by the Germans where they took all foreigners, that means stateless or not, of German nationality -- Jews -- and collected them all in a concert hall in Hannover, and -- where we stayed for a day and a night. And then they took us in cattle trains to the Polish border.","[1, 2, 3]"
Q: I'd like to go back. It must have been very difficult when your mother passed away at such a young age for you?,A: Yes.,"[1, 2, 3]"
"Q: And when your father remarried, I gather you didn't stay at home after that happened?","A: No, I left home. And -- I could not stay at that time. I just couldn't live with her. It became impossible. So, I had left when I was 14.","[1, 2, 3]"
Q: And you lived alone?,"A: I lived alone, yes. I lived with friends, with their parents. I rented a room there. And I earned money, and at that time I paid the rent there and lived until the Aktion started.","[1, 2, 3]"
Q: But you remained close with your father and sister?,"A: Well, I had to, yes. My sister got engaged to be married with a -- not a Jewish man -- but we liked him. He was a very nice man. He was a dress manufacturer, special designed dresses. And so how far back do you want me to go now?","[1, 2, 3]"
Q: But you remained close with your father and sister?,"A: You can certainly talk about this, sure.","[1, 2, 3]"
"Q: And when the Aktion started, as I mentioned, we were sent to Poland, and when we came to the Polish border, on one side we had the SS with the bayonets pointed at us, and on the other side we had the Polish with bayonets pointed at us, and we were in no-man's land for 48 hours before some intervention the Poles opened the border and let us into a very small village. The name is Zbaszyn. There -- I was always an organizer -- so when we went there, there was no housing because it was a small village and here we were about 2,000 people. So we organized. I took a few young people and we put handkerchiefs around our arms, our sleeves, and then we went and cleaned out pig sties where the cattle was and also some housing which were empty. So, there we took care of the old people and the sick people and the children; some children were born right there. Q: Let me ask you something. You're how old at this time?",A: At that time I was 24 years old.,"[1, 2, 3]"
Q: What was your sister -- your sister's name is?,A: Dora.,"[1, 2, 3]"
Q: What was she doing?,A: She was the executive secretary of the Rumkowski.,"[1, 2, 3]"
Q: Did you know this when you were writing to her?,A: No. I knew it only when I came to the ghetto.,"[1, 2, 3]"
Q: Was it surprising to you that she sent an SS man to get you?,"A: Yes, only then I realized why she could have done it because of her position. She was able to do that.","[1, 2, 3]"
Q: Did it worry you when these people came to the door?,"A: At first, yes, at first. But immediately when he told me who he is and what he came for, naturally I was relieved, and naturally I went with them to be reunited with my family.","[1, 2, 3]"
"Q: When you saw your family at first, did your sister explain to you about Rumkowski and tell you things about him so that when you met him you had some idea?","A: No, she just told me of what is going on and what has to be done because Rumkowski was in a position to deal with the Ghettoverwaltung,* to tell them you give us material. We will manufacture it and in turn you give us food and whatever we need. > Mordechai Chaim Rumkowski (1877-1944); Chairman of the Judenrat in the Lodz ghetto. * ""Ghetto Administration"" which also oversaw the activities of the Judenrat (German).","[1, 2, 3]"
"Q: Let me ask you something in terms of reflecting back a little bit. When you were in Hannover and the Nazis took over, you were in some sense fighting the Nazis, right?",A: Yes.,"[1, 2, 3]"
Q: You remember the Maccabees?,A: Correct.,"[1, 2, 3]"
Q: Can you explain what that organization was?,"A: It was an underground organization of students who, like me, had to leave the universities, and we decided to make sabotage. We became, like in other words, terrorists and we got hold of explosives and we broke up -- we bombed their trains, any transport of the SS people and stuff like this. So, we really gave them a hard time.And in 1936, I was arrested for the first time by the Gestapo for three weeks, interrogated every day, the same questions asked, but they could not have any proof or couldn't tell anything of what I had done, so they had to let me go. That was in 1936. Then in ""38, I mentioned to you already, I was sent to Zbaszyn in Poland.","[1, 2, 3]"
"Q: So, when you got to Lodz, what did you think the Germans were doing in the course of the war to these Jews, since you had already experienced the Nuremberg laws and kicked out of the university, and at least some violence against the Jews?","A: Absolutely, yes. When I came to the ghetto, and I was told and I saw with my own eyes, of how the people have to live in the ghetto, and naturally I was right up in arms. I could not digest it that easily. And when the Elders of the Jews called on me to head the department, and naturally I was pleased that I got to do something productive for the ghetto, even though people today have said I worked with the Germans and helped them, which is naturally it's nonsense because if we would not have done what we did in the ghetto, in 1942, that ghetto would have been liquidated completely and no one would have survived. And thanks to Rumkowski, and thanks to his negotiation power he was able to convince the Germans, and actually the Lodz ghetto became a model for all the ghettos in the other areas. So, three days and three nights we registered all the people.","[1, 2, 3]"
Q: How did you do that?,"A: Well, I got a staff and I got an office and people came day and night. There were hundreds and hundreds and hundreds of people, and we were able to do it in three days and three nights and everybody who registered also got where to go, to what factory. So we delegated people directly into the various factories.","[1, 2, 3]"
"Q: So, Rumkowski sees you and tells you to head -- did you head this department by yourself at that point?","A: At that point, yes, I organized it myself.","[1, 2, 3]"
"Q: So, how long did it take you to figure out this organization after he had spoken to you?","A: Well, I was given people to interview and I interviewed the people and whomever felt they could do the job I would tell them, yes, they were hired.","[1, 2, 3]"
Q: So how many people were on your staff at that point?,A: At that time I couldn't tell you exactly. It was over 20. Between 20 and 30 people.,"[1, 2, 3]"
"Q: Now, when you registered, did you have cards printed out so you could register people?","A: Yes, we had books and later on we made big index cards. But people themselves, they got a piece of paper with where to go, where to report to, to what factory, and with this they were given i.d. cards and cards to be able to get food, like food stamps, coupons for food. And this entitled them to a soup. There were various soups around the ghetto where the people who worked the factories were able to get a soup. Some a little bit heavier, some a little bit lighter soups, as you can imagine. And as the time passed, I had, for instance, I took a very sick-looking person out of a factory and delegated him to a kitchen while I took a healthy- looking guy from the kitchen and put him into the factory. So, with one signature of mine I made a friend and an enemy, which you can understand. The ones who worked in the kitchen, they were sitting. They got a little bit more to eat than the others. So, this went on, then, until 1944 --","[1, 2, 3]"
"Q: Now you're moving too fast. When you're registering people, there are clearly some elderly people and there are kids who probably can't work.",A: They still got cards. They still were registered.,"[1, 2, 3]"
Q: And did they go with family members to certain factories or would they stay in an apartment?,"A: They would register but they would not actually work because they couldn't work. They were unable to work, but if we would have left them without registration, without i.d.cards, they would die for hunger because they wouldn't get any rations.","[1, 2, 3]"
"Q: So, everybody is registered whether they are really working or not.","A: Yes, everybody had to be registered.","[1, 2, 3]"
"Q: And when you came into the ghetto and you're registering there are almost 200,000 people, right?",A: Yes.,"[1, 2, 3]"
Q: What is happening with housing at this point? When you came in was everybody living where they're supposed to be living or are they moving around?,"A: Well, they had since the ghetto was closed the first of May. Naturally, all these people coming from the other side of the town into the ghetto had to be housed. So, naturally, there wasn't enough housing available for every family. So you found in most cases that in one room lived four families. In every corner a different family, OK, and the conditions naturally were unbearable to live, really, because there was no running water.There were no toilets in the room. People didn't have bathrooms. They would have to go to outhouses. And they would have to go and pump the water from a pump and bring it up into the room. So, the conditions naturally as you can imagine was anything but human.","[1, 2, 3]"
Q: And were there a number of pumps in different parts of the ghetto?,"A: No, mostly in every house they had some water supply, but it was like I said: no bathroom and not every house had running water.","[1, 2, 3]"
Q: Were you living with your father and your sister?,"A: Yes, in the beginning.","[1, 2, 3]"
Q: I gather that your father's second wife and child had left?,"A: No, she had left in 1939 to England. She was a nurse by profession and she got a job in England as a nurse, so she took off with her son and went to England.","[1, 2, 3]"
"Q: And had your father wanted to go and they didn't allow him to, or you don't know?","A: She didn't get any papers for him. She got papers just for herself and her son, and father was very active in the ghetto also being a custom tailor. He was always working and had also quite a few tailors working together and they made for these people, even for the people in the ghetto. He had to make their suits for them, right.","[1, 2, 3]"
"Q: Once this big registration happened, with all these people, and all of the people are going to their particular factories or work places, what is then your job? What are your responsibilities once that happened?",A: Well --,"[1, 2, 3]"
Q: What would be a day?,"A: They were always going movements on. People had died from hunger. They had to be replaced.OK, so, there was always a lot of switching of personnel because you can imagine so many people and so many various factories, so there was always something going on where the department of labor had to act accordingly, right. So, there was always something going on that kept us busy.","[1, 2, 3]"
Q: Were you meeting with Rumkowski regularly?,"A: Not regularly but often. He came to my office or I was called upon for meetings. And -- oh, yes, frequently I saw Rumkowski, yes.","[1, 2, 3]"
Q: What was your relationship like? What kinds of things would you discuss? Would it only be business or were you also discussing the situation?,"A: Well, if we were socially somewhere together, then yes, I would talk with him a little bit about various subjects and incidents which occurred which I wanted to know more details about. And also, about my background, what he wanted to know. But otherwise, he was very busy and there wasn't much time for socializing, except when we had concerts. We had our own orchestra, and so it was really a city by itself in itself.","[1, 2, 3]"
Q: Was this a hard job for you?,"A: It was not an easy job, and especially when the Aktion took place when they asked for 800 people or 1,000 people or 2,000 people to be sent out allegedly to other working camps. I had no dealings with this because I left this to my partner, to Czenszenski.","[1, 2, 3]"
Q: When did he come in?,"A: He came in about a year after I had the office organized, and then later on when we got a transport from Czechoslovakia there was also a gentleman who was told by the Eldest of the Jews, by Rumkowski, to work with me in the department of labor, especially for the Czech people. So, we had actually three at that time heading the department.","[1, 2, 3]"
Q: And who was the third?,"A: Anders was his name. He came from Prague. Terrific elements in that transport.Professionals, very intelligent people but unfortunately they died like flies.They could not adjust themselves to the conditions of the ghetto. When they came into the station in Marysin, where we had our railroad station, they asked, ""Where we can get a taxi? Is there a hotel?"" As funny as it seems, but at that time, the tears came into my eyes when I saw these people and unfortunately we lost so many of them at that time very fast.","[1, 2, 3]"
"Q: Now, you said that when -- the department of labor was somehow involved in the deportations?","A: Well, naturally they were asked by Rumkowski to select certain people at random to be sent. The first transport for instance were the three Fsdeg in German: Fleisher,"" Fuhrmann""...what was the third F? I don't even remember the third. Well, in any case these three groups, from three groups the transports, the first transports went to a labor camp and a lot of them survived, thank heaven, because they really went to working camps because Auschwitz came later on and naturally we didn't know that. We had no dealings with the outside world and there was no communication with the outside world...and the Ledz ghetto.","[1, 2, 3]"
Q: There was no underground radio?,"A: Yes, underground radio, I myself with a friend of mine, Dr. Smulovitez, we had a radio.We listened to the radio at nighttime and we lost a very important person because of that -- Doctor...Irene, she would remember the name. He was shot because he listened to the radio. He was caught listening to the radio. That was a very dangerous thing to do but we did it.","[1, 2, 3]"
