Question,Answer,topics
"Q: Okay. Hello, this is Betsy Anthony doing an oral history interview with Eva Desrosiers on the 17th of June 2013. So, first, I have to start with basic biographical information.",A: Okay.,"[1, 2, 3]"
"Q: For example, what was your name at birth?",A: Eva Johanna Fisch.,"[1, 2, 3]"
Q: And how -- could you spell that for me? Eva --,A: Eva is E-V-,"[1, 2, 3]"
Q: And how -- could you spell that for me? Eva --,A:,"[1, 2, 3]"
Q: Yeah.,A: Johanna is J-O-H-A-N-N-,"[1, 2, 3]"
Q: Yeah.,"A: The last name Fisch, F-I-S-C-H.","[1, 2, 3]"
Q: Okay. Thank you. And where were you born?,"A: Vienna, Austri","[1, 2, 3]"
Q: Okay. Thank you. And where were you born?,A:,"[1, 2, 3]"
Q: And your birth date?,"A: June 10th, 1930.","[1, 2, 3]"
"Q: June 10th, happy birthday. And do you know which hospital you were born in or where?","A: No, I don't know the hospital.","[1, 2, 3]"
Q: Uh-huh.,A: I was -- I had -- I think I gave a copy of my birth certificate to the museum. ontactnetonancedjusietneey for tarher biormatberabouttfisonecion Interview with Eva Desrosiers 4,"[1, 2, 3]"
Q: Okay.,A: I was registered at the Jewish community.,"[1, 2, 3]"
Q: Okay. Is there any significance to your name? Does it relate to a family member or -,A: I think the Johanna is some great grandparent. I really don't know.,"[1, 2, 3]"
Q: Uh-huh. Okay. And so where in Vienna did your family live?,"A: We lived in the 12th District, Meidling.","[1, 2, 3]"
Q: Nice.,A: On Wolksenfeld (ph) Drive.,"[1, 2, 3]"
Q: Okay.,A: Wolksenfeld (ph) Number 3.,"[1, 2, 3]"
Q: Allright. And did your -- how many siblings do you have?,"A: Thad one brother, older than I am.","[1, 2, 3]"
Q: And what was his name or is his name?,A: He died three years ago. His name was Heinz.,"[1, 2, 3]"
"Q: Heinz. And your parents"" names?",A: My father's name was -- he was a doctor. It was Dr. Gaza Fisch.,"[1, 2, 3]"
Q: Yeah.,"A: And my mother's name was Margarite Fisch. Her maiden name was Gotzl, G O T-Z-L.","[1, 2, 3]"
Q: Okay. What kind of doctor was your father?,A: A general practitioner.,"[1, 2, 3]"
Q: Did he have a practice --,"A: Yes. In fact, at the address where we lived was a new building at the time and it was built for a medical practice. The apartment we lived in, there were two entrances, one for the waiting room and his -- where he saw his patients and the other for the family. And when I went back to Vienna many years later, there was still a doctor living there.","[1, 2, 3]"
