Question,Answer,topics
"Q: This is a United States Holocaust Memorial Museum interview with Mr. Gary Philipp, on October 8"", 2015, in Boca Raton, Florida. Thank you very, very much Mr. Philipp, for agreeing to speak with us today, for agreeing to share your story, and the difficulties and sufferings that you endured, so that other people would know what you went through, what the Holocaust was.",A: You're most welcome. I do my best.,"[1, 2, 3]"
"Q: Thank you. I'm going to start with the most basic questions, and from that we"" ll develop the narrative of your story. So, the very first one that I want to ask you is, can you tell me, what was your name at birth?",A: Horst Louis Philipp.,"[1, 2, 3]"
Q: Uh-huh. You were Horst Louis Philipp?,A: Yes.,"[1, 2, 3]"
Q: And what's --,"A: Louis is my -- at my grandfather's name, that Jewish people always give the name to the grandchild, of the grandfather.","[1, 2, 3]"
Q: Okay.,"A: That's why """"m -- yeah.","[1, 2, 3]"
"Q: That's why you're Louis in the middle.ontactrefieannedjustanmiang er hither btemelortabnattfiexaliaton Interview with Gary H. Philipp : October 8, 2015",A: Yeah.,"[1, 2, 3]"
Q: Okay. And Horst? Were -- was it just a name your parents really liked?,"A: Yeah, my mother -- it was a popular name, the 1920s Germany. There were a lot of -- it's a real German name.","[1, 2, 3]"
"Q: Yes, yes. So tell me, what is the date of your birth?","A: Sixth of November, 1927, in a rat -- in Rathenow, province Brandenburg, which is near Berlin. It's near Berlin.","[1, 2, 3]"
"Q: So, Rathenow, near Berlin.",A: Yes. My father was from Berlin.,"[1, 2, 3]"
Q: Did you grow up in Berlin?,"A: No, I grew up in Hamburg.","[1, 2, 3]"
Q: Can you tell me when your family moved to Hamburg?,A: [have to go back a little bit.,"[1, 2, 3]"
Q: Please do.,"A: We-- my mother is from the Rhineland. I don't know where she met my father, but they met, and they got married in Cologne, Germany, and moved to -- from Cologne, they moved to Hamburg.","[1, 2, 3]"
Q: I see.,"A: But I couldn't tell you what year. I guess 1926, just the year before I was born.ontectnetbnancedjushetnney for father Hlonmalberabouttfiseetecion Interview with Gary H. Philipp deg October 8, 2015","[1, 2, 3]"
"Q: Nevertheless, you were born close to Berlin, is that [indecipherable]","A: No, I was --","[1, 2, 3]"
Q: You was born in Hamburg?,A: Iwas born in Hamburg.,"[1, 2, 3]"
Q: You were born in Hamburg.,A: Yes.,"[1, 2, 3]"
Q: Okay. And do you have brothers and sisters?,"A: No, I'm the only one.","[1, 2, 3]"
"Q: You're the only one. Tell me your parents"" names.","A: My father's name was George Philipp. My mother's name was Laura Emma.Her maiden name was Wolf. My mother came from a very good home. The house is still standing ma -- matter of fact, I have pictures of it, and in the -- in the ri-- in Elberfelch. And my father was -- he had -- my grandfather had a furniture store Rathenow, so my father became -- he was buying furniture for the department store in Germany, Karstadt. I don't know if you ever heard of it.","[1, 2, 3]"
"Q: Oh yes, of course I have.","A: It's a huge building in Hamburg, about 10 rooms. But they -- in 1932 -- deg33, he was fired because he was Jewish.","[1, 2, 3]"
"Q: We'll come to that.ontectnetbnancedjushetnney for father Hlonmalberabouttfiseetecion Interview with Gary H. Philipp deg October 8, 2015",A: Yes.,"[1, 2, 3]"
Q: [have a lot of questions before we get there.,A: Okay.,"[1, 2, 3]"
Q: Okay. But he -- so your grandfather had a furniture store in Rathenow --,A: Rathenow.,"[1, 2, 3]"
Q: -- that was his independent furniture store.,"A: [had a-- Thad a picture, and unfortunately, I lost it.","[1, 2, 3]"
Q: Was it named --,A: I can't find it.,"[1, 2, 3]"
