Question,Answer,topics
"Q: Dr. Friedberg, welcome to Washington.",A: Thank you. Glad to be here.,"[1, 2, 3]"
Q: It's very nice to see you. Te -- was -- was your name Maurice Friedberg when you were born?,A: Yes.,"[1, 2, 3]"
Q: So it didn't change at all?,"A: No, it du -- did -- it did not.","[1, 2, 3]"
Q: Did you have a middle name?,A: No.,"[1, 2, 3]"
Q: No.,A: There are no middle names in eastern Europe.,"[1, 2, 3]"
Q: And what -- when were you born?,"A: I was born on December 3"", 1929 in Rzesz6w, which is a large city in between Krakow and what used to be either Lviv, or Lvov, or Lemberg.","[1, 2, 3]"
"Q: But you -- you weren't raised there, is that correct?","A: No, I was raised in Jaroslaw, which is a city on the San river, again between Rzeszow and Krakow.","[1, 2, 3]"
Q: So it's fairly near Rzeszow.,"A: Yes, it is. Interview with Maurice Friedberg : August 12, 2009","[1, 2, 3]"
"Q: Yes. And how come you were born in Rzeszew and then went to Jaroslaw, do you know?","A: Yes, because my mother wanted to give birth in the city where my -- where her father and mother and other relatives were.","[1, 2, 3]"
Q: I see.,A: Which was Rzeszow.,"[1, 2, 3]"
"Q: Right. Tell me a little bit about your family. Tell me about your relationship with your father and your mother. Do you remember? I mean, not when you were a baby, of course.",A: Yes.,"[1, 2, 3]"
Q: But I mean when you were a little bit older.,"A: When I was a little bit older, we used to spend -- spend summers with Grandpa in Rzeszoew, and I had another grandfather in Jaroslaw, who was the grandfather on my father's side, and the rest of the time -- time, we lived in Jaroslaw on the San river. And it was a normal, middle class Jewish household. Moderately observant, I would not say strictly observant. And my father had a lumberyard, and they also manufactured some bricks, and they built small houses with those bricks and with other building materials that were available. And that's the way -- and that's the way my childhood is remembered in my mind. The business that my father ran was very much like the business that my maternal grandfather ran. It was a middle of the road, Interview with Maurice Friedberg deg August 12, 2009 not very large, not very small, but old enough and large enough to provide them with a livelihood, and that's the way I remember it, by September 1, 1939, which was the day when Nazi Germany attacked Poland. And my first wartime memory is --","[1, 2, 3]"
Q: Can -- can we -- can we go back a little bit?,A: Yes.,"[1, 2, 3]"
