Question,Answer,topics
Q: This is a United States Holocaust Memorial Museum interview with Mrs.,A: Okay.,"[1, 2, 3]"
Q: Could you tell me--,"A: Well, I was born in 1920 in The Hague in the Netherlands.","[1, 2, 3]"
Q: In the capital of the Netherlands?,"A: No, that's not the capital.","[1, 2, 3]"
"Q: It isn't? Q: Oh, that's why I was under a misimpression. Q: Aha. My apologies. My apologies then. So you were born in The Hague on what",A: June 13.,"[1, 2, 3]"
"Q: June 13, 1920?",A: Yeah.,"[1, 2, 3]"
"Q: And that's why your name is now ""June""?","A: Yeah, that's what I did myself.","[1, 2, 3]"
"Q: Okay. And your name at birth was what, your maiden name?","A: My maiden, Rekia (ph).","[1, 2, 3]"
"Q: Rekia, Matilda Rekia (ph)?",A: Yeah.,"[1, 2, 3]"
Q: Okay. What were your father and your mother's names?,"A: Oh, my father's name was Marius.","[1, 2, 3]"
Q: Marius?,A: First name.,"[1, 2, 3]"
Q: Uh-huh.,"A: Marius, Marius Rekia (ph), and my mother's name was Gertrude Christina.","[1, 2, 3]"
Q: Would that be Gertrude Christine --,A: Yeah.,"[1, 2, 3]"
Q: -- if we Anglicized it?,A: Yeah.,"[1, 2, 3]"
Q: Gertrude Christine. Do you remember her maiden name?,"A: Haideking (ph), yeah. Yeah, right.","[1, 2, 3]"
Q: Haideking (ph)?,A: Haideking (ph).,"[1, 2, 3]"
Q: Okay.,A: Yeah.,"[1, 2, 3]"
"Q: Your husband knows, yeah.",A: Yeah.UNIDENTIFIED MALE SPEAKER: I'm five years younger.,"[1, 2, 3]"
Q: Did you have brothers and sisters?,"A: Two brothers, younger than I am.","[1, 2, 3]"
Q: So you were the oldest?,A: Yeah.,"[1, 2, 3]"
"Q: What are their names, your brothers"" names?","A: Marius, Geurt.","[1, 2, 3]"
"Q: How would I say ""Geurt"" in English? Would it be ""George"" or would it be ""Curt"" or-",A: [have no idea.UNIDENTIFIED MALE SPEAKER: G-e-u-r-t.,"[1, 2, 3]"
"Q: G-e-u-r-t, ""Geurt""? Q: ""Geurt,"" yeah. Q: Okay.","A: Yeah, S-y-b-e. It's ""Sybe.""","[1, 2, 3]"
Q: How do you pronounce S-y-b-e?,"A: ""Sybe.""","[1, 2, 3]"
"Q: ""Sybe."" Okay. So can you tell me what your father's profession was?",A: Yeah.,"[1, 2, 3]"
Q: Your father was vice president of an insurance company?,A: My father was. UNIDENTIFIED MALE SPEAKER: ___ +.,"[1, 2, 3]"
Q: Your father was vice president of an insurance company?,A: My father.,"[1, 2, 3]"
Q: What was the name of the insurance company? It's okay. I'm just asking if you,A: [have no idea.,"[1, 2, 3]"
Q: Okay. Did your mother work?,"A: Oh, no.","[1, 2, 3]"
Q: She stayed at home with the children and worked at home?,"A: No, she didn't work.","[1, 2, 3]"
"Q: Well, she was a housewife, was she?",A: Yeah.,"[1, 2, 3]"
Q: Okay.,A: But she had live-in maids.,"[1, 2, 3]"
"Q: Ah. Well, that's one of my questions then. Would you say your family was rather",A: No.,"[1, 2, 3]"
Q: No?,A: I didn't think so.,"[1, 2, 3]"
Q: Most people couldn't afford a live-in maid.,A: Most people what?,"[1, 2, 3]"
Q: Could not afford a live-in maid.,"A: Oh, no, we always had one.","[1, 2, 3]"
Q: You always had one?,A: And sometimes two.,"[1, 2, 3]"
Q: Did you spend your childhood in The Hague?,A: Yeah.,"[1, 2, 3]"
Q: Can you tell me a little bit about that? Do you have any earliest memories?,"A: No, not anymore.","[1, 2, 3]"
Q: Not anymore. Do you remember anything about school life?,A: I don't know. Ask me something.,"[1, 2, 3]"
Q: Okay. Did you go -- how old were you?,"A: Oh, yeah.","[1, 2, 3]"
Q: Okay. What is it that you're remembering?,A: What is it? Levensverzekerings _+.,"[1, 2, 3]"
Q: So it would be some life insurance company?,A: Yeah.,"[1, 2, 3]"
Q: A life insurance company.,"A: My father, he was the vice president of this company.","[1, 2, 3]"
Q: Aha. Was your father -- was your father often at home? Often on business? Did he --,A: What do you mean?,"[1, 2, 3]"
"Q: Imean, well, sometimes when people were in high positions in companies, the family","A: No, he was every day.","[1, 2, 3]"
"Q: He was every day. Okay. Did he come home for lunch, for example?",A: I don't remember.,"[1, 2, 3]"
"Q: Okay. Tell me a little bit about his personality, your father's personality.",A: [have no idea.,"[1, 2, 3]"
Q: Was he outgoing? Was he friendly? Was he reserved? Was he a person who the,"A: I don't know. UNIDENTIFIED FEMALE SPEAKER: What about college, when you wanted to go to university?","[1, 2, 3]"
Q: Was he outgoing? Was he friendly? Was he reserved? Was he a person who the,"A: Oh, yeah. Yeah. The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview. eae rights ee eee RSSRE BPS Sea IS: Memorial MussH ase ection eb yal dest aeues: lntgimalien abgubgcess and Interview with Matilda ""June"" Bakker 9 UNIDENTIFIED MALE SPEAKER: He was very outgoing. UNIDENTIFIED MALE SPEAKER: Very outgoing, yeah.","[1, 2, 3]"
Q: Was he outgoing? Was he friendly? Was he reserved? Was he a person who the,"A: Yeah, I wanted to go to college after high school. And he said, ""You already have aboyfriend. You're already getting married. And you will never work, and it will be all awaste of money.""","[1, 2, 3]"
Q: Is that what he said?,A: Yeah.,"[1, 2, 3]"
Q: And does that mean that you never went to college?,"A: Well, later. Later I did, yeah.","[1, 2, 3]"
Q: Okay.,A: Much later.,"[1, 2, 3]"
Q: Okay. What was your mother like? What kind of a person was your mother?,A: Fairly -- fairly religious.,"[1, 2, 3]"
Q: Was she?,"A: Not in the beginning. When they got married, they were not, but then she somehow got -- somehow got religious.","[1, 2, 3]"
Q: Was she?,A: And she -- yeah. You remember that too? UNIDENTIFIED MALE SPEAKER: Uh-huh.,"[1, 2, 3]"
Q: Was she?,A: Yeah.,"[1, 2, 3]"
Q: Okay. And what religion? What church did she belong to?,A: The Protestant church.,"[1, 2, 3]"
"Q: There is -- as I understand it in the Netherlands, there are quite a few.",A: Yeah.,"[1, 2, 3]"
Q: Which one would it be?,A: [have --,"[1, 2, 3]"
Q: You don't remember?,A: Huh? UNIDENTIFIED MALE SPEAKER: The reformed.,"[1, 2, 3]"
Q: You don't remember?,"A: The reformed. That's right, the reformed.","[1, 2, 3]"
Q: She was part of the reformed?,A: Yeah.,"[1, 2, 3]"
"Q: Okay. And your father, was he religious?",A: I don't know.UNIDENTIFIED MALE SPEAKER: Not as much.,"[1, 2, 3]"
"Q: Okay. Was she practicing, your mother? When you say she was very religious, did","A: Yes. Yeah, because on Sundays, my father took us to the beach, you know, for fun.And my mother was in church.","[1, 2, 3]"
Q: Isee. So all the kids were out having fun at the beach?,A: Yes.,"[1, 2, 3]"
Q: And mama was praying?,"A: Yeah.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.eae rights ee eee RSSRE BPS Sea IS: Memorial Missy esr! entior oboe desta ealess lp osonal abaukarcess andInterview with Matilda ""June"" Bakker 11","[1, 2, 3]"
"Q: Okay. Was she somebody involved in bringing you up, or did -- yeah, was she","A: Oh, yes.","[1, 2, 3]"
Q: In what ways?,A: I wouldn't know.UNIDENTIFIED FEMALE SPEAKER: Did she teach you how to do anything?,"[1, 2, 3]"
