Question,Answer,topics
Q: This is a United States Holocaust Memorial Museum interview with,A: In birth was Irene -- Irena Schwettzer(ph).,"[1, 2, 3]"
Q: Schwettzer(ph)?,A: Schwettzer(ph).,"[1, 2, 3]"
Q: All right.,A: Yes.,"[1, 2, 3]"
Q: Can you tell me your date of birth?,"A: Yes, July 10"", 1925 in --in Poland, Lvov.","[1, 2, 3]"
"Q: In Lvov, okay.",A: Yeah.,"[1, 2, 3]"
Q: Did you have brothers and sisters?,"A: [had one sister who, she was three and a half years younger.","[1, 2, 3]"
Q: And what was her name?,A: Janina(ph).,"[1, 2, 3]"
"Q: Janina(ph). So she was born in 1928, ""29?",A: Yes.,"[1, 2, 3]"
Q: Okay. So in Polish that would have been Janina(ph).,"A: Janina(ph), yeah. Janka(ph).","[1, 2, 3]"
Q: Janina(ph). Janka(ph).,"A: We call her Janka(ph), yes.","[1, 2, 3]"
"Q: Tell me a little bit about your family, with your parents, starting with your",A: Her maiden name was Paula Scherner(ph).,"[1, 2, 3]"
Q: Scherner(ph).,A: Scherner(ph).,"[1, 2, 3]"
Q: Okay.,"A: Yeah, and my father was Saul Schwettzer(ph), yeah.","[1, 2, 3]"
"Q: Okay. Were your -- were both sides of your family from Lvov for a long time, or","A: Yes, yes.","[1, 2, 3]"
Q: Yeah?,"A: Yeah. They were born there, even my grandparents were born there, too.","[1, 2, 3]"
Q: Okay.,"A: Yes. Then it was -- when they were born, it was Austria.","[1, 2, 3]"
Q: Truly?,A: Yes.,"[1, 2, 3]"
Q: It was Austria?,"A: Yes, it was Austria then, yeah. And then, in that -- when it was the first WorldWar, then it came Poland again.","[1, 2, 3]"
Q: I see.,A: Yeah.,"[1, 2, 3]"
Q: I see.,"A: When I was born, was Poland.","[1, 2, 3]"
Q: Okay.,"A: When Joe -- my husband was born, was Austria.","[1, 2, 3]"
Q: Isn't that interesting?,A: Yes.,"[1, 2, 3]"
Q: L always thought Lvov was part of the Russian empire.,A: No.,"[1, 2, 3]"
Q: But it wasn't.,A: No.,"[1, 2, 3]"
Q: Okay.,A: No.,"[1, 2, 3]"
Q: Okay. So it was the Austro-Hungarian empire.,"A: And then Poland, and then wa -- 1939, when the war broke out, the secondWorld War, then it became Russia again.","[1, 2, 3]"
"Q: Well, you know, it's interesting, in this part of the world, a person could be born",A: Yeah.,"[1, 2, 3]"
Q: You know? The borders shifted and changed so much.,"A: Exactly, yeah, yes.","[1, 2, 3]"
Q: Tell me a little bit about your family. How did your father support the family?,"A: My father was a businessman, and we had a very comfortable life --","[1, 2, 3]"
Q: Can --,A: --i-in Lvov.,"[1, 2, 3]"
Q: In Lvov. Can you --,"A: In Lvov.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.7Interview with Irena BachDecember 12, 2015","[1, 2, 3]"
