Question,Answer,topics
Q: This is a United States Holocaust Memorial Museum interview with Mr.,A: 1908.,"[1, 2, 3]"
Q: The -- and which month?,A: November.,"[1, 2, 3]"
Q: And day?,A: Fourth November.,"[1, 2, 3]"
Q: November fourth. And was your name when you were born also Joseph Bach?,A: Yeah.,"[1, 2, 3]"
"Q: And what town were your born in, or what place were you born in?",A: Hospital.,"[1, 2, 3]"
"Q: Hospital, I know. Where was the hospital located?","A: I know, in Lvov.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.4Interview with Joseph BachDecember 12, 2015","[1, 2, 3]"
"Q: In Lvov, Poland, okay. Can you tell me wh -- how many brothers and sisters did",A: One.,"[1, 2, 3]"
Q: A brother or a sister?,A: Brother.,"[1, 2, 3]"
"Q: Okay, what was his name?",A: Siegfried.,"[1, 2, 3]"
Q: Was he younger or older than you?,A: Younger.,"[1, 2, 3]"
"Q: Allright. And your parents, your father, what was his name?",A: Henry.,"[1, 2, 3]"
Q: Henry Bach. And your mother?,A: Marvina(ph).,"[1, 2, 3]"
Q: And what was her maiden name?,A: Holzhaiger(ph).,"[1, 2, 3]"
Q: Marvina(ph) Holzhaiger(ph)?,A: Yeah.,"[1, 2, 3]"
Q: Okay. Can you tell me what kind of-- can you tell me a little bit about your,A: He has a store.,"[1, 2, 3]"
Q: What kind?,"A: China, this a -- this a -- this a --","[1, 2, 3]"
Q: China store?,"A: China and porcelain, this -- this line.","[1, 2, 3]"
Q: And was it a large store?,A: Medium.,"[1, 2, 3]"
Q: Okay. Was it in Lvov center?,"A: Ah, near center. Depends how you look at it.","[1, 2, 3]"
Q: Was -- did your father have any brothers and sisters?,"A: Yeah, he had.","[1, 2, 3]"
Q: And were -- about how many did he have?,"A: How many I don't remember. Wait a minute. A brother, a brother, he has one.","[1, 2, 3]"
Q: Okay.,"A: He was -- he was taking care of animals, of horses. He was in the army. He was a[indecipherable]. It means in --","[1, 2, 3]"
"Q: In the Austro-Hungarian army, or the Polish?","A: Yeah, in Austro army.","[1, 2, 3]"
Q: Okay.,"A: And they ter -- in Poland when come, so he had private. He was a private withthe [indecipherable]","[1, 2, 3]"
"Q: Oh. And tell me, did he have -- did your father have more brothers and sisters, or",A: One brother more.,"[1, 2, 3]"
Q: Okay.,A: He was in Vienna.,"[1, 2, 3]"
Q: Okay.,"A: Some kind of representative, I don't know what representative.","[1, 2, 3]"
"Q: Now, was your family always from Lvov?",A: Yeah.,"[1, 2, 3]"
"Q: Okay, it had lived there for generations?",A: Yeah.,"[1, 2, 3]"
"Q: Okay. On your mother's side of the family, did she have brothers and sisters?",A: Yeah.,"[1, 2, 3]"
Q: Mm-hm. Did you know them?,A: Yeah.,"[1, 2, 3]"
