Question,Answer,topics
Q: This is a United States Holocaust Memorial Museum interview with,A: Pleasure.,"[1, 2, 3]"
"Q: Before we get into all of the difficult times of the war years, I'm going to ask a","A: June 15, 1919.","[1, 2, 3]"
Q: And where were you born?,"A: Village Bahuszets(ph), county of Przemysl in Poland.","[1, 2, 3]"
"Q: Can you tell me approximately where is this place, the village?","A: It is southern Poland now, close to border with Ukraine.","[1, 2, 3]"
Q: Okay. Is it still within the territory of today's Poland?,"A: Yes, it's still in territory of Poland, yes.","[1, 2, 3]"
"Q: Okay. And, what was your name at birth?","A: Jan.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.Interview with John Krawiec ,January 29, 2015","[1, 2, 3]"
Q: Jan.,A: Jan Francis.,"[1, 2, 3]"
"Q: Jan FrantiSSek, would that be?","A: Yes, yeah.","[1, 2, 3]"
Q: Frantisek.,A: Jan Franciszek.,"[1, 2, 3]"
Q: Jan Franciszek Krawiec?,A: Yes.,"[1, 2, 3]"
Q: Okay. You were born in 1919. So tell me a little bit about your father and your,"A: Mother was Ludwiga(ph), father Michal(ph). They -- they -- they got little farmin the village. So I was born on the village, on farm. And first -- first years of mylife were very happy, run around in fields and forests, it was nice -- as the river San,which is large river. So that was really happy years. And I was not an angel,because my neighbors of my parents called me little devil of kra -- kraft -- Krawieclittle devil. So I was little devil. And from little devil, naturally angel cannot growup angel. So I was -- when I grew up, I was not angel neither.","[1, 2, 3]"
Q: So what are some of the things that you would do that earned you this title of,"A: Well, I don't remember, you know, because it was when I was seven, eight yearsold And -- but I was -- I--I suppose that I was a little devil.","[1, 2, 3]"
Q: Okay.,"A: I don't -- I can admit that. Then, when I went to high school, and because thatwas eight years high school, called gymnasium.","[1, 2, 3]"
Q: Mm-hm.,"A: And that was from Austrian times yet. It change later, but I was still going thereall eight years high school. So, normally after four grades, but my mother said, mylittle boy, let him stay, one year younger. So I went to high school after third grade.","[1, 2, 3]"
Q: I see.,"A: And so I was in a c -- in a class, I was one year older of my classmate.","[1, 2, 3]"
Q: Did you --,A: So---,"[1, 2, 3]"
Q: Did you have brothers and sisters?,"A: [have two brothers and sisters. One brother died shortly after the war, and I hadsome very bad feeling about that, because during the war, when I just startedunderground, here, even [indecipherable] means some things. But when theGestapo came to pick me up, I was not home, and so I ran away, and they took him--he was 16 years old -- and tortured him, tried to get information from him. And he The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.Interview with John Krawiec degJanuary 29, 2015knew quite a bit, but he didn't tell them anything. And so after three or four times ofthat, I was ready to give myself up to Gestapo, you know, to save him. But mymother told me, he already is -- have some problems, and the -- with his health afterthose tortures. So they will kill you, and they will kill him, so -- but then they finallygave him -- stop -- stopped to take him. And so | thought that maybe to -- but he gotsick and shortly after the war in 1946, he die.","[1, 2, 3]"
Q: A young boy.,"A: Young boy, he was -- well, not young boy, he was 20 -- in 46, he was 23.","[1, 2, 3]"
"Q: Oh, he was 23 then.",A: Yeah.,"[1, 2, 3]"
"Q: Okay. So, he was younger than you?","A: Oh yes, he was four years younger.","[1, 2, 3]"
Q: What was his name?,A: Miertek(ph).,"[1, 2, 3]"
Q: Miertek(ph).,A: Yeah.,"[1, 2, 3]"
Q: And were you the oldest child in the family?,"A: I was the oldest one, the th -- then sister Valerie, Miertek(ph) and Zbyszek(ph).Zbyszek(ph) is 10 years younger. He's still alive. Sister died about three years ago.And the o -- youngest one is still alive. He was -- he is 10 years younger than I am.","[1, 2, 3]"
"Q: Does he live here, in the United States too?","A: No, he lives on the -- in th -- well, he live in the old house [indecipherable] theybuilt new one in the same spot where I was born.","[1, 2, 3]"
Q: Oh. Was your family from -- can you repeat the name of the village again?,A: Bahuszets(ph).,"[1, 2, 3]"
Q: Bahuszets(ph).,A: Bahuszets(ph).,"[1, 2, 3]"
Q: Bahuszets(ph). Was the family from Bahuszets(ph) for many generations?,A: Yes.,"[1, 2, 3]"
Q: And were -- was it a farm family?,"A: Farm family, small farm.","[1, 2, 3]"
Q: About how many hectares?,A: Hectares? They got six [indecipherable] eight -- about four -- four hectares.,"[1, 2, 3]"
"Q: Oh, that is kind of small, for a farm.","A: Yeah, it's -- well, it was smaller, but then you have -- there was Krasicki(ph)[indecipherable] landlord family, and they get this, his land, give him only hundred The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.Interview with John Krawiec degJanuary 29, 2015acres, and the rest they sell to the farmers in the village, so my father bought co --some hectare or two, I can't remember now.","[1, 2, 3]"
Q: Mm-hm. Did your father serve in World War I?,"A: He serve in World War I, in Austrian army. He was wounded, and he wasgetting pension. He got one leg about nine centimeters shorter.","[1, 2, 3]"
Q: Because of his service? Because of the wound?,"A: Because the wounds, yeah.","[1, 2, 3]"
"Q: Okay. And so, his service was in the Austro-Hungari -- that was Austro-","A: Yeah, that was this part, after partition of Poland, this part, [indecipherable]Galicia, southern Poland was part of Austria.","[1, 2, 3]"
Q: Okay. And your mother? Tell me a little bit about her family. Were they also,"A: Same village, but not the same -- little further. Few kilometers away, much largerla -- much larger village, this was a number of people -- families [indecipherable]and on the hills. And my mother came from a large family, but they had, let's see,20 -- they had 10 or 12 hectares of land. Yeah, they -- they -- their parents.","[1, 2, 3]"
"Q: How ma -- The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.","A: But th-th-they had some 10 or 11 children, so she was one -- not the youngestone, but second from the youngest one.","[1, 2, 3]"
"Q: Mm-hm. And -- but nevertheless, from the area.","A: And she -- th -- in this village they had seven grades school. In my village, wassmaller, they had only five grade school.","[1, 2, 3]"
"Q: So when you went to gymnasium, did you go to another village?","A: Well, I go to -- I was in PrzemySl.","[1, 2, 3]"
Q: In Przemysl. And that's a larger town?,"A: Because there was no gymnasium anyplace close, and I have to leave it,PrzemysSl, because there were buses already, but not very -- that was ni -- when Istarted, 1931. So --","[1, 2, 3]"
"Q: Twelve years old, yeah.","A: So, thir-thirt -- 31. So, the buses were not very reliable, and not the time whichwould be good for me, you know, to get to school. Too early or too late. So youhave to live there, live in Przemysl.","[1, 2, 3]"
"Q: Was that -- I mean, I've heard of many stories of people, you know, the -- it's","A: Well, not exactly. Th-That is true, because I was the oldest one, and my motherwas [indecipherable] your father has this money, pension, you know, so it willhelp, you know, she wanted at least one. And then we were -- we planned that theyoungest one -- I be already after studies, some position, whatever I will study, andso I will help the youngest brother to go too.","[1, 2, 3]"
"Q: Also, so that once you get --","A: Yeah, but there were only two of us from the village in the gymnasium.","[1, 2, 3]"
Q: Only two?,A: Only two.,"[1, 2, 3]"
Q: And --,A: Because any other cannot afford it.,"[1, 2, 3]"
