Question,Answer,topics
Q: This is the United States Holocaust Memorial Museum interview with Mr. Sol,A: 9/9/17.,"[1, 2, 3]"
"Q: So you were born on September 9, 1917?",A: Yes.,"[1, 2, 3]"
Q: Where were you born?,A: In Germany.,"[1, 2, 3]"
Q: What part of Germany?,A: A little village in Bavaria.,"[1, 2, 3]"
Q: What's it called,A: _ by the name Luelsfeld.,"[1, 2, 3]"
Q: Luelsfeld?,A: Unheard of. It was a very small village.,"[1, 2, 3]"
Q: Did your family live there for generations?,"A: Generations.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.eae rights ee eee RSSRE BPS Sea IS: Memorial MussH ase ection eb yal dest aeues: lntgimalien abgubgcess andInterview with Sol Kohn 4","[1, 2, 3]"
"Q: Really? Yeah? Well, were there many Jewish people in Luelsfeld?",A: At one time maybe about ten families.,"[1, 2, 3]"
Q: Still small.,A: Very small village.,"[1, 2, 3]"
Q: And,"A: And towards the end, maybe about two, three families.","[1, 2, 3]"
Q: Isee. Were you an only child?,A: No. [had a brother and a sister.,"[1, 2, 3]"
Q: What are your brother and sister's names?,A: My sister's name was Erna.,"[1, 2, 3]"
Q: Erna?,A: And my brother's name Alfred.,"[1, 2, 3]"
Q: Alfred. Were you the youngest or the oldest or in the middle?,A: Middle.,"[1, 2, 3]"
Q: You were in the middle. So who was older?,A: My brother.,"[1, 2, 3]"
Q: How many years older was he?,A: Two.,"[1, 2, 3]"
Q: Two years older. And Erna?,A: About five years younger.,"[1, 2, 3]"
Q: Five years younger. So she was born in 1922?,"A: I was born in'17.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.eae rights ee eee RSSRE BPS Sea IS: Memorial MussH ase ection eb yal dest aeues: lntgimalien abgubgcess andInterview with Sol Kohn 5","[1, 2, 3]"
Q: Yeah.,"A: My sister in ""22.","[1, 2, 3]"
Q: And what were your mother and father's names?,A: My father's name was Adolf.,"[1, 2, 3]"
Q: Um hum.,"A: And my mother, Hedwig.","[1, 2, 3]"
Q: Were they were both of their families from Luelsfeld?,"A: No. My father was from Luelsfeld, but not my mother.","[1, 2, 3]"
Q: Where was she from?,"A: A small town, small village nearby, not too far away.","[1, 2, 3]"
Q: Do you remember the name?,A: Yeah.,"[1, 2, 3]"
Q: What was it?,A: Wiesenbronn.,"[1, 2, 3]"
Q: Wiesenbronn. Did you speak with a Bavarian accent when you used to speak,A: I think so. Everybody else did.,"[1, 2, 3]"
Q: Was German your language at home?,A: Yeah.,"[1, 2, 3]"
Q: Did your did anybody in your family speak Yiddish or Hebrew or anything like,"A: No.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.eae rights ee eee RSSRE BPS Sea IS: Memorial Missy esr! entior oboe desta ealess lp osonal abaukarcess andInterview with Sol Kohn 6","[1, 2, 3]"
Q: No. How is it that there were how many people lived in Luelsfeld in total? You,A: I think towards the end there were only three families.,"[1, 2, 3]"
Q: That's right.,"A: But we're talking about maybe a hundred years before. They had maybe about ten,fifteen I don't know ten, fifteen families, maybe.","[1, 2, 3]"
Q: And how many people lived in that village in total?,A: Five hundred all total.,"[1, 2, 3]"
Q: Did everybody know each other?,A: Everybody knows everybody.,"[1, 2, 3]"
Q: Okay. So there were no strangers in Luelsfeld?,A: No.,"[1, 2, 3]"
Q: Okay. Do you know how many generations your family lived there?,"A: I don't know how many, but I'm sure many.","[1, 2, 3]"
Q: Was there a synagogue?,A: There was asyn yes.,"[1, 2, 3]"
Q: Was there a cemetery?,A: No. But nearby.,"[1, 2, 3]"
"Q: And was there a school, a Jewish school?",A: No.,"[1, 2, 3]"
Q: No. What was your father's business? What did he do?,"A: He had machinery, hardware.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.eae rights ee eee RSSRE BPS Sea IS: Memorial MussH ase ection eb yal dest aeues: lntgimalien abgubgcess andInterview with Sol Kohn 7","[1, 2, 3]"
Q: Was he a salesman?,A: My father?,"[1, 2, 3]"
Q: Yeah.,"A: Yeah, he was a salesman. It's different in Europe at that time.","[1, 2, 3]"
"Q: Okay. Explain, tell me how.","A: My father had a store and a warehouse. He owned two buildings. And customerscame to us and he went out to see customer every day in the villages nearby. There wereso many small villages like the village I was born in, 500 people the whole village.","[1, 2, 3]"
Q: And he supplied them all?,A: Excuse me?,"[1, 2, 3]"
Q: He supplied them with certain products?,"A: Yes, yes.","[1, 2, 3]"
"Q: Yeah. Was it general hardware that he supplied them, like nails and things like that?",A: My father's business _ he also had groceries.,"[1, 2, 3]"
Q: So he had a general store?,"A: Like a general store in the village. Because there were no big stores at that time. Sothe farmers came and bought what they needed. And my father also went to the villagesand sold merchandise, all kind of merchandise, different machinery, everything, allkinds of merchandise.","[1, 2, 3]"
Q: Did you and your brother and sister help him in the store?,A: My brother did.,"[1, 2, 3]"
Q: Um hum.,A: I I left after school and worked for another relative.,"[1, 2, 3]"
Q: Did you have more relatives in Luelsfeld?,A: [had at one time many relatives.,"[1, 2, 3]"
"Q: Oh, yeah?",A: But most of them were killed in the Holocaust.,"[1, 2, 3]"
Q: So let's talk about them a little bit. These were your father's relatives?,A: And my mother's.,"[1, 2, 3]"
Q: And your mother's also lived in Luelsfeld?,"A: No, no.","[1, 2, 3]"
Q: They lived elsewhere?,"A: They lived in smaller towns, and big there were some bigger towns","[1, 2, 3]"
Q: Okay.,A: and villages. All over.,"[1, 2, 3]"
"Q: So how many people from your father's family lived not so much how many people,",A: You mean my uncles?,"[1, 2, 3]"
Q: Yeah.,"A: There was an uncle nearby, two uncles. They were in the same business, machineryand hardware. It was different over there with hardware. Everything is different now.","[1, 2, 3]"
Q: Than the way it's sold now?,"A: Weare going back 60,70 we are going back 80 years.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.eae rights ee eee RSSRE BPS Sea IS: Memorial MussH ase ection eb yal dest aeues: lntgimalien abgubgcess andInterview with Sol Kohn 9","[1, 2, 3]"
Q: Had the businesses been formed by your father and your uncles or did they inherit,A: My grandfather had that business already.,"[1, 2, 3]"
Q: So it was a family business?,A: A family business.,"[1, 2, 3]"
Q: Do you remember the name of the store?,"A: Well, the name of the ofmy ofthe store of my father was A.L. Kohn.","[1, 2, 3]"
Q: A.L. Kohn.,A: A.L. Kohn. That means Abraham Leib (ph) Kohn.,"[1, 2, 3]"
Q: Abraham Leib Kohn.,"A: The name of my grandfather who started, probably, the business. I never knew bygrandfather.","[1, 2, 3]"
Q: Did he die,A: He died in 1912.,"[1, 2, 3]"
"Q: Isee, I see.","A: And I left in ""38.","[1, 2, 3]"
"Q: Tell me, did your father was your father a solder in World War I? Did your father",A: No. My father had a brother.,"[1, 2, 3]"
Q: Uh huh.,A: He was in World War I. And he died.,"[1, 2, 3]"
Q: The brother?,A: In the first World War.,"[1, 2, 3]"
Q: He died?,A: Yeah.,"[1, 2, 3]"
"Q: Did your father have any other siblings, any other brothers and sisters?","A: Yes. My father had it was a big family. He had an uncle in Bamberg, that's anothertown. He had another brother I know of. These these two brothers, they died in theHolocaust, too, I'm talking about. And then he had two sisters _ three sisters I know of.It was a big family. I think there were about six or seven children that my grandfatherhad.","[1, 2, 3]"
Q: Were you. was your family a very religious family?,A: Very religious.,"[1, 2, 3]"
Q: Yes?,A: Very religious.,"[1, 2, 3]"
Q: And were you orthodox or conservative?,A: They were orthodox.,"[1, 2, 3]"
Q: They were orthodox.,A: Strictly orthodox.,"[1, 2, 3]"
Q: And you grew up with a religious education?,"A: Yeah, I did.","[1, 2, 3]"
Q: Um hum.,A: But I changed a little bit.,"[1, 2, 3]"
Q: How did you change?,"A: Well, I'm not orthodox anymore.","[1, 2, 3]"
Q: Yeah? Did you,A: That means are you Jewish?,"[1, 2, 3]"
Q: No.,"A: So you know that I'm not supposed to drive a car on Saturday, for instance.","[1, 2, 3]"
Q: Yeah.,A: And I always did here.,"[1, 2, 3]"
Q: Did you go to synagogue every week?,"A: Where, in Germany? Every week.","[1, 2, 3]"
Q: Every week?,A: On Saturday.,"[1, 2, 3]"
"Q: Yeah. And, did you keep other traditions? Did you keep kosher at home?","A: Kosher, strictly kosher. My parents were very orthodox.","[1, 2, 3]"
Q: Did your did you consider your family as middle class?,A: Middle class.,"[1, 2, 3]"
Q: Okay. Comfortable? Financially comfortable?,"A: Comfortable, yeah.","[1, 2, 3]"
Q: Did your mother have did she work with your father at all?,"A: Yeah, in the business.","[1, 2, 3]"
Q: She did? Was there other did he hire people outside the family to work?,A: Yes. We had a maid.,"[1, 2, 3]"
Q: Okay.,A: And we had a chauffeur. That's about it.,"[1, 2, 3]"
Q: Okay. And were the chauffeur and maid Jewish or were they,A: No.,"[1, 2, 3]"
Q: Did you have any contact with the Christian children in the village?,A: At that time?,"[1, 2, 3]"
Q: Um hum.,"A: Yeah, I went to school.","[1, 2, 3]"
Q: Can you tell me,A: I was the only Jewish fellow in that class.,"[1, 2, 3]"
Q: Really? In primary school?,"A: Yeah, primary school.","[1, 2, 3]"
Q: So when you went to primary school,"A: And then I went to high school, which is the equivalent of high school. They call itRealschule.","[1, 2, 3]"
Q: Realschule.,A: Did you ever heard of that word?,"[1, 2, 3]"
"Q: Yes, I did. Yes, I did.","A: I went to that school, but it was in another town.","[1, 2, 3]"
Q: So primary school was in Luelsfeld?,A: Yeah.,"[1, 2, 3]"
Q: Okay.,"A: Every village had a primary school.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.eae rights ee eee RSSRE BPS Sea IS: Memorial MussH ase ection eb yal dest aeues: lntgimalien abgubgcess andInterview with Sol Kohn 13","[1, 2, 3]"
Q: Okay. Do you have any memories of going to school as a little kid?,A: Sure.,"[1, 2, 3]"
"Q: What kind? I mean, do you have any episodes that you remember?",A: Like what?,"[1, 2, 3]"
"Q: Well, how the teachers behaved to the students, how the students were with one","A: Well, there is a big ?station? a big difference. Hitler came to power in ""33, 1933.Everything changed. The whole life changed for the Jewish people. For instance, I livedin I didn't live athome. At the age of 16 I worked in another town, a little town. In ""33,everything changed. For instance when Hitler came to power, I'm talking about.","[1, 2, 3]"
Q: That's right.,A: You knew that?,"[1, 2, 3]"
Q: Yeah.,"A: We couldn't go to the movies, the Jewish people couldn't go to a movie. Theycouldn't even go to there was a swimming pool there, we were not allowed to go there,and so forth, things like that.","[1, 2, 3]"
"Q: I want to find out about all of those changes, but before that happens, I would like to",A: When I was a little boy?,"[1, 2, 3]"
"Q: Yeah, when you were a little boy. Was it normal?","A: There was no persecution.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.eae rights ee eee RSSRE BPS Sea IS: Memorial MussH ase ection eb yal dest aeues: lntgimalien abgubgcess andInterview with Sol Kohn 14","[1, 2, 3]"
"Q: Did people did non Jewish people, did they behave in a very rude and derogatory","A: No. Matter of fact, my neighbors, my parents"" neighbors were wonderful people.","[1, 2, 3]"
"Q: And did you have friends who were non Jewish, you know, kids that you would play","A: Not friends, but other students, let's put it that way, we have in the school.","[1, 2, 3]"
"Q: And did when you were at primary school, did you experience anybody being a","A: There was always a little trouble, sometimes.","[1, 2, 3]"
Q: Yeah?,"A: Youknow. They called us names, you Jew bastard, for instance, things like this.","[1, 2, 3]"
"Q: Even in the ""20s?",A: Yeah. We were we were different.,"[1, 2, 3]"
Q: And you felt that?,A: Yeah.,"[1, 2, 3]"
"Q: What about the teachers, your teachers at primary school? Do you have any","A: Yes, yes.","[1, 2, 3]"
Q: And what was your relationship with your teachers?,"A: Well, I went to public school in the village.","[1, 2, 3]"
Q: Yeah.,"A: Like here, public school. And then I went to high school The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.eae rights ee eee RSSRE BPS Sea IS: Memorial MussH ase ection eb yal dest aeues: lntgimalien abgubgcess andInterview with Sol Kohn 15","[1, 2, 3]"
Q: And you went to high school,A: which they called Realschule.,"[1, 2, 3]"
Q: And you went someplace else?,A: Someplace else.,"[1, 2, 3]"
