Question,Answer,topics
"Q: This is a United States Holocaust Memorial Museum interview with Cantor David Wisnia, conducted by Joseph Toltz on April the 7th, 2011, in Princeton Junction, New Jersey. It's a very great pleasure for me to be here to talk to you today, Cantor Wisnia, and I'd like you to start by talking to me about your background of training, your musical life and your family life leading up to the invasion in ""39.","A: Okay. I think I might have an easier time if you would be asking questions,","[1, 2, 3]"
Q: Okay. Good. Okay.,"A: okay, because I don't know what I'm leaving out, what specifically you would like.For instance, 1 was born [havea problem there 1924, 1926.","[1, 2, 3]"
Q: Yes.,"A: I got myself so oriented to say 1926 or ""24, I'm sorry, that that's what I used when I came to Auschwitz.","[1, 2, 3]"
Q: Right.,"A: During the selection, I wanted to move over with the guys who were at least 18.","[1, 2, 3]"
"Q: Yes, of course, yes, so you were safe.","A: So... now, I'm still not sure. I went back to Poland to find out my birth certificate in Sochaczew. Forget it, can't get it.","[1, 2, 3]"
Q: Yeah.,A: We even had a deal with a dedication of a cemetery in Sochaczew that I went back to. And we knew the mayor. It didn't do any good. There's no records. Interview with David Wisnia 4,"[1, 2, 3]"
"Q: Right, right.","A: So when my first I Iwasamember of course, my father's name is Elijah. My mother's name was Machla (ph). Lived with my family until I finished the Yavneh school system in Sochaczew.","[1, 2, 3]"
Q: That was only primary school?,A: Yes. Yavneh.,"[1, 2, 3]"
Q: Yes. Yavneh was_ was Hebrew and Polish?,A: Hebrew Polish. No Yiddish was allowed.,"[1, 2, 3]"
Q: Right.,"A: Asa matter of fact, I distinctly remember having I did something in Yiddish, I said a couple of words, I had to write it down 500 times. So it was a whole the idea was design a school","[1, 2, 3]"
Q: Uh huh.,"A: you were going to learn modern Hebrew, period.","[1, 2, 3]"
Q: Yes.,A: That's it.,"[1, 2, 3]"
Q: Yeah.,A: So everything was in Hebrew. Every subject was in Hebrew.,"[1, 2, 3]"
Q: It was a private school.,"A: Asaresult private, oh, God, God.","[1, 2, 3]"
Q: And exclusive?,"A: And the reason quite exclusive, for one reason, because you had to be able to afford it.","[1, 2, 3]"
Q: Right.,"A: Because people as a matter of fact, I remember we paid for for other people too.We were sort of considered you see, Poland doesn't have a middle class, or never did.You were either wealthy or you were poor. And, you'll pardon the expression, piss poor.","[1, 2, 3]"
Q: Yeah.,A: Most Jews were quite poor.,"[1, 2, 3]"
Q: Yeah.,"A: Could not eek barely eeked out a living. My father was a businessman. He had a place in Warsaw where he employed some people doing furniture. I explained that to you, you know, like","[1, 2, 3]"
"Q: Yes, the upholstery.","A: upholstered, right,","[1, 2, 3]"
Q: Yes.,"A: for businesses. He employed other people. And my grandfather had a business in Sochaczew itself. He was making these fancy caskets, you see, like you see this here.","[1, 2, 3]"
Q: And these were these were caskets not for Jewish funerals though.,"A: These were no, that's correct.","[1, 2, 3]"
Q: Right.,"A: And as it turned out, God must have looked down upon the whole situation. And because of one of these guys who worked for my grandfather, I was able to survive when I escaped from Warsaw. He's the one who saved my life.","[1, 2, 3]"
Q: Yeah. So getting back,A: Yeah.,"[1, 2, 3]"
Q: to your family. So you were are you the youngest?,"A: Iwasamember no, I was a middle child.","[1, 2, 3]"
Q: Okay. So your other siblings?,A: There one my older brother there were three boys. My elder brother was two and a half years older than I. My younger brother was two and a half years younger than I.,"[1, 2, 3]"
Q: And you had sisters?,A: No.,"[1, 2, 3]"
Q: So it was just the three of you.,A: No. Three. Three,"[1, 2, 3]"
Q: And their names were?,A: The older one was Moshe. The younger one was Dov Berela (ph).,"[1, 2, 3]"
Q: Dov Berela. It's always Dov Berela.,"A: So... well, it's redundant, but what are you going to do.","[1, 2, 3]"
"Q: Yeah, yeah, yeah.","A: That's if you wanted to use Yiddish, so...","[1, 2, 3]"
"Q: Yeah, sure. Now, tell me, then, howInterview with David Wisnia 7",A: We all went to that school.,"[1, 2, 3]"
"Q: Right. Is that where you found your love of music, or was it earlier?","A: Well, no, the love of music came from my father. My father was a big opera buff.","[1, 2, 3]"
"Q: Ah, right.","A: So I learned, believe it or not, E lucevan le stelle when I was nine years old. I don't remember it anymore, but it's always in my mind, so...","[1, 2, 3]"
"Q: Yeah, yeah.",A: Tosca.,"[1, 2, 3]"
Q: Yeah.,"A: And and when I came to Warsaw, you know, and I started with David Eisenstadt in the big choir, he's the one he was so impressed with it, that was","[1, 2, 3]"
Q: Yes.,"A: -- you know, for a kid nine, ten years old.","[1, 2, 3]"
Q: Yeah.,"A: And | used to go into Warsaw quite often because my father took me. And I must say that I was probably favored among the three brothers because I was anex I was a good student, I was a top student in the school in Hebrew. I took the Hebrew. I had a very good ear for for music.","[1, 2, 3]"
Q: Uh huh.,"A: And I became a member of the, what's called the dramatisch kreis, dramatic circle.","[1, 2, 3]"
Q: Yes.,"A: [have a picture at home. I hope on the way back I'll show you. A picture at home where [have remember Tippy (ph) said something _ I'm going from one thing from another, but I think you will get the point. Sarah Tippy (ph) had a friend, Sarah, that marched in from Majdanek and I recognized her.","[1, 2, 3]"
Q: Uh huh.,A: I don't know if you know that story.,"[1, 2, 3]"
"Q: No, no, no, I don't know that story.",A: Writer's story.,"[1, 2, 3]"
Q: Yeah.,A: 1943.,"[1, 2, 3]"
Q: Yeah.,A: And Tippy (ph) saved her life,"[1, 2, 3]"
Q: Yeah.,A: actually.,"[1, 2, 3]"
Q: Yeah.,A: She just passed away two years ago. I did the funeral,"[1, 2, 3]"
Q: Right.,A: in New York. She was my mother. I should have known that Tippy was much older than I was. Who knew?,"[1, 2, 3]"
"Q: Yeah, yeah, yeah.",A: The where was I? Let me get back to the part of being being the favorite because I sang. Interview with David Wisnia 9,"[1, 2, 3]"
Q: Yes.,"A: Isang. When I sang, Sochaczew was a small town","[1, 2, 3]"
Q: Yes.,"A: -- even though it had thousands of Jews. But the synagogue, I became the soloist in the synagogue in Sochaczew.","[1, 2, 3]"
Q: What was the name of the synagogue in Sochaczew?,A: I don't remember.,"[1, 2, 3]"
Q: There was justa was it only one synagogue?,A: The only major,"[1, 2, 3]"
Q: Okay. So it was likea_ it was the major synagogue.,"A: There was a major big synagogue. And there was a Beis Medrash,","[1, 2, 3]"
Q: Sure.,"A: which was for the ultra, ultra orthodox.","[1, 2, 3]"
"Q: Yeah, sure.","A: But the synagogue was also, and that was Cantor Helmer.","[1, 2, 3]"
