Question,Answer,topics
"Q: This is a United States Holocaust Memorial Museum interview with Mrs. Jacqueline Hieminga, on August 9"""", 2016, in Nashua, New Hampshire. Thank you very much, Mrs. Hieminga, for agreeing to speak with us today, and to share some of your experiences during World War II. Before we get to that point, I'm going to ask an awful lot of questions about your pre-war life, so that we can become better acquainted with you. So I'1l start with the most basic ones, and we'll go from there. So, my very first question is, can you -- can you tell me, what was your name at birth, when you were born?",A: Oh on -- ja -- wasn't --,"[1, 2, 3]"
Q: Your maiden --,A:--ma--- my maiden name? Oh.,"[1, 2, 3]"
Q: Your maiden name.,A: Jacqueline van Westreenen.,"[1, 2, 3]"
Q: Can you repeat that for me?,"A: Jacqueline van Westreenen, as a wa --","[1, 2, 3]"
"Q: Jac -- okay, Jacqueline van Westreenen.","A: Westreenen, yeah.","[1, 2, 3]"
"Q: Okay. And what was the date of your birth?ontectnetbnancedjushetnney for father Hlonmalberabouttfiseetecion Interview with Jacqueline Hieminga : August 9, 2016","A: August ""76 -- August ""76, 19 -- you have to help me dear.","[1, 2, 3]"
"Q: August 26, and what year? Q: 1922?","A: Yeah, is this month --","[1, 2, 3]"
Q: Okay.,A: -- that I will be ni -- 94 years old.,"[1, 2, 3]"
"Q: Well, happy birthday.","A: Oh, thank you.","[1, 2, 3]"
"Q: So, August 26"", 1922.",A: Yeah.,"[1, 2, 3]"
Q: And where were you born?,A: In Rotterdam.,"[1, 2, 3]"
Q: In Rotterdam.,A: Yeah.,"[1, 2, 3]"
Q: Did you si-- grow up in Rotterdam as well?,A: Yeah.,"[1, 2, 3]"
Q: Okay. Did you have brothers and sisters?,"A: One sister, and one brother, yeah.ontectnetbnancedjushetnney for father Hlonmalberabouttfiseetecion Interview with Jacqueline Hieminga deg August 9, 2016","[1, 2, 3]"
"Q: And were they older, or younger than you?","A: No, I was the oldest.","[1, 2, 3]"
"Q: Okay. Can you tell me their names, their first names?","A: My -- my brother's name was Gerrit van Westreenen, and my sister's name was -- A2: Francisca(ph).","[1, 2, 3]"
"Q: Okay. Can you tell me their names, their first names?",A: Mosisca(ph)? A2: Franfrisca(ph) van Westreenen.,"[1, 2, 3]"
"Q: Okay. Can you tell me their names, their first names?",A: Yeah [indecipherable],"[1, 2, 3]"
Q: Francisca(ph)? Was it Francisca(ph)?,"A: Yeah, yeah, Francisca(ph).","[1, 2, 3]"
Q: Van Westreenen.,A: Yeah.,"[1, 2, 3]"
"Q: Okay. And do you -- how much -- who is the next one in line, after you? Who is the next oldest?",A: My -- my brother.,"[1, 2, 3]"
Q: Gerrit -- Gerrit.,"A: Yeah, Gerrit, yeah.","[1, 2, 3]"
Q: Yeah. And then came Francisca(ph)?,A: Yeah.,"[1, 2, 3]"
Q: How many years between you?,"A: Well, with my brother was maybe two or three years, and with my sister, it was quite a -- A2: Thirteen.","[1, 2, 3]"
Q: How many years between you?,A: -- thirteen year in between.,"[1, 2, 3]"
"Q: Oh, so you were a teenager when she was born?","A: Yeah, yeah.","[1, 2, 3]"
"Q: Okay. And your mother and your father, can you tell me their names? Your father's first name?",A: Gerrit.,"[1, 2, 3]"
Q: Gerrit?,"A: Gerrit, same as --","[1, 2, 3]"
Q: Gerrit.,"A: -- same as my brother, you know.","[1, 2, 3]"
Q: How do you spell that?,"A: G-e-r-r-i-t, Gerrit.","[1, 2, 3]"
"Q: Gerrit, Gerrit, okay.","A: Gerrit, yeah.ontectnetbnancedjushetnney for father Hlonmalberabouttfiseetecion Interview with Jacqueline Hieminga "" August 9, 2016","[1, 2, 3]"
Q: Gerrit. And your mother's name?,A: You want all the f-- all the first names?,"[1, 2, 3]"
"Q: All the first names, okay.",A: Bartje [indecipherable],"[1, 2, 3]"
Q: Oh my goodness. All the -- so how do I spell her first name?,A: Bartje.,"[1, 2, 3]"
Q: B-a-r -- t-h --,A: T -t-j-e.,"[1, 2, 3]"
"Q: T-j-e, ah, Bartje.","A: Yeah, yeah.","[1, 2, 3]"
Q: Okay. And her maiden name was?,A: Van Hattum.,"[1, 2, 3]"
Q: Van Hattum.,"A: Hattum, yeah.","[1, 2, 3]"
Q: Van Hattum. And tell me a little bit about your parents. How did your -- how did your father -- I assume it was your father -- support the family?,A: How you call what -- what -- what he was from -- from -- for the job?A2: He was an -- a metal former.,"[1, 2, 3]"
