Question,Answer,topics
"Q: This is a United States Holocaust Memorial Museum Interview with Mrs. Eugenia Weiss Greenberg on May 9th, 2013, in Brooklyn, New York. And I would like to start by thanking you, Mrs. Greenberg, for agreeing to seeing us today, to telling us your story, to sharing your experiences with us. I will begin at the beginning, and I would like you to tell me your name at birth, when you were born, and where you were born.","A: Eugenia, that's the Italian name; Weiss, that was my maiden name; and I was born in Abbazia, Italy.","[1, 2, 3]"
Q: Abbazia?,"A: Abbazia. And it's on the Adriatic Coast, right above Trieste.","[1, 2, 3]"
Q: Is it a village or a town?,"A: It was a resort town where all the royals of Austria and the Hauptburg Empire used to come and spend their holidays. __ It's a really beautiful little town on the Adriatic, and it's since become Croatia after World War II.","[1, 2, 3]"
Q: So it's right at that border?,"A: Right where Tito, you know, he appropriated that area, and nobody contested him because there was a Cold War and whatever, and it's now called Opatija.","[1, 2, 3]"
Q: Opatija?,A: Opatija.,"[1, 2, 3]"
Q: So Opatija in Croatian?Interview with Eugenia Was WIEBE oma Stour colseten 4,"A: Yes, and it's right near Fiume. It used to be Fiume. Now I think it's called Rijeka or something like that, which means river.","[1, 2, 3]"
Q: And when were you born? -- Give us your date.,"A: March 4th, 1932.","[1, 2, 3]"
"Q: March 4th, 1932?",A: Yes.,"[1, 2, 3]"
Q: So you grew up in the 1930s in this little lovely resort town?,"A: Right, it was more like an international little village because a lot of languages were spoken there.","[1, 2, 3]"
Q: What do you remember from your childhood? What languages did you hear?,"A: Well, we had a governess, and she was Croatian, so my parents tell me that I learned Croatian, and my parents spoke German, so I spoke a little German and Italian.","[1, 2, 3]"
Q: What language did you speak at home with your parents?,A: We spoke a kind of a German. We didn't speak Yiddish then.,"[1, 2, 3]"
"Q: Oh, so you spoke German but not Yiddish?",A: Yeah.,"[1, 2, 3]"
Q: And you didn't speak Italian with one another?,"A: Yes, oh, yes, but not with my parents, with other children; and even though after 1938 when the sanctions came into existence, Jewish children were not allowed to attend school.","[1, 2, 3]"
Q: We'll get to that point.,A: Okay.Interview with Eugenia Was WIEBE oma sbourans eoteewen 5,"[1, 2, 3]"
"Q: Right now, so at home, you spoke German with your parents?",A: Yeah.,"[1, 2, 3]"
"Q: And Italian, Croatian?","A: Well, with my governess, you know, but I forgot Croatian. I don't remember it, but that's, you know, what my parents told me, but with all my neighbors and children, other children, I spoke Italian. We spoke Italian.","[1, 2, 3]"
Q: Did you have brothers and sisters?,"A: [have a -- I had a brother who was 14 months younger than I, who unfortunately died last year.","[1, 2, 3]"
Q: What was his name?,A: Beno Weiss.,"[1, 2, 3]"
Q: Beno Weiss?,"A: He was a professor, full professor at Penn. State, a really wonderful human being, and he would have been so proud to be here today, but he died unfortunately last year.","[1, 2, 3]"
"Q: Well, my condolences for your loss.","A: Thank you. And then after the war, my parents had two more children.","[1, 2, 3]"
Q: Oh?,"A: My sisters. So my brother and I, we were pre-war, and they were post-war.","[1, 2, 3]"
"Q: And just for right now, give us the names of your sisters.","A: My sister, the older one, they are a year apart, Ruth Weiss Schneider is her name now, and Judy Weiss Gentile.","[1, 2, 3]"
Q: And what years were they born in?Interview with Eugenia Was WIEBE oma Stour colseten 6,"A: One, ""45, and ""46, right after the war.","[1, 2, 3]"
"Q: So you're ten years apart, basically, ten, twelve years?","A: No, a little more.","[1, 2, 3]"
"Q: Yeah. So what were your parents"" names?","A: Rachel Weiss and Isaac Weiss, and in Italian, he was known as Isaco, and Rachele.","[1, 2, 3]"
"Q: Let's pause just a little bit. We will let the train go by. So how is it that you spoke German with your parents at home? Were they native to Abbazia, the village? Is that how I say it?","A: No, my parents were born in Poland.","[1, 2, 3]"
Q: Oh. What part of Poland?,"A: Galicia. And my mother was born in -- no, not Presburg. It will come to me ina second. Can we --","[1, 2, 3]"
"Q: Yeah, we can stop. We can keep on going, and when it comes to you, just say.",A: My father was born in Yashanitza {ph}.,"[1, 2, 3]"
Q: Were these areas part of the Austro-Hungarian Empire?,"A: Yes, that's why they spoke German, and they -- I think they were forced to go to elementary school, and I think they probably learned German, but my dad ran away from home when he was 16 because he didn't want to go into the Army. So he was like a real traveler, and he lived in Vienna for five years before going up to Cannes, and then he traveled down the coast and then ended up in Abbazia, and that's where he settled and married.","[1, 2, 3]"
Q: How did your mother end up here?Interview with Eugenia Was WIEBE oma sbourans eoteewen 7,"A: Well, my father went to visit his parents, in Migrot, my mother comes from a town called Migrot {ph}. Her father was a shoykhet.","[1, 2, 3]"
Q: What's that?,"A: A kosher butcher. And he came to my father's town. You know, they needed, I guess, a shoykhet, and when he was there, he met my mom, and then they were engaged for five years, and then finally they got married.","[1, 2, 3]"
