Question,Answer,topics
"Q: Good morning. This is a United States Holocaust Memorial Museum interview with Mrs. Mira -- Miss Mira Zimmerman, on January 23"", 2015, in Chicago, Illinois. Thank you very much, Mira, for agreeing to speak with us today about your early experiences, your experiences during the war, and how your life was shaped by it. I'm going to start by asking you some questions that are before the war. And we'll start at the very beginning. So my first question is, what was your name at birth, when you were born?",A: What was?,"[1, 2, 3]"
Q: Your name --,A: My na--,"[1, 2, 3]"
"Q: -- when you were born, mm-hm.",A: I don't understand what --,"[1, 2, 3]"
Q: Could you tell me your name?,"A: My name was Mira Zimmerman -- Mira -- Mirostawa(ph) Zimmerman actually, because that's the official name.","[1, 2, 3]"
"Q: That's exactly what I wanted, Mirostawa(ph) -- Mira Mirostawa(ph) Zimmerman.",A: Mm-hm.,"[1, 2, 3]"
"Q: And what was the date of your birth?Interview with Mira Zimmerman : January 23, 2015",A: My -- 1934 -- 1934,"[1, 2, 3]"
"Q: So that would be September 19"", 1934?",A: That's right.,"[1, 2, 3]"
Q: Okay. And where were you born?,A: Grodno.,"[1, 2, 3]"
Q: Grodno --,A: Poland.,"[1, 2, 3]"
"Q: Uh-huh. What is Grodno? Is it a town, or a village?",A: It's -- it's a town on the river Neman.,"[1, 2, 3]"
Q: On the river Neman? And where is it --,A: The river Neman is -- go-goes into Baltic.,"[1, 2, 3]"
"Q: So, what part of Poland is this in? Is it the north, the south, the west?","A: Well, it -- it was the ea-east.","[1, 2, 3]"
Q: The east.,A: Th-The Russian side --,"[1, 2, 3]"
Q: I see. Okay.,"A: -- of Poland, prior to the outbreak of the second war.","[1, 2, 3]"
"Q: Okay. So it was -- Grodno, it is part of Poland.","A: Grodno is -- is Poland, but of course, it has been really moved, Russia.","[1, 2, 3]"
"Q: Uh-huh, now. You mean today it's part of Russia --Interview with Mira Zimmerman deg January 23, 2015",A: Or--,"[1, 2, 3]"
Q: -- or Belarus?,"A: -- that -- that -- well, up to Yelta(ph) th-they divided it, shifted it the --","[1, 2, 3]"
"Q: I see, they shifted it.",A: I-- shifting the borderline sometimes is confusing.,"[1, 2, 3]"
"Q: It's true. In the eastern part of Poland, you could be born in one city, and live there all your life, and yet live into several countries.",A: Yeah.,"[1, 2, 3]"
"Q: Depending on how the borders shifted. Tell me, do you have any memories of Grodno?",A: I?,"[1, 2, 3]"
Q: Do you remember what Grodno looked like?,"A: Oh, no. I remember I was taken to a movie, first time in my life, and I created so much [indecipherable] everybody else was laughing.","[1, 2, 3]"
Q: Really?,A: Was a Shirley Temple movie.,"[1, 2, 3]"
Q: Really? It wa -- and you remember that it was a Shirley Temple movie.,"A: I-- well, that wa -- you admir -- you have to remember, I didn't have video games and other things, so that was a big thing. But --","[1, 2, 3]"
"Q: So what kind of a fuss did you create?Interview with Mira Zimmerman deg January 23, 2015",A: Hm?,"[1, 2, 3]"
Q: What kind of a fuss did you create at that movie?,"A: Well nothing, til someth -- something about oh, rish -- a Shirley Temple movie, and Walt Disney's ""Snow White."" She is running, she is running, she is --","[1, 2, 3]"
Q: So you were saying that?,"A: Oh, I was yelling on top of my voice supposedly, which could be annoying, but it could be amusing.","[1, 2, 3]"
