Question,Answer,topics
"Q: This is a United States Holocaust Memorial Museum interview with Mr. Shimon Schwarzschild, on April 23"", 2017, in Manhattan, New York City, New York. Thank you very much for agreeing to meet with us today, and to share your story. Before I ask all of the questions related to your bio, could you tell me, how do you pronounce your name properly? I'm not sure if I got it.","A: That's wha -- thank you for saying that, I was going to interrupt you. The different parts of my family pronounce it differently. I pronounce it in a more German way, which is Schwarzshield(ph).","[1, 2, 3]"
"Q: Schwarzshield(ph), okay.","A: Cause it comes -- it means black shield, or black coat of arms. However, other parts of my family have gone to Schwarzschild. So I am Schwarzshield(ph), Shimon Schwarzshield(ph).","[1, 2, 3]"
"Q: Schwarzshield(ph), okay. And tell me, was Shimon your name at birth?","A: It wa--it was my name at birth, and then i-i-- my parents, who were Orthodox Jewish in a small town, had two lifestyles they lived by. They h-- they -- they had their Jewish names. My father, for example, was Abraham, and they had their token to assimilation, their Germanic names, and his Germanic name, if you'll pardon the expression, was Adolf.ontactrefieannedjustanmiang er hither btemelortabnattfiexaliaton Interview with Shimon Schwarzschild : April 23, 2017","[1, 2, 3]"
"Q: Oh no, really?","A: And in my case, I was born Shimon, but -- but my Germanic name that I lived for my whole lifetime in Germany was Siegbert.","[1, 2, 3]"
Q: Siegbert.,"A: And then when I came to this country, I changed it to Bert. And one day in -- of course in California, where else, up in a redwoods trees, I had this flash that said, you've always liked the sound of Shimon, and Bert Schwarzschild is so guttural, and I went to all the bay -- I-I went to, almost instinctively to the banks, to the social security, everywhere, and I took back Shimon.","[1, 2, 3]"
Q: And about --,"A: And that's about 20 years ago, or longer.","[1, 2, 3]"
"Q: Oh, so when you were in your 70s already.",A: Pardon? I was --,"[1, 2, 3]"
Q: So--,"A: -- yeah, in my 60s, maybe.","[1, 2, 3]"
Q: In your 60s.,A: Or somewhere like that.,"[1, 2, 3]"
Q: So --so you had lived a great portion of your life as Bert.,"A: As Bert, that's right. Interview with Shimon Schwarzschild deg April 23, 2017","[1, 2, 3]"
Q: Wow.,"A: I--so, when I Google myself, the-there's a life at Bert, and a li-- and mor -- the -- and a more recent life at Shimon.","[1, 2, 3]"
"Q: And just a question of curiosity, I hadn't heard that before, though I'm sure many, many people did so, that you have a name that is reflective of Orthodox Judaism, and then another name that is more assimilation --","A: Germanic Siegbert, like sieg heil. I hate to say it, you know.","[1, 2, 3]"
"Q: Can you tell me, wa -- was there a formal way? Did you have to se -- did your parents have to have formal documents that had one name, or could they have both?","A: Well, when we first came here, I was Siegbert.","[1, 2, 3]"
Q: Okay.,A: And --and--,"[1, 2, 3]"
