Question,Answer,topics
"Q: This is a United States Holocaust Memorial Museum interview with Mrs. Jutta Preuss on July 13th, 2014. Thank you very, very much, Mrs. Preuss, for agreeing to speak with us today. I would like to start by asking you the same questions that I did Mr.","A: April 11, 1923, in Berlin, Germany. My maiden name is Popower, P-O-P-O- W-E-R.","[1, 2, 3]"
Q: And was your family originally from Germany or from someplace else?,"A: No, my father came to Germany during the -- must have been the early Twenties. He was taken to the first war, and he was taken to the Army, and he didn't like it. He said, ""What I do in the Army, to kill people that I didn't met, that didn't do anything bad to me?"" And he escaped. Then they looked for him and put him in the prison, and the prison -- I don't know how he came out or if he escaped, I don't know, I don't remember, and he came to Germany.","[1, 2, 3]"
Q: Was he in the Russian Army or was he in the German Army?,"A: No, in the time when -- when he lived there, Poland was Russia, occupied from the Russians.","[1, 2, 3]"
Q: Uh-huh. So he lived in the eastern part of Poland that had been part of the Russian Empire?,"A: No, he lived -- he was born in Varso(ph).","[1, 2, 3]"
Q: Uh-huh. In Russia.,A: And his family come from Kokarus(ph).,"[1, 2, 3]"
Q: Isee. Isee. And -- and your mother?,A: My mother was Polish.,"[1, 2, 3]"
Q: And what was her maiden name?,"A: Her maiden name, Ruchla Bielinski(ph).","[1, 2, 3]"
Q: Ruchla was her first name?,A: Yeah.,"[1, 2, 3]"
Q: And her last name was Bielinski(ph)?,A: Yes.,"[1, 2, 3]"
Q: And what was your father's first name?,A: Abraham.,"[1, 2, 3]"
Q: Abraham Popower?,A: Yeah.,"[1, 2, 3]"
Q: And had it been the Tsarist Army he had been in?,A: What?,"[1, 2, 3]"
Q: Was he -- was he drafted into the Russian Army?,"A: To the Russian Army, yeah.","[1, 2, 3]"
Q: Uh-huh. And that's where --,"A: No, in this time he was in Poland born, but Poland was part of Russia.","[1, 2, 3]"
Q: Isee. Isee. And where did your parents meet?,A: I don't know. Maybe in Russia.,"[1, 2, 3]"
Q: Uh-huh.,"A: But I have -- had a brother. He died in the meantime. He was nearly four years older than me, and he was born in Russia.","[1, 2, 3]"
Q: Did you know him?,A: Of course.,"[1, 2, 3]"
"Q: Oh, I see, he didn't die as an infant. He died as an adult, so --","A: Yeah, he died, he was 70 years old.","[1, 2, 3]"
"Q: Isee. I see. So it was -- when you were born in Berlin, --",A: Yes.,"[1, 2, 3]"
Q: -- it was actually that the family had very recently moved there?,A: Idon't know.,"[1, 2, 3]"
Q: Okay.,"A: Idon't know. I think my father, maybe he was -- maybe. I don't know.","[1, 2, 3]"
Q: All right.,A: I-- with my mother I met when I was nearly 18 years old. I did not have a relationship with her before.,"[1, 2, 3]"
"Q: Well, explain this to us. How did it happen?","A: My parents divorced after I was born when my father did not believe that I was his daughter, and -- but then I -- they put me with a couple they paid monthly to raise me, and I was by then nearly one-and-a-half years, and my mother was a picaflor. (Laughing.)","[1, 2, 3]"
Q: What does that mean? What does that mean?,"A: He liked all the flowers, men flowers.","[1, 2, 3]"
Q: Isee. I see.,"A: And so he -- he could not believe that I was his daughter, but when I grow a little bit older, I was the one what looked more like him. I had the same nose.","[1, 2, 3]"
"Q: Oh. So that's how they -- you know, in those days they didn't have DNA testing.","A: No, no.","[1, 2, 3]"
Q: Yeah.,"A: And my father always said he had a Catholic nose, and I am born with a Catholic nose like he had. So my -- they divorced, and my mother disappeared. I think she went to Brazil. She lived in Brazil then. And years later, my father had -- she had a son, no, my brother, and one day when the -- he went out, and he saw his son looking between garbage; said, ""What you are looking?"" He said he is hungry. ""You are hungry. Where is your mother?"" ""At home."" ""And why you are here?"" ""She sent me out."" And then my father went to the judge and said, ""I like to have the right of my children."" So my mother -- they took her right away as mother to take care of the children, and he raised me and his -- my brother.","[1, 2, 3]"
Q: That sounds like a very sad beginning.,A: Yeah. I never had a mother.,"[1, 2, 3]"
Q: No.,"A: And I think I can tell you I am grateful to her that she sent me the documents that I could come out from Germany, but she was a person that is very hard to believe.","[1, 2, 3]"
"Q: Itis. It is. Tell me this, was your father -- were you close to your father as you were growing up?","A: Oh, my father loved his children.","[1, 2, 3]"
Q: Okay. And what are some of your earliest memories?,"A: My earliest memory? I had varied caretakers, what my father took for the half of his house and for to raise his children. We spoke only German at home. I didn't learn another language. And some of them I liked much, but some not so. We had some of them that teach me from Jesus Christos. I think they wanted to convert me when I was five years old.","[1, 2, 3]"
"Q: So you would have -- you would have caretakers who wanted to -- who wanted to save your soul, in other words?",A: Yeah. (Laughing.) It is funny. And -- but we are not religious at home.,"[1, 2, 3]"
Q: Uh-huh. That was my next question. So your father didn't go to synagogue much?,"A: Idon't know. I don't know. Maybe when he came to Germany and we lived on the strasse, and the ones near synagogue that he went by my brother, he took him tothe synagogue, and I remember I must have been three or four years old, and my brother went to the synagogue, and they called him to the Torah -- you know what is the Torah?","[1, 2, 3]"
Q: Uh-huh. Explain.,"A: And then I cried I like to go also, so they took me. And when they called my brother to the Torah, I said, ""I like to go, too,"" so next time they put me pants on that I looked like a little boy.","[1, 2, 3]"
