Question,Answer,topics
"Q: Okay, this is Mr Paul Jonas, and you're here to explain what this","A: Well, this is -- the oldest brother is missing here. This is the next. QO: What's his name?","[1, 2, 3]"
"Q: Okay, this is Mr Paul Jonas, and you're here to explain what this","A: Joe or Joseph. Next to him is sister, Esther. Next to her is Shulim. QO: Who we'll talk to in a minute?","[1, 2, 3]"
"Q: Okay, this is Mr Paul Jonas, and you're here to explain what this","A: Right. And next to him is sister, Hilda, and this one is me. QO: That's Paul Jonas, the littlest boy.","[1, 2, 3]"
"Q: Okay, this is Mr Paul Jonas, and you're here to explain what this","A: Paul Jonas, yeah. And this is my sister Manna(ph)","[1, 2, 3]"
Q: So it's the whole Jonas sibling clan except for Avraham?,A: Yeah.,"[1, 2, 3]"
Q: Except for the oldest boy?,A: Yeah.,"[1, 2, 3]"
Q: All from Sanok?,"A: All from Sanok, yeah.","[1, 2, 3]"
Q: So it's the Jonas kids?,A: Yeah. We were all born there and grew up over there.,"[1, 2, 3]"
Q: Do you know about when this photograph was taken?,"A: No. Looks like Iwas say, about what, five years old?","[1, 2, 3]"
Q: So it would have been late 1920s?,"A: Yeah, right.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.deage ight Ree YeTER HAIRCARE S SR Geet Memorial MussH ase ection eb yal dest aeues: lntgimalien abgubgcess andInterview with Shulim Jonas 4","[1, 2, 3]"
"Q: Late 1920s maybe 1930, ""31 something like that, but not longer?","A: No, it looks like it, yeah. You're right, yeah.","[1, 2, 3]"
Q: It's alovely photograph.,"A: What else could Ijust say about it? The only thing I could tell, that she was theprettiest +","[1, 2, 3]"
Q: Who is that?,A: Hilda.,"[1, 2, 3]"
Q: Hilda?,"A: She was pretty. She was very pretty, you know. And this one here, he was a smart... He was smart but... QO: That's Shulim?","[1, 2, 3]"
Q: Hilda?,"A: Shulim. But nothing went _, he went to college, nothing at all.","[1, 2, 3]"
Q: So all six children survived except for Avraham who is not here?,"A: He got killed. I think the same day or the day before when the Americanscame in or Russians,whatever.The Russians, yeah.","[1, 2, 3]"
Q: Thank you very much.,"A: You're welcome. QO: We can now stop. And we're rolling. So we're talking, from left to right, the oldest person on the left, the young man, who was that?","[1, 2, 3]"
Q: Thank you very much.,"A: This is my brother Joe. QO: Next to him, the tallest girl? The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview. deage ight Ree YeTER HAIRCARE S SR Geet Memorial MussH ase ection eb yal dest aeues: lntgimalien abgubgcess and Interview with Shulim Jonas 5","[1, 2, 3]"
Q: Thank you very much.,"A: This is Esther, my sister.","[1, 2, 3]"
Q: She is kind of in the middle of the photograph.,A: Yeah. QO: Next to her?,"[1, 2, 3]"
Q: She is kind of in the middle of the photograph.,A: Is my brother Shulim. QO: Okay?,"[1, 2, 3]"
Q: She is kind of in the middle of the photograph.,A: And next to him is Hilda.,"[1, 2, 3]"
"Q: Okay. And down in the right-hand side, closer to the bottom, who's that?","A: That's me, Paul Jonas. QO: Okay?","[1, 2, 3]"
"Q: Okay. And down in the right-hand side, closer to the bottom, who's that?",A: And -- QO: Youngest?,"[1, 2, 3]"
"Q: Okay. And down in the right-hand side, closer to the bottom, who's that?","A: Is the sister, Manna.","[1, 2, 3]"
"Q: She's on the right-hand side -- or the left hand, excuse me, I'm confused now.",A: Esther.,"[1, 2, 3]"
Q: Esther? Then comes Shulim?,A: Shulim. QO: Then comes Hilda?,"[1, 2, 3]"
Q: Esther? Then comes Shulim?,A: Yeah.,"[1, 2, 3]"
Q: Then?,A: Paul.,"[1, 2, 3]"
Q: And then?,A: Manna.,"[1, 2, 3]"
Q: Got it? Okay. Terrific. Thank you so much. Q: This is the United States Holocaust Memorial Interview with Mr.,A: Okay.,"[1, 2, 3]"
Q: I'm going to ask you a few questions.,A: Okay.,"[1, 2, 3]"
"Q: I know it's not so easy for you to hear me, but I will speak loudly.",A: Okay.,"[1, 2, 3]"
Q: And we'll start with very simple questions. Where were you born? When you,A: Where I was born and when I was born?,"[1, 2, 3]"
Q: Yes.,A: Iwas too small that time when I was born {Laughter}.,"[1, 2, 3]"
Q: You don't remember? How can you not--,"A: Iwas born 1917, 22 June.","[1, 2, 3]"
Q: On June 22--,"A: On June 22 I was born in Poland, and I always thought that this is my onlycountry.","[1, 2, 3]"
Q: Was Poland?,"A: But I did think this until the main war started.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.eae rights ee eee RSSRE BPS Sea IS: Memorial MussH ase ection eb yal dest aeues: lntgimalien abgubgcess andInterview with Shulim Jonas 8","[1, 2, 3]"
"Q: Okay, wait--",A: And I saw that they wanted to kill us and I did had to hide. I gave up. I thenthought that | am a stranger there and Poland is not my ?went?.,"[1, 2, 3]"
Q: That must have been very painful.,A: So I was--I went to gymnasium.,"[1, 2, 3]"
Q: First tell me this. Tell me about your family. How many brothers and sisters,A: My family was abig family. Seven children. Four brothers and three sisters.,"[1, 2, 3]"
Q: Who was the oldest?,A: Huh?,"[1, 2, 3]"
