Question,Answer,topics
Q: This is a United States Holocaust Memorial Museum interview with Mrs.,A: Tyroler.,"[1, 2, 3]"
"Q: Tyroler -- on May 8"", 2013, in Queens, New York. Thank you. Thank you","A: It will be quite simple, because my parents were both only children. So my nameis Alice Tyroler, I was born on December 23"", 1926 in Bratislava, which was atthis time, Czechoslovakia. And my father's name was call -- Colemon(ph), orCalmen(ph).","[1, 2, 3]"
Q: Calmen(ph).,A: Isela.(ph),"[1, 2, 3]"
Q: Isela(ph).,"A: Isela(ph). And my mother's name was Anna Isela(ph), kay -- born Fisher.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.Interview with Alice Tyroler :May 8, 2013","[1, 2, 3]"
"Q: Uh-huh, she -- her maiden name was Fisher.","A: Her maiden name was Fisher, yeah. And --","[1, 2, 3]"
Q: And your maiden name was Isela(ph).,"A: Isela(ph), yeah. And --","[1, 2, 3]"
Q: Did you have brothers and sisters?,"A: [had one brother, by the name of Korp(ph). He was born on -- was born onJanuary -- oh, I forgot now. I think it was the 12"", 1924.","[1, 2, 3]"
Q: So he was older?,"A: Yes, about three years.","[1, 2, 3]"
Q: Okay. And tell me a little bit about your family life. What was your father's,"A: My father -- my father had a store in Bratislava, which was -- imported materialfor suit and men's and ladies"" clothing --","[1, 2, 3]"
"Q: Textiles, uh-huh.","A: -- he imported textile. He imported material from eng -- England and alsoScotland, and also from Czechoslovakia, was bought from Berlin and sent tovarious factories.","[1, 2, 3]"
"Q: And did -- was he a textile merchant, or was he somebody who actually pre --","A: No, he wasn't that, he was importing it and selling it.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.5Interview with Alice TyrolerMay 8, 2013","[1, 2, 3]"
"Q: Okay, and others made the suits.",A: Yeah.,"[1, 2, 3]"
Q: Okay.,"A: They were tailors and the client would come and buy the material, or call myfather up and said, Herr Isela(ph), I need a suit for this [indecipherable] occasion,because he knew him already. And so he would pick and show it to the person, andsometimes recommend a tailor.","[1, 2, 3]"
Q: Okay. Did you ever work in the store --,A: No.,"[1, 2, 3]"
