Question,Answer,topics
Q: This is a United States Holocaust Memorial Museum interview with,A: Irene -- [rena Synowiec.,"[1, 2, 3]"
Q: Did you have a middle name?,A: No.,"[1, 2, 3]"
Q: No middle name.,A: Not at that time.,"[1, 2, 3]"
Q: Okay. And what was the date of your birth?,"A: February 16, 1930.","[1, 2, 3]"
Q: 1930. And where were you born?,"A: Brantowce -- osada Brantowce, powiat Wolkowysk, wojewod -- wait -- gminaLyskow, powiat Wolkowysk, wojew6dztwa Bialostocka.","[1, 2, 3]"
"Q: Okay. So you were in the Bialystok region -- The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.",A: Yes.,"[1, 2, 3]"
Q: In the settlement of Bransowts(ph)?,A: Brantowce.,"[1, 2, 3]"
Q: Brantowce. And tell me the names of your mother and father.,"A: My mother is Zofia(ph) Bokwajits(ph) Synowiec. And my father,Wawjeenitz(ph) Synowiec.","[1, 2, 3]"
Q: Wawjeenitz(ph) Synowiec.,A: Yes.,"[1, 2, 3]"
Q: And your brothers and sisters?,"A: Sti-- brat -- brother Stanistaw Synowiec, and my sister, Stanistawa SynowiecTobis.","[1, 2, 3]"
Q: And you had another brother?,"A: Yeah, jor -- little George.","[1, 2, 3]"
Q: Little George.,A: Baby George.,"[1, 2, 3]"
Q: What would his name be in Polish?,A: Urich.,"[1, 2, 3]"
"Q: Urich, Urich. And when was he born, what year?","A: 1939.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.5Interview with Irene SobczakJauary 28, 2015","[1, 2, 3]"
Q: Okay. Do you remember the exact date?,"A: No, not the date.","[1, 2, 3]"
"Q: Not the date, okay. Tell me, what are some of your earliest memories from","A: Oh, I tell you, it was like a paradise on earth.","[1, 2, 3]"
Q: Really?,"A: Well, we had everything there; a place for us to play, we had the river to spendthe summer -- summer days there, and woods to run around, fields, garden, and youname it, you know, we had.","[1, 2, 3]"
