Question,Answer,topics
"Q: Good morning, Lore.","A: Good morning, Joan.","[1, 2, 3]"
Q: It's nice to see you. Tell me what -- what your name was -- what -- what is your name now?,A: My name now is Lore Segal.,"[1, 2, 3]"
Q: And --,A: I was born Lore Groszmann.,"[1, 2, 3]"
Q: But it was Lore?,"A: It was Lore, and nobody can pronounce it the way my mother did, which is Loourie, you see, is the Austrian way to do it.","[1, 2, 3]"
"Q: So, it was a very long O.","A: In -- and in -- while I lived in England, I was Lorry, like a truck. But now people ask me how to pronounce it and I say 0-open season, any --","[1, 2, 3]"
Q: O -- and what was your date of birth?,"A: March 8"", 1928.","[1, 2, 3]"
"Q: Now tell me something. This is, for me, somewhat odd way to start, but you wrote a novel about your -- about your experiences in Vienna and going to England. Why did you decide to write a novel and not a memoir?","A: Because I was really less interested in the history than in being a writer. And for many years -- I -- I have written little stories before that, and I came to the point in my 20's when it seemed to me I had no subject. I hadn't been in love, I hadn't died. None of the big events had happened to me, and I wanted to be writing. And it seemed to me that these stories that I did have with -- my experiences were a dime a dozen, everybody knew about them. And then one day I -- when i-in -- in my early days in New York, I had gone to the new school and taken a course in creative writing, and we -- the people in that class had a s -- had a -- had a party. And somebody said to me, how did you come to the United States? And I began to tell my -- my Hitler stories. And there was that silence in the room that I have since had as a teacher, but hadn't experienced at that time. I thought, gee, wow, I have stories to tell and it a -- and -- and it came to me that these stories were my subject. But again, I wa -- didn't write them because I wanted to -- what I think is now known as bearing witness. I wanted to be writing. And I -- I mean another answer is that as a novelist you can in a way -- it's a cliche, it's a truism, but you can be truer that you can --","[1, 2, 3]"
Q: Mm-hm.,A: -- by sticking to the facts. Can I give you an example of --,"[1, 2, 3]"
Q: Sure.,"A: -- how writing as a novelist changed what might be a fact. One of the -- one of the chapters in ""Other People's Houses"" was about my attraction for awhile to the stories of Christianity. No-Notice that I'm -- it's the stories that attracted me. Now, in the chapter about this in ""Other People's Houses"", I made it may -- the narrative seems to suggestthat it was the people in -- my foster parents at the -- of the time, my foster -- two -- two foster mothers tried to convert me. And when they got to -- when th -- one of them at any rate, read the story, s -- read the book, she wrote me and said, but we never tried to convert you. And I wrote back and said absolutely not, you didn't. But for an -- for a story, to be seduced by a person is more -- is a be -- it's a better story than being seduced by an idea. In fact, it's almost impossible novelisticly to write that. So novels suit me better than history, or biography, or auto-biography. It's a long answer.","[1, 2, 3]"
"Q: No, it's very -- it's very interesting. So is -- is doing an interview somewhat problematic for you because you are not being a novelist now, when I ask you questions?","A: Oh, no. I will try and answer you historically. But I -- as we were saying earlier, once you have actually written something, or even told it a lot, something has happened to it.","[1, 2, 3]"
