num,question,answer
0,header,"https://collections.ushmm.org
Contact reference@ushmm.org for further information about this collection
United States Holocaust Memorial Museum
Interview with Henry Stern
June 8, 2016
RG-50.030* 0883
https://collections.ushmm.org
Contact reference@ushmm.org for further information about this collection
PREFACE
The following interview is part of the United States Holocaust Memorial Museum's
collection of oral testimonies. Rights to the interview are held by the United States Holocaust
Memorial Museum.
The reader should bear in mind that this is a verbatim transcript of spoken, rather than
written prose. This transcript has been neither checked for spelling nor verified for accuracy, and
therefore, it is possible that there are errors. As a result, nothing should be quoted or used from this
transcript without first checking it against the taped interview.
Contact reference@ushmm.org for further information about this collection
HENRY STERN
June 8, 2016
"
1,"This is a United States Holocaust Memorial Museum interview with Mr. Henry Stern, on June 8"", 2016, in Columbia, Maryland. Thank you, Mr. Stern, for agreeing to meet with us today, and to share your life story.",I appreciate your coming.
2,"Thank you. I will start at the beginning, and with the simplest questions, and from that, our conversation with develop, and I hope that your story unfolds. So, here we go. Can you tell me the date of your birth?","The 28"" of April, 1929."
3,And where were you born?,"In Rohrbach, by Bietingen, in Germany."
4,"And where is that in Germany, what part of Germany would that be?",That’s a good question. It’s near Frankfurt am Main.
5,"Okay, okay. Was it a village, or a town?",Small village —
6,Okay.,"— of approximately five, maybe 600 inhabitants."
7,Was it the kind of place where everybody knew each other?,"As far as I know, yes. Contact reference@ushmm org for further information about tis collection Interview with Henry Stern , June 8, 2016"
8,Okay.,I was rather young at the time.
9,Of course. And what was your name at birth?,Benno(ph) Heinz(ph) Stern.
10,Benno(ph) Heinz(ph) Stern.,Yes.
11,And when did you change it to Henry’?,"When the family moved to the United States, when we emigrated."
12,So that would have been when you were still a youngster?,Oh yes.
13,Okay.,Less than seven years old.
14,"Okay. Tell me a little bit about your mother and your father, starting with their names.","My father’s name was Siegfried Stern. My mother was Rachel, alway — always called Reshe(ph) Morganstern(ph) Stern."
15,And did you have any siblings?,"I had a brother, Walter."
16,"Was he — Contact reference@ushmm org for further information about tis collection Interview with Henry Stern ° June 8, 2016",He was a year and a half older than I.
17,Okay. That was my question. So you were the younger of the two children?,Yes.
18,"All right. At home, what language did your parents speak with one another?",German.
19,German. Any Yiddish?,"I don’t think so, but of course, Yiddish and German are quite similar."
20,Uh-huh. But German speaking —,Yes.
21,"— at any rate. Were they from the village? Can you repeat the village name, because I didn’t quite catch it.",Rohrbach.
22,"Rohrbach, Rohrbach.","Yes. And there are actually, I believe, four Rohrbachs in German —"
23,Okay.,— Germany. Which is why I mention by bid — Bietingen.
24,By Bietingen.,"Yes. https://collections.ushmm.org Contact reference@ushmm.org for further information about this collection Interview with Henry Stern ° June 8, 2016"
25,"Okay, so Rohrbach by Bietingen, that’s why it didn’t rem — it didn’t stay in my mind.",Right.
26,"So, were they originally from Rohrbach by Bietingen?",I’m sorry?
27,"Your — your parents, were they originally from the village Rohrbach by Bietingen’?",My father was.
28,Okay.,My mother was not.
29,Do you know where she was — her family was from?,"You know, I really don’t know."
30,Okay.,But apparently not too far away from Rohrbach.
31,"And your father’s family, do you know about how many generations would have been in Rohrbach by Bietingen?","As far as I have found out, approximately four or five grandfathers."
32,That’s quite a bit.,"Yes. Contact reference@ushmm org for further information about tis collection Interview with Henry Stern ' June 8, 2016"
33,"That takes us back into the 18"" century.",Oh yes.
34,"You know, and maybe even the 17"".",Yes. There was a family business —
35,Okay.,— that was passed on from eldest son to eldest son.
36,And what was that business?,"Butcher shop. Butcher, handling of cows, cattle."
37,"Was it a kosher butcher shop, or was it a regular butcher shop that everybody would shop at?",I think — I think everybody. There was —
38,"Okay. So, gentiles and Jews.",Yes. The village was too small to take care of a kosher business.
39,Okay. Were your parents religious?,I would have to say yes. We — there was a synagogue.
40,"That was my question, my next one.","And apparently my father served as cantor. And his brother, his older brother, with whom he was in business, was president of the congregation, such as it was. It Contact reference@ushmm.org for further information about this collection Interview with Henry Stern ° June 8, 2016 was a small congregation, of course. And they were un — the village was unable, or the Jews were unable to hire any rabbi, so the men took turns conducting services."
41,"Oh, I see. And do you remember going to the synagogue?",I have a vague memory of it.
42,Okay.,"And apparently, there was a mikveh, and the cemetery right outside the building."
43,"About how many Jewish families do you think were there, of the 500, or 600 or so, inhabitants?","From what I have gathered from the internet, maybe 15 families. Maybe 15."
44,"Okay, so if we even put four people per family, we’d be saying 60 people.",At the most.
45,"At the most, okay. Was it a well-integrated community?","It must have been at one time, but of course, as time came on, it — it changed."
46,"Okay. Did — did your mother help out in the butcher shop, or no?",No.
47,Okay.,She took care of the house.
48,"All right. Can you describe to me where you lived? Contact reference@ushmm.org for further information about this collection Interview with Henry Stern ” June 8, 2016","I been trying to find the house on the internet, going onto Google search. I’ve not been successful, but I do have a memory of it."
49,Please de — what is in your memory of the house?,"Well, let me explain that, closer to this time, my daughter, my eldest daughter, and her husband, who was serving in Germany — he was with the n— ASA."
50,The ASA?,Yes.
51,What is the ASA?,The es — the — out of Fort Meade.
52,"Oh, so he’s with the American military?","No, not the military."
53,"Okay, so A —I don’t know what ASA is.",It’s a security —
54,"Okay, okay.","At — at one point, we decided to visit them, but I was reluctant to go at first, but we did go. And they took us all over, showing us places. At one point they asked whether I wanted to go back to Rohrbach, and I said no. Until just the day before we were to come back to the States. It was too late. But, at a later time, maybe a year or so later, my younger daughter and her husband visited the elder daughter Contact reference@ushmm.org for further information about this collection Interview with Henry Stern "" June 8, 2016 and her husband. And I described the house that we had lived in, and they decided to go."
55,And look for it.,And they found it.
56,Did they?,"And they told the story of how they walked around looking at the building from different angles, taking pictures. And a woman who — came out, and wanted to know what they were doing there. And she explained that this the house their father and family had lived in. And she said, I often wondered what happened to those boys. My folks told us about it. She invited them into the house and served them tea, coffee, refreshments, and they looked throughout the house. The house itself was very unusual, because my father had it built."
57,Okay.,"And it was the first house in the village that had running water, and a running toilet."
58,"Well, you know, that’s what — you anticipated some of the questions that I have.",Yes.
59,"Because I always ask people, what kind of modern conveniences did you have in your — Contact reference@ushmm org for further information about tis collection Interview with Henry Stern "" June 8, 2016","It was — it was the first building, or first house in Rohrbach that had a pull chain for the toilet, and the villagers would come in to experience this phenomenon."
60,You have a museum piece there.,"I been trying to find that house on the internet, I’ve not been successful. But I understand that the synagogue has changed hands several times. And I think at one time it was a bakery, and a grocery. I have no idea what it is now."
61,"So the building remained, but it no longer was a place of worship.",No.
62,Okay. What is the address of the house that your father built?,"That’s what I’ve been trying to determine. As close as I can come to it, it’s at the corner of Herm(ph) gassen and Bunder(ph) gassen."
