num,question,answer
0,header,"http://collections.ushmm.org
Contact reference@ushmm.org for further information about this collection
United States Holocaust Memorial Museum
Interview with Arie Letzter
May 22, 2016
RG-50.030*0879
This is a verbatim transcript of spoken word. It is not the primary source, and it has not been checked for spelling or accuracy.
http://collections.ushmm.org
Contact reference@ushmm.org for further information about this collection
PREFACE
The following interview is part of the United States Holocaust Memorial Museum's
collection of oral testimonies. Rights to the interview are held by the United States Holocaust
Memorial Museum.
The reader should bear in mind that this is a verbatim transcript of spoken, rather than
written prose. This transcript has been neither checked for spelling nor verified for accuracy, and
therefore, it is possible that there are errors. As a result, nothing should be quoted or used from this
transcript without first checking it against the taped interview.
This is a verbatim transcript of spoken word. It is not the primary source, and it has not been checked for spelling or accuracy.
http://collections.ushmm.org
Contact reference@ushmm.org for further information about this collection
ARIE LETZTER
May 22, 2016
"
1,"This is a United States Holocaust Memorial Museum interview with Mr. Arie Letzter, on May 22™, 2016 in Woodmere, New York.",Correct.
2,Thank you Mr. Letzter for agreeing to meet with us today.,You’re very welcome.
3,And to share your experiences.,Very welcome.
4,Thank you. We’re going to start at the very beginning. I’m going to ask many questions about your life before the war.,Right.
5,"And about your family. And we’ll ask questions that have to do with factual information, as well as whatever experiences or memories that you have.",Right.
6,"So PII start with the very first, basic question. Can you tell me what your name was when you were born?","My name was Mr. Arie Letzter. I mean, Labe(ph) Letzter —"
7,Labe(ph) Letzter.,"— there, but th-then they gave me Arie Letzter."
8,"Your parents? 4 Interview with Arie Letzter May 22, 2016","No, after the war."
9,After the war?,Yes.
10,So you were born Labe(ph) Letzter?,Correct.
11,Where were you born?,I was born in Poland.
12,What place?,The city of Kolbuszowa.
13,Kolbuszowa?,Yes.
14,And where is Kol-Kolbuszowa?,Kolbuszowa is near Rzeszow.
15,Rzeszow?,Between Krakow —
16,And?,— and Rzeszow.
17,And Rzeszow.,"Rzeszéw was near th — was near — about 20 kilometers from Kolbuszowa. Contact reference@ushmm.org for further information about tis collection Interview with Arie Letzter ° May 22, 2016"
18,Okay. And was — because I’m not familiar with Polish geography —,"Right, yeah."
19,"I know, pretty much, where Krakow is, but Rzeszéw, was that in the north or the south, or to the west of Krakow, go to the east?",I don’t know exactly what is.
20,"Okay, okay.",I have to tell the true.
21,"Okay, that’s all right. And what — what’s the date of your birth?","May 18, ’25."
22,"May 18, 1925.",Right.
23,We'll talk about the differences on your documents —,Right.
24,— a little bit later.,Right.
25,But for right now you were born in — in 1925 in Kolbuszowa.,"Yes, Kolbuszowa, yes."
26,"Can you tell me what kind of a place Kolbuszowa was? Interview with Arie Letzter ° May 22, 2016","It was a small town, very small town. We didn’t have no railroad, we just had buses, which they went to Rzeszow, and then also another city, Szainszaszew(ph). Not far from us was also Milicz. Then — then there was a Majdan(ph). We were surrounded all around these things, and were — the city had about 2,000 people."
27,"So it wa — you know, a small town.","Small town, yeah."
28,Small town. It — was it mostly a Jewish town?,Ninety percent Jewish.
