num,question,answer
0,header,"http://collections.ushmm.org
Contact reference@ushmm.org for further information about this collection
United States Holocaust Memorial Museum
Interview with Gilbert Waganheim
January 13, 2015
RG-50.030*0776
This is a verbatim transcript of spoken word. It is not the primary source, and it has not been checked for spelling or accuracy.
http://collections.ushmm.org
Contact reference@ushmm.org for further information about this collection
PREFACE
The following interview is part of the United States Holocaust Memorial Museum's
collection of oral testimonies. Rights to the interview are held by the United States Holocaust
Memorial Museum.
The reader should bear in mind that this is a verbatim transcript of spoken, rather than
written prose. This transcript has been neither checked for spelling nor verified for accuracy, and
therefore, it is possible that there are errors. As a result, nothing should be quoted or used from this
transcript without first checking it against the taped interview.
This is a verbatim transcript of spoken word. It is not the primary source, and it has not been checked for spelling or accuracy.
Contact reference@ushmm.org for further information about tis collection
GILBERT WAGANHEIM
January 13, 2015
"
1,"Today is Tuesday, 13 January, 2015. We are interviewing Mr. Gilbert Waganheim at Leisure World in Silver Spring, Maryland. It is four minutes past 10 a.m., eastern time. Thank you for having the interview with us, sir. Could you please tell us your name, and when and where you were born?","Gilbert Waganheim, w-a-g-a-n-h-e-i-m. I was born in Baltimore, November 18, 1921."
2,Did you grow up there?,"I grew up in Baltimore, and — you want me to go through —"
3,Yes.,"I was in Baltimore until I went to the service in 1942. I graduated high school, Baltimore — it’s Baltimore — I’m losing the — anyway, I grew up in various areas of Baltimore. [ lived wa — 12 years old, I lived in Garrison Avenue, which is close to Pimlico race track, and I used to sell newspapers in the — in the track during race time. I grew up normal, had friends and I don’t know how — who — where do we go from here."
4,"Sure. No worries. I just want to know about your — tell us about your high school life. What would — did you enjoy high school? Do you — were you good in any particular subjects? Did you play sports? Contact reference@ushmm.org for further information about tis collection Interview with Gilbert Waganheim , January 13, 2015","Well actually, I had a difficult time. My folks weren’t yet — didn’t make much of a living, so I quit in 11"" grade, finished in night school, and went to work. I worked for a— a company that — a jobber. And I would travel to eastern shore, other places, and call on small stores that sell a variety of — of panties, socks, very — I’ve forgotten the group which you would call, but the small retail stores. And I didn’t spend much time with sports or otherwise. Actually, I was always trying to earn a living for my folks. And let’s see —"
5,Were your f— were your fol — what did you folks do?,"Well, my father was a trouser maker, worked for a shop. But he had a—a-—a-a business of, we would get bags of — of rolls, bagels and so forth, challahs, and we would deliver to homes. And after — after school I would deliver — in fact, we would — we'd deliver rolls and bread in the mornings before I went to school, and then of course he went to the shop and he made trousers."
6,Was your — were your parents born in the United States?,"No, my mother was born in Grodno, Poland. My father was born in Riga, Latvia."
7,Okay.,"And they came to Baltimore, married —"
8,"So they weren’t — did — they met in Europe, or did they meet in the States? Interview with Gilbert Waganheim ° January 13, 2015",Th-They met in the States.
9,"Okay, fair enough.","Yeah. In eastern Baltimore there was a — a — a large Jewish population, they were part of it. And that was — they met some — 1n the — in the groups."
10,Did you grow up in an observant household?,"Well, we — we — we started kosher, not strictly. But we — we appeared to — the — we — we belonged to synagogue, and we never had seafood, or — or — or non-kosher food, but as time went along — went on, we — we sort of dropped kosher and — and — although we — we’d — she — my folks would — would deal with kosher markets."
11,Right.,"But I wasn’t — I’ve never eaten treyf, I still don’t. And I met my wife in Washington — well — well in — let me — let me get — backtrack. As I said, I grew up, I have a— I had two brothers. I was the oldest. My middle brother is about seven years younger than me, and my younger brother was about 13. He died in the — well, let’s s — let’s say, after I— wh-while I was in the service, my folks moved from Baltimore to Washington. They took over a cleaning store in south Washington. So when I returned from the service, I moved, of course th — moved to Washington, and after a few years, I met my wife, and we got married and had th — Interview with Gilbert Waganheim ° January 13, 2015 we had — we have two sons, Philip and Arthur. And they eventually married and had families. And they live in Florida, both families."
12,"Let’s go back to your childhood for just a moment, okay?",Yes.
13,You said you sort of fell away from kosher slowly — or at least not strictly observant.,"Well, as I remember — let me see, I’m — I’m trying to remember now whether my folks died here — yi — well, of course they died — died in the Washington area. I — I would say, not strictly kosher. Well, the — I didn’t — I didn’t — I don’t remember — well, I’ve never eaten treyf food."
14,Sure.,So-
15,Where — where I’m going with this is —,Yeah.
16,"— I’m just wondering, growing up in Baltimore —",Yes.
17,"— in eastern Baltimore, and this, was it simply a — a conscientious decision on the part of your family and your family alone, or did you feel certain pressures from assimilation? Did you feel anything — Contact reference@ushmm.org for further information about tis collection Interview with Gilbert Waganheim ‘ January 13, 2015",No — as far as food?
18,Yes.,"No, not really."
19,Okay.,I would say they stayed kosher throughout.
20,Okay.,"So I guess it wasn’t til I came to Washington, that when I married, I — I wasn’t strictly kosher."
21,"Sure. There are — I’m — I don’t recall whether or not we covered it, but please state to your date of birth.","November 18, 1921."
22,"Thank you. Okay, so just overall, how would you describe your childhood? Did you enjoy it? Did you — did you like your childhood? Was it rough and tumble and urban, or was it more, perhaps sheltered and quiet? Or how would you — overall, how would you describe your childhood?","Normal. I had friends, and through school I — I had none non-Jewish friends. In — when I was around 10 years old, we licked — lived in a mixed area, and I recall that we had — we had ballgames between Jews and Gentiles."
23,"Okay. Interview with Gilbert Waganheim ° January 13, 2015","And I didn’t really socialize with non-Jews, and I guess I grew up in a normal — normal way. As I said though, but I was always helping my — my parent earn a living, and so I got through. Nothing — nothing outstanding, it’s just a normal — a normal life."
24,"I’m curious about the ballgames. How did they end up? Did — did — did — did the Jews and the Gentiles sort of split the wins and the losses more or less evenly, or di — were you the dominant team, or —","Well, I was very good, whether it was baseball or football. And I guess it was a mixture. Sometimes we won, sometimes we lost."
