num,question,answer
0,header,"http://collections.ushmm.org
Contact reference@ushmm.org for further information about this collection
United States Holocaust Memorial Museum
Interview with Jolanta Pawlikowski
January 21, 2015
RG-50.030*0789
This is a verbatim transcript of spoken word. It is not the primary source, and it has not been checked for spelling or accuracy.
http://collections.ushmm.org
Contact reference@ushmm.org for further information about this collection
PREFACE
The following interview is part of the United States Holocaust Memorial Museum's
collection of oral testimonies. Rights to the interview are held by the United States Holocaust
Memorial Museum.
The reader should bear in mind that this is a verbatim transcript of spoken, rather than
written prose. This transcript has been neither checked for spelling nor verified for accuracy, and
therefore, it is possible that there are errors. As a result, nothing should be quoted or used from this
transcript without first checking it against the taped interview.
This is a verbatim transcript of spoken word. It is not the primary source, and it has not been checked for spelling or accuracy.
Contact reference@ushmm.org for further information about tis collection
JOLANTA PAWLIKOWSKI
January 21, 2015
"
1,"This is a United States Holocaust Memorial Museum interview with Mrs. Jolanta M. Zurczak Pawlikowski, on January 21*, 2015, in Arlington Heights, Illinois. And thank you very much, Mrs. Pawlikowski, it’s been a long day. We’ve just had an interview with your husband, and I very much appreciate that you have allowed us, and decided to share part of your story with us as well. Thank you. So I'll start the way we did before. Please tell me what was your name at birth.",Jolanta Maria Zurczak.
2,Zurezak. And where were you born?,I was born in Swieciechowa Powiat Leszno Wojewédztwo Poznanskie. That means I belonged to the Poznan territory.
3,And what was the date of your birth?,"August 23"", 1938."
4,Okay. So you were a baby when World War wa — World War II broke out?,Yes.
5,"Okay. August 234, did you say?","Yes, ma’am."
6,"So you’re also — your birthday is the ma — is the date of the Molotov- Ribbentrop Pact. , Interview with Jolanta Pawlikowski January 21, 2015",Unfortunately.
7,"Yes. So tell me a little bit. Were you born in a village, in a town? Describe a little bit about the place where you were born.","My parents said I was born in a small town. They were teaching in surrounding areas of Swieciechowa and Leszno, and I lived there until the war broke out. So —"
8,Did you have brothers and sisters?,"I have two brothers and a cousin, whom I call my first brother, because his mother, who is my aunt, my mother’s sister, died of tuberculosis in 19 — beginning of 1942. But I was raised with him. He is, I think, almost a year older than I am, and we were brought up together by my mother and my grandmother."
9,Was — were your brothers older than you? Your —,"No, I’m the oldest one."
10,You’re the oldest one?,Yes.
11,Okay.,"One brother was born in 1940 in February, and the youngest one was born in July of 1946."
