num,question,answer
0,header,"https://collections.ushmm.org
Contact reference@ushmm.org for further information about this collection
United States Holocaust Memorial Museum
Interview with Hans Ziegler
December 21, 2012
RG-50.106.0202
https://collections.ushmm.org
Contact reference@ushmm.org for further information about this collection
PREFACE
The following interview is part of the United States Holocaust Memorial Museum's
collection of oral testimonies. Rights to the interview are held by the United States Holocaust
Memorial Museum.
The reader should bear in mind that this is a verbatim transcript of spoken, rather than
written prose. This transcript has been neither checked for spelling nor verified for accuracy, and
therefore, it is possible that there are errors. As a result, nothing should be quoted or used from this
transcript without first checking it against the taped interview.
https://collections.ushmm.org
Contact reference@ushmm.org for further information about this collection
HANS ZIEGLER
December 21, 2012
Gail Schwartz: This is the United States Holocaust Memorial Museum Volunteer Collection
interview with Hans Ziegler, conducted by Gail Schwartz on December 21*' 2012 in Washington,
DC. This interview is being conducted over the telephone. What is your full name?
Hans Ziegler: My first name is Hans.
"
1,And your last name?,"My last name is Ziegler, Zed-I-E-G-L-E-R."
2,And when were you born and where were you born?,"Lam born on the 12"" of June 19 and 25 in Brno. It was the former Czechoslovakia."
3,Let’s talk a little bit about your family. Tell me about your parents. How long had they lived in Brno.,"My father, Alfred Ziegler had lived in Brno from I think he is born 18 and 86 to 19 and 42 when he was taken to the Holocaust."
4,And your mother?,"My mother is born on 24"" of November 19 and 97 in Austrova."
5,1897.,"Yes, of course. 1897, right. 1897 in Austrova, which was former Czechoslovakia. But at the age of two years, she was taken by her family to Vienna. https://collections.ushmm.org Contact reference@ushmm.org for further information about this collection Interview with Hans Ziegler 4 December 21, 2012"
6,"Tell me a little bit more about your father. What did he do, what kind of work did he do?",My mother actually was most of her time in just the family and then the war started then. She took several jobs just to make any money because she lost her husband. And —
7,"We’ll talk about that in a minute. I want to do a little bit about the pre-war, story of your family. What did your father do?",My father was actually the owner of a factory for textile.
8,"Did you have any siblings, any brothers or sisters?","I did, I do not have any brothers or sisters. And my father was beside of that, the counsel of Uruguay, of Republic of Uruguay."
9,Your father?,Yes.
10,"What did he, how —","Ok, he was the owner of the textile fabric, but he was actually a, also a counsel of the republic of Uruguay."
11,How did that happen? What was that about?,He just applied for it and he got the job.
12,"Did he go there at all? https://collections.ushmm.org Contact reference@ushmm.org for further information about this collection Interview with Hans Ziegler 5 December 21, 2012",Pardon.
13,Did he go to Uruguay at all?,"No, he was never there. He was just a—"
14,Representative?,"A representative, yes."
15,For textiles or for everything?,"No, no, no. The textile business was, is not dependent on his, on his counsel. It was the counsel actually is diplomatic, he has diplomatic job so this is a honored counsel, yes."
16,I see. And did he spend a lot of time doing this work for Uruguay.,"Oh of course he did, yes. He actually was the consulate was in Brno and actually the main office was in Prague."
17,What religion was your father?,He was Jewish.
18,And your mother?,She was Christian.
19,"She was Christian. And growing up, you went to elementary school. https://collections.ushmm.org Contact reference@ushmm.org for further information about this collection Interview with Hans Ziegler 6 December 21, 2012","I, went to yes I did yes. I was in elementary school for five years and then I was in what we call gymnasium, here in Europe yes. And at the gymnasium I was for four years. And then I continued at, actually at chemistry school. It was called a higher chemistry school for four years. So actually I attended school for 18 and a half or something years."
20,"When you were growing up, did you consider yourself Jewish? Were you raised that way or raised as a Christian?","No, no, no. Actually I was raised more Christian because, actually my father and my mother got in 1934 divorced, yes. And then I lived from 1934, I lived just with my mother, my Christian mother. And so actually I was educated more in the Christian way."
21,Did your father have a big family?,"Oh yes, my father had a very big family."
22,Did you know these relatives? Did you —,"Yes, of course I know. Do you want his father and his mother, my grandfather and my grandfather?"
23,"You mean the names, that’s fine, yes. What are their names?","Ok my grandfather was David Ziegler and David Ziegler was actually the owner of the textile factory. Yes. And my grandmother was Caroline, Carolina Ziegler. Both of them were Jewish."
24,Were they practicing? Did they live openly as Jews?,"My grandmother yes, but my grandfather I don’t think so."
25,"Your father was raised as a Jew? https://collections.ushmm.org Contact reference@ushmm.org for further information about this collection Interview with Hans Ziegler 7 December 21, 2012",Yes.
26,"Was he observant at all? Did he, do you remember when you were living with him if he did any of the holidays or things like that, Jewish holidays?",He sometimes took me to the —
27,Synagogue?,"Yes and even to the cemetery and to the, to the — to the synagogue yes."
