num,question,answer
0,header,"United States Holocaust Memorial Museum
Interview with Karel Poons
October 12, 1990
RG-50.030*0183
PREFACE
The following oral history testimony is the result of a videotaped interview with Karel
Poons, conducted by Adina Conn on October 12, 1990 on behalf of the United States Holocaust
Memorial Museum. The interview took place in Amsterdam, The Netherlands and 1s part of the
United States Holocaust Memorial Museum's collection of oral testimonies. Rights to the interview
are held jointly by Adina Conn and the United States Holocaust Memorial Museum. The interview
cannot be used for sale in the Museum Shop. The interview cannot be used by a third party for
creation of a work for commercial sale.
The reader should bear in mind that this is a verbatim transcript of spoken, rather than
written prose. This transcript has been neither checked for spelling nor verified for accuracy, and
therefore, it 1s possible that there are errors. As a result, nothing should be quoted or used from this
transcript without first checking it against the taped interview.
KAREL POONS
October 12, 1990
"
1,Please tell us your full name.,Full name? Karel Poons.
2,Where and when were you born?,"In Amsterdam, 14th of August, nineteen hundred and twelve."
3,"Can you tell me about your childhood, about your parents?","Well, we were...there was five children. And I was the youngest one, so I was spoiled from the beginning. And it was a very nice, nice family. It was old-fashioned, but not too much old-fashioned.... My mother died when I was sixteen. Then we spread, and I went with my eldest sister. And I went uh to school again, because I didn't know what to become...I didn't...I didn't want to do anything. There was nothing I liked to do, you know? And, uh, so I first had a...I worked with the um...uh, American company there, telegraph company, and I learned to type blind; and at that time uh there was a girl, and she said to me, ""You must come to...I, I'm dance...I do a little bit dancing, and we have a performance in in the theater in Amsterdam. You must come and have a look."" And then I did that. And I knew from that moment what I wanted to become, because it was very advanced ...uh modern dance, at that time. It was in '30. I was about eighteen, I think. And there were a lot of men--about twenty men, I thought--in that choir, you know; but, uh, dance...dance. And it was very interesting. A woman who...I, I went there the next day, and I got my class...amateur classes because I was still at, uh, Cath...uh, Catholic school. Because my father was bookbinder, had an office in house (ph). My brother was printer; and so I thought, ""Well, ...."". And then I got an, after three years I got a marvelous job. And then in between I learned what dancing was, a little bit; and a woman, |Florrie Hodlechko (ph)|, she asked me to become professional. And I said to her ""I, I have no money for that."" ""Well,"" she said, ""I do it for nothing."" And so I started. I started the same day, perhaps a name will say something in America. [Lucas Offing (ph)], a very famous dancer in America, and in Holland too; he was...we started the same day dancing with this woman."
4,Can you back up a minute? Can you tell me the names of your siblings?,My what?
5,Your brothers and sisters.,"My eldest sister was uh called Sarah, and she was married to a nephew. And my second sister, Mariam, was also married, with one child. And the third one was Elise, Elizabeth. And I had one brother, Leo."
6,Do you have any particular memories of your childhood?,"Um...well, in in what way? I was very fond of my youngest sister, who died very young. And my brother, I had...I had no contact with him. He was six years older than I was, and never came to see us as a brothers. So, I.... After the war, one sister uh survived--my second sister--and then then we became good friends."
7,What about your friends when you were growing up?,Huh?
8,Your friends...do you remember any certain relationships?,"Oh yes, of course...[ have uh friends. I had a lot of friends then already, and uh...gosh...at my school I had two friends and one had two sisters. They all went to Palestine... Palestinia. And another friend I remember very well, because he (laughing) phoned me yesterday. After that I didn't see him for forty years, he phoned me--because of, uh, of TV. I was in it last Tuesday, and he saw my name and he phoned me."
9,"What did you do when you were younger? What kinds of games did you play, or activities did you participate in?","I have not the slightest idea. When I was about, uh...I think, thirteen or fourteen, I went into, um, theo...how do you pronounce that? Theo...theosophist, theosophic society...youth."
10,Philosophic?,"Not philosophic. Theosophic. That's...you cannot help. I can't...a certain kind of uh....yah, it is very difficult to say it...a kind of certain way of life. And there were all kinds of ...lots of ceremonies which I liked very much. My family didn't like it so much, but you were[n't] afraid to do what you wanted."
11,Can you describe the kinds of ceremonies?,"Oh, yes. It was called, uh, '""Tafel...,"" ""Table Round."" You know, King Arthur and Table Round. So there were twelve youngsters and one, uh, woman who was the leader of this. And we had to say all kinds of things, and we talked and we talked and we talked. I had a lot of, uh, good memories of that time."
12,Can you tell me more about it? Were you a certain character? Was there something in particular that you talked about?,"No, no...about everything in the world, you know? Certainly about being, uh, un...un, uh...unprejudiced, things like that. Uh, from a difficult life, and to be good man."
13,"Did you portray any of the characters at the time? Did your friends, any of the Arthurian characters that you just described?",I don't understand you.
14,"When you were talking about King Arthur and the Round Table, did each one of you play one of the characters?","Oh no, no, no, no. We were just dressed in long robes, our...all the same."
15,And where would this take place?,"In Amsterdam, in a big house. This woman was the wife of a doctor. She had a big house in the eastern...east of the city."
