num,question,answer
0,header,"Contact -eference@ushmm org for further inforpetton about this collection
United States Holocaust Memorial Museum
Interview with Edith Levy Weinstein
May 18, 2015
RG-50.030*0814
https://collections.ushmm.org
Contact reference@ushmm.org for further information about this collection
PREFACE
The following interview is part of the United States Holocaust Memorial Museum's
collection of oral testimonies. Rights to the interview are held by the United States Holocaust
Memorial Museum.
The reader should bear in mind that this is a verbatim transcript of spoken, rather than
written prose. This transcript has been neither checked for spelling nor verified for accuracy, and
therefore, it is possible that there are errors. As a result, nothing should be quoted or used from this
transcript without first checking it against the taped interview.
Contact reference@ushmm.org for further information about tis collection
EDITH LEVY WEINSTEIN
May 18, 2015
"
1,Good morning.,Good morning.
2,"This is a United States Holocaust Memorial Museum interview with Mrs. Edith Levy Weinstein, on May 18, 2015, at the United States Holocaust Memorial Museum facilities, here in Washington, D.C. Thank you very, very much Mrs. Weinstein, for agreeing to come and speak with us today, to share your story, to explain a little bit about what your life was like, and your family’s life was like in Germany, before the war, and some — and during the war. Okay, so I’Il talk a little louder. I’m going to start at the very beginning, and we’ll talk an awful lot, as I said a little bit earlier, before we started filming, about what life was like pre- war. So the very first, basic question I’ve got is, can you tell me the date of your birth?","Yeah, January 20, 1932."
3,What was your name at birth?,"At birth, Edith Levy."
4,Edith Levy.,Yeah.
5,"And where were you born? Contact reference@ushmm org for further information about tis collection Interview with Edith Weinstein : May 18, 2015","In Treuen, Vogtland, Saxon."
6,Saxon.,Yeah.
7,"Okay, Treuen, you said?",Yeah.
8,T’,"T, like Tom, r-e-u-e-n."
9,"T like Tom. Okay, so Treuen.",Yeah. Yeah.
10,"It means — in German that would mean loyalty, or something like that.","I don’t know, it was Treuen."
11,"Treuen, okay.",That’s was I — was I born.
12,"Okay. Was it a big place, or a little place?",It was a little city.
13,"It was a little city, okay.",Yeah.
14,"And Saxon is where, in Germany? What part of Germany is that in?","It’s the east zone. Contact reference@ushmm org for further information about tis collection Interview with Edith Weinstein ° May 18, 2015"
15,Okay.,"It’s down there, not far from Hove, not far from Erzgebirge, not far from the Czechoslovakia."
16,So it’s near the Czech border?,"Yeah, but I think two, three hours from the Czech border. People used to go to [indecipherable] up there. You know Chemnitz?"
17,Yes.,Zwickau —
18,Yeah.,"— Leipzig, but far in, very deep Germany."
19,I see. How far was it from Berlin?,Six hours by car.
20,"Six hours by car, that’s —",Three hours to Leipzig.
21,I see. Was it east or west of Leipzig?,It’s the east zone.
22,"I know, but Leipzig, was it east —","Oh, I don’t know."
23,"You don’t remember. Contact reference@ushmm.org for further information about tis collection Interview with Edith Weinstein ° May 18, 2015","I—I was young, I never — I don’t know east or the we — I know now here."
24,Okay. And were you the only child in your family?,"No, we are seven children."
25,"That’s a lot, seven children. Are you amongst the youngest, or the oldest?","No, I’m the second oldest."
26,"So let’s — let’s go through the list a little bit, the — of all the children, and if you remember the years they were born.",Oh yes.
27,"Okay, so who was the oldest?","My oldest sister is Ruth Gdanski. She passed away. She’s born October 14, 1929."
28,"Okay, Ruth Gdanski.",Yeah.
29,And then came you?,"Yeah, then I come."
30,"And then, who came after you?",Anita Blanker.
31,Okay.,"She’s born January — October 20"", 1933. Contact reference@ushmm.org for further information about tis collection Interview with Edith Weinstein ‘ May 18, 2015"
32,Okay. Then came?,"My brother, Harry Levy. He’s born April 10, 1935. Then my next brother is born March 18, 1937, and my next brother is born July 224, 1939."
33,His name?,"And then — oh, Heinz Levy."
34,Heinz Levy.,"And then I had a sister, she’s born April 22"", 1943, that’s it."
35,It’s a lot. It’s a lot of — a lot of siblings —,Yeah.
36,"— during a very — a very turbulent time. So, tell me a little bit about — well, first we'll start with the basics again. Your father’s name was?",Leonhardt Levy.
37,"Leonhardt Levy. And when was he born, do you know?","Yeah, he is born September 26, 1907, in Wolkenstein."
38,And Wolkenstein is also in the east zone?,Yeah.
39,Okay. Was it far from Treuen?,"Yes, that was about, I think, 20 kilometer."
40,"Twenty kilo — kilometers. Contact reference@ushmm org for further information about tis collection Interview with Edith Weinstein ° May 18, 2015","Twenty kilo — kilometer. I — I think at least it was, walking like almost two hours there."
41,"Okay, wow.",It’s a bigger city. He — he’s born there.
42,Okay. And your mother’s name was?,"Charlotte Levy, Hendel."
43,Hendel was her maiden name?,Was her maiden name.
44,So it was Charlotte Hendel —,Yeah.
45,— at birth.,Yeah.
46,And when was she born?,"She was born April 26"", 1913."
47,So she was seven ye — six years younger than your father?,"Yeah, yeah."
48,And she was a very young bride then —,Oh yes.
49,"—1f she was born in 1913 — Contact reference@ushmm.org for further information about tis collection Interview with Edith Weinstein ” May 18, 2015",She — she — she — she was really young. Young and dumb.
50,"So, if your sister was born in 1929, your mother was only 16 years old.",Yes.
51,My goodness.,But th-the other story already begins.
52,"So, let’s talk about that a little bit, to th — your fa — was your mother Jewish, as well as your father?","No, my mother was Gentile, Protestant, and my father come from a very Orthodox family."
53,"In Germany in the 1920s, and they got together.",Yeah.
54,Tell me how they — how they met.,In [indecipherable] ask me — 1n a sportsverein(ph).
55,Really?,"There were — they were swimmers, and you know, very active"
56,A sportsverein(ph) is a sports association.,Yeah.
57,"Okay. And they met while sw — you know, being part of a swimming group?","Yeah. Contact reference@ushmm.org for further information about tis collection Interview with Edith Weinstein "" May 18, 2015"
58,"And he was then — he would have been 21 years old, or 22 years old.","Yeah, I guess so, I never figured that out. But he —"
59,"So, he was also young.",Yeah.
60,"Okay. Did — so that’s — that’s how they met, their worlds met.",Yeah.
61,Okay. Tell me a little bit about your father’s Orthodox family. Were there many brothers and sisters in that family?,"Yes, he had two more brothers, and one sister."
62,"Was he the youngest, or oldest, do you think?","No, I think he was the second oldest."
63,Okay.,"The second oldest. He had a brother Harry, who got killed in — in the Gestapo — he went first — that’s ahead, everything is like, messed up."
64,"Sure, okay.","Hi-Him — my father and my — his older brother, they were in 1938 already, in the concentration camp in Buchenwald."
65,We'll — we’ll talk about that in a little while.,"You see, I — like I says, it’s — Contact reference@ushmm.org for further information about tis collection Interview with Edith Weinstein "" May 18, 2015"
66,"Yeah, yeah. It comes — it comes all together. Right now we’re just —","Yeah, okay."
67,— kind of getting the I.D.s down.,Mm-hm.
68,"So, his — your father’s name, again, was?",Leonhardt Levy. Leo Levy.
69,Leo Levy. And his older brother was?,Harry.
70,Harry. And he had another brother?,"Yes, ah — oh, I forgot now. Harry — Harry and — oh, I just forgot now what is —"
71,It’s okay.,I have in a paper.
72,Okay. And your — and he had a sister?,"Yeah, that was Edith."
73,Edith.,Yeah.
74,"All right. And they came from an Orthodox family. What did that mean in Germany at that time? Contact reference@ushmm.org for further information about tis collection Interview with Edith Weinstein "" May 18, 2015","At that time? In Wolkenstein, there was a lot of — and even in Treuen, a big Jewish community."
75,Uh-huh.,"On — and what I mean, I — I remember — see, that I have to tell. Whe-When my mother got pregnant, his mother sent my father to Argentina, not to marry my mother. But my father came back on the boat. He got — earned his way back shoveling coal, and — and he came back to Germany, to marry my mother."
76,"So, your father wa — when she got pregnant with your sister.",Yeah.
77,"When she got pregnant with your sister, his mother sent him away.",To Argentina.
78,To tina — to Argentina. Did you ever know your grandmother from this —,"Yes, I did."
79,From her si — what was her name?,Augusta Levy.
80,Augusta Levy.,Yeah.
