num,question,answer
0,header,"http://collections.ushmm.org
Contact reference@ushmm.org for further information about this collection
United States Holocaust Memorial Museum
Interview with Paula Blue
August 7, 2009
RG-50.030* 0537
This is a verbatim transcript of spoken word. It is not the primary source, and it has not been checked for spelling or accuracy.
http://collections.ushmm.org
Contact reference@ushmm.org for further information about this collection
PREFACE
The following oral history testimony is the result of a recorded interview with Paula Blue,
conducted on August 7, 2009 on behalf of the United States Holocaust Memorial Museum. The
interview 1s part of the United States Holocaust Memorial Museum's collection of oral testimonies.
Rights to the interview are held by the United States Holocaust Memorial Museum.
The reader should bear in mind that this is a verbatim transcript of spoken, rather than
written prose. This transcript has been neither checked for spelling nor verified for accuracy, and
therefore, it is possible that there are errors. As a result, nothing should be quoted or used from this
transcript without first checking it against the taped interview.
This is a verbatim transcript of spoken word. It is not the primary source, and it has not been checked for spelling or accuracy.
http://collections.ushmm.org
Contact reference@ushmm.org for further information about this collection
PAULA BLUE
August 7, 2009
"
1,"Paula, tell me — I need you to tell me where — where were you born?",I was born in a small town named Constance in Germany.
2,What year were you born?,1928.
3,"And wha — when you were born, you — today your name is Paula Blue, but what was your given name in —",My name was [indecipherable] Paula Regina Goldlust.
4,"Paula, okay.","Yeah, Paula."
5,"And in 1928, describe to me — in the later years, when you remember, as early as you remember, what it was like in Constance.","Constance being a smaller town, there was a — a Jewish community, synagogue, Jewish life. Jewish schools, teacher. And the — as I said, our Jewish community was quite active, and the — and the children were at that — at that time, we went to public school, and Hebrew school."
6,"Would you say you-your parents were very religious, or moderately religious?","My mother was leaning towards really rel — quite religious. My father was more to a lesser degree. But he kept ko — kept kosher, as far as possib — as far as I remember. Interview with Paula Blue : August 7, 2009"
7,You kept kosher?,"Yes, mm-hm."
8,"Your parents, what were their names and birthdates, if you remember them?",What were their names?
9,Their names and their birthdates.,"My father, I think was May 30"", 1896, and my mother March 24"", 1894."
10,Your father’s name was Bernard?,Bernard.
11,And your mother?,Manya.
12,Where were they born?,They were born in Poland.
13,Do you know the towns?,"I believe was a small town near Kielce, or something like that."
14,Did they come from large families?,"My mother had a — yes, actually, I believe so. And I don’t know, I don’t remember how many brothers and sisters they had. But the —- my mother’s family may — they emigrated to Canada, brothers and a sister, and nothing but three brothers em-emigrated to Canada, to Toronto. Interview with Paula Blue ° August 7, 2009"
15,Do — do you know when they emigrated?,I don’t know —
16,[indecipherable],"20s — oh yeah, through the 20s or late 20s, so in the 20s somewhere."
17,"Your father was still considered a Polish citizen after he moved to Germany, or did he —","No, no, he was considered stateless."
18,"He was considered stateless, okay. And —","And in Germany, who — whatever the — the head of the household is the whole family considered stateless, takes on the nationality of the husband and the father."
19,What did your father do?,"He had a business, a clothing and tailoring."
20,And would you say you were a prominent Jewish family in the community?,"Moderately so, yes, we were, yeah. Belonged to — I mean, everybody belonged to the synagogue in the Jewish community, or what they call the gemeindehaus, which was community center."
21,"As far as siblings, you had an older brother. Can you tell me his name and his birthdate? Interview with Paula Blue ° August 7, 2009","He — his name — my brother’s name was — was Leo Goldlust, and he was born October 7, 1924."
22,"Do you recall early childhood with Leo, being able to roam freely in the streets, do things?","Early on, yes, yeah, yeah. Let’s say until — let’s say 30 — as I recall, °36 - °37, we — not freely. I mean, there was always the fear of — of Nazi. We’d play Juden and so forth and so on. But we went to school in [indecipherable] to public school, he went to public school and I went to public school and they — there were a few Jewish children. There was another Jewish child — girl in my class. Boys and girls went to separate schools, and the — it — it was so-so. I mean, the other children greeted the fuehrer and so forth and so on and we — we were sitting, I mean Jewish — Jew children — Jewish children, we were sitting in the seats, we didn’t get up. Whatever, whatever, the — but the — but otherwise we were mostly together with other Jewish children."
23,When earlier on I asked you about your father leaving Poland.,Mm-hm.
24,Do you recall why he left Poland’?,I don’t know.
25,"It’s a hard question because — Contact reference@ushmm.org for further information about tis collection Interview with Paula Blue ‘ August 7, 2009","I [indecipherable] I don’t know, he left — probably — he had an uncle there, in Germany, which — you know, so he — the reason why, I — I don’t know."
26,"Once he was in Germany, did he ever travel back to Poland?",No.
27,And did you —,"No, he lost Polish citizenship. I think he left across the border illegally, or came to Germany illegally, or left Poland, or whatever. I — I don’t know exactly, but we were stateless, we were not Polish citizens."
28,"When you — when we first were talking earlier with your son, he mentioned that Constance is literally on the Swiss border.",It is.
29,You can walk back and forth.,"Right, mm-hm."
30,"Before the war, do you remember being able to do this? Do you remember people being able to cross the border —","Oh yes. Yes, we did."
31,"And was there a thought that your parents might try fleeing over the border into Switzerland’? Interview with Paula Blue ° August 7, 2009","Switzerland was closed. I mean, if they didn’t — 1f they wouldn’t — wouldn’t accept Jewish refugees, very, very few. But they immigrate — to immigrate into — to Switzerland was quite impossible, apparently. But we did cross the border, was a — was one — one Jewish community for — at a certain time, but they became — as things became worse in Germany, the — the Jewish community in — in Switzerland [indecipherable] remained — remained by themselves."
32,"And they re — they remained intact, but in Constance the —",People started —
33,— people started to flee?,"Yeah. People started immigrating to — to United States, to Argentina, to wherever. Where there was any — any opening to go to — to — at that time to Israel, which was Palestine at the time, if they were lucky enough to get there."
34,"Tell me about your f— your recollections of Kristallnacht, the November pogroms of 1938.","November pogrom, 1938, a — a — that’s very early they were — they came into the nac — I don’t recall. It was quite, quite early and they — two Gestapo came in, and they took my father, they went through the apartment, didn’t do that — that much damage, but they were looking for a — was later on my father mentioned the things, they were looking for literature, for books, which not — which were forbidden to Interview with Paula Blue ” August 7, 2009 read. And the — and so forth and so on, but then — but then when I woke up they had — they had just left with my father."
35,They took your father with them?,Right.
36,They arrested him?,Yeah.
37,Do you know where they took him?,"Gestapo headquarters, we — we assumed, and from there to Dachau. The — all — all the Jewish men were taken to — were arrested the same — that same night or morning, early mornings."
38,"How long was he in Dachau, do you know?","He came back — I re — I recall he came back Hanukkah time, which must have been about four or six weeks later."
39,"So, just to clarify, he was arrested on Kristallnacht, which was November —",Just November 10.
40,"— ninth, 10"".",Right
41,"Came back around Hanukkah, so perhaps he was detained for a month, or — Interview with Paula Blue "" August 7, 2009","Sounds right. And then they started releasing peop — men and — slowly, with the provision that they would leave Germany within, I don’t remember was six weeks, or six months. I’m assuming it was six months because my father left in June of 1939."
42,How did they —,So they had to leave. They had to leave Germany.
43,How did he leave?,"He left — there was an opening — England had an opening for the a — as I recall, I — I think I’m correct about it, for men being released from — from the camps, there were other camps, Buchenwald was one of the camps, Sachsenhausen, there were other camps that they took the [indecipherable] men, the Jewish men there. And they — so England opened up for those men that were released, without their families, and the — they — there was a camp, called Kitchener camp in — in England, near London [| presume it was, that housed — housed the men. And the — my father tried, of course, to — the separation was supposed to be brief, but to bring us there, but war broke out in le-less than six months later and that — that was the end of that for us. Interview with Paula Blue "" August 7, 2009"
44,"Back up a little bit, and just explain to me. He left in June of 1939, and at that point, had he — had your family tried to get on the quota to go to a different country?","Oh yes, my — actually we had a very eva — to the United States. There was a — which we fell under the Polish quota, where my — my father was born, and it was a very — very — and I believe my father [indecipherable] qui-quite early with the American consulate, which was in Stuttgart, I believe. And the — but — but it was very slow, slow moving. It was a quota, so —"
45,So he had applied for —,"And we had — we had papers for the — my father’s cousin in New York who sent papers, but American consulate was slow in — in — in giving out papers — visas for families. Many of them — some of them made it, some of them don’t. Many, many did not."
46,So you remained with your mother in and Leo after June of 1939 in Constance.,"Right, right."
47,And how was the situation in Constance for you? Were you still going to school?,"No. 1938 we — Jewish children couldn’t go to school any more. So also there were pe — many Jewish families had left already, and there were few Jewish Interview with Paula Blue "" August 7, 2009 children left, actually, and they — we didn’t go to school. There was a — the teacher and the — the cantor, he — they left for a — the U.S., and the — so, there was some [indecipherable] teaching there in the Hebrew school, but we were very — not too — not a great deal, put it this way."
48,"How did you feel day to day? What was feeling in your household, what was the feeling [indecipherable]","Well, we were very — a — it was rather a desperate situation. W-We couldn’t — we didn’t get any more mail from my — from my father, we were cut off. Did get some mail from — to Switzerland. Somebody smuggled it in, or from — from a neighbor that we wrote to, but we were pretty much cut off."
49,"His business gone, taken from him.","Business gone, right, mm-hm."
50,So what were you living on?,"I don’t — I —I don’t know. There must have been a — there must have been a — some kind of a thing, because we — we did — I mean, we just existed, I mean, put it this way. My mother and Leo and myself."
51,"What did your mother do — do during this time period, just work on trying to get you out?","Just trying to get us out. Interview with Paula Blue : August 7, 2009"
52,And —,"And then — well, it was a — at an earlier time there were kindertransports, which I — I don’t know when they were, you know, the hope that we could leave as a family was always present, which you know, obviously has not come about."
53,And when did it change for you again? What was the next thing that happened?,"A — well, the situation was quite — was in — quite desperate, I would say."
54,It was —,And when the war broke out —
55,It was quite desperate?,"Yes. And the — after war broke out, and well, in 1940, all the Jews from that area ca — bordering France were deported to Camp de Gurs in France."
56,"This was October, 1940?","In October, that’s the — October 19 — 1940 — October 2274, 1940 was the day that the —"
57,How did you travel from there to — from Constance to Camp de Gurs?,"To Camp de Gurs it was, you know, a — I remember being places, but I don’t remember how — how I got there. This — some like a vague — vague memory of it. It was a train, I don’t remember if they have benches or anything. Did have benches, Interview with Paula Blue "" August 7, 2009 but a — along the side of the — of the wagons. But it was not — 1t was not the — you know, it was a regular train, actually. That kind."
58,Were you with other Jewish — German Jewish refugees?,"Yes, from the same town, right."
59,[indecipherable],"Were deported from the — I don’t remember how many people were fe — from — from our town. And they — from the whole area which is called Baden-Pfalz, which was like here — here you would call it a state, or a subdivision that they wanted to make — make that area Judenra — Judenfrei. So the — the first — that was the first deportation from Germany, actual —"
60,Can you translate what you mean?,To make it free of Jews.
61,"When you were gathering things, because you were forced to leave, your mother and you and Leo, what did you do at the house, what —","We — oh, we lived already three families in one, Jews had to start living into one area, on one street. Anyhow, I suppose that was the — the plan to — to make it easier, I suppose. And we lived in — with another — with other three families in one large apartment, which I walked in, by the way, in May, when we were in Constance, which was pretty — quite traumatic, actually. Interview with Paula Blue : August 7, 2009"
62,This past May”?,"This past May, right."
63,"How did you feel, standing in the apartment?","A — difficult to describe. It’s — it’s — it’s still with me. So we were — Gestapo — again Gestapo came and the — un — unexpected, unexpected, I mean. But the to -- about 15 - 20 minutes, I remember one of them leaving, pushed Leo, says hurry up, hurry up, schnell, schnell. And we were taken out of the apartment with very small — whatever small baggage or luggage, whatever, whatever people took with. And we were assembled at, I think it was the [indecipherable] it was the train station. I don’t recall exactly."
64,Did you know where you were going?,No idea.
65,Did they tell you [indecipherable] France.,"No, people — people did not know where we were going. I remember Leo talking and he — talking to someone — he was quite bright. He knew which direction we were going, but we didn’t know we were going east or west. So people are going — were hoping we’re going west, at least. And —"
66,You arrived in Camp de Gurs in France.,"In France. Interview with Paula Blue ""° August 7, 2009"
67,In the internment camp.,Mm-hm.
68,Describe your experiences when you first arrived.,"We were taken from the train, as I recall. We were taken from the trains onto camion — trucks. And the — we were pretty — from — from the same community, actually, we were together. And the — that was long way. I believe the Germans probably had an — had a — had — they don’t need the consent, but they — Vichy, France accepted, or had to accept the Jewish refugees from there. I don’t remember how many there were from the whole area [indecipherable] from larger cities. And there were quite a few — quite a few children actually there. In Constance there were not too many children, there was just Leo, myself and Hootie(ph) and another child was there actually, or teenager, in this — left in the city of Constance."
69,So you — it took days to get to Camp de Gurs?,"We — I-I don’t remem — probably two or three days, something like that, because we stopped, I think. As I learned later on, there was — we didn’t — Vichy, France didn’t want to accept us, and they — the Germans, you know, tried to — I mean Vichy didn’t have much chance there. So in — we went to the — got to the internment camp of Gurs, and it rained and it was miserable, and we were taken by truck, and then they — first, old men out to — so — so [indecipherable] Simon Interview with Paula Blue "" August 7, 2009 [indecipherable] was a cousin to my father, he Hootie’s(ph) — Hootie’s(ph) father, and they — I remember my mom saying please, please take care of my child, this I remember. And ... and Leo got off with the men, and we went on, and I was pretty desperate at that point. And then they had ilot in Gurs, separate ilots which were barbed wire with some of them double ba — between el — ilots, I think was double barbed wire, between the ilots. And with the French — first it was fr — I believe it was French army actually, then they changed to Vichy, to the Milice, which was the pr — Vichy — Vichy police, they were guarding us at the time. And the —"
70,You — were you with your mother [indecipherable],"I — first of all with was my mother, and then they separated the children up to the age of 14, separate —"
71,How did you see your —,"We were in the same ilot, so it — I— I could s —I could see my mother."
72,"When you says ilot, is it —",Ilot means the — each separate entity that was surrounded by — by barbed wire.
73,So multiple barracks.,[indecipherable] an ilot was — I don’t know how many barracks was in each one.
