Question,Answer
"Q: Would you tell me your first name, please?",A: My name is Josef.
Q: Where and where were you born?,"A: I was born in Vienna in 1915 -- June 25th, 1915. And after a few years, when I was a little boy, my parents moved back to Poland and -- before World War I. This was Galicia. And I was living in the town of Przemysl, and I went back with my parents and I living in Przemysl. This was my town."
"Q: Ok, tell me about your parents. What did your father do?","A: My father, he had a small grocery store, like small cafeteria, and he worked with my mother in the store. And --"
Q: Did you have brothers and sisters?,"A: Yes, I have one sister, and I have four brothers. So it -- how many? Three brothers, and I was the fourth one -- and one sister. Together, five children. And we went to school in Przemysl, and my sister was going to the school in Przemysl until war time. And my older brother, after graduation from high school, he went to Italy, to Bologna. He was studying medicine there. So we were home. And after he finished the studying, he was still working in Bologna.He was a scientist, and a very good physician."
"Q: Ok -- what, tell me -- let's bring it back to you, ok, since we want to focus on you. Tell me, you have a family, it's -- you're growing up in the town of Przemysl. Did you go to -- what kind of activities did you take place in? Were you in Jewish school? What kinds of --","A: No, when I was in high school -- first of all, when I was in public school, how my life start? I went one time with my father to a dentist, and I look around and I said, ""I would like to be a dentist."" So my father look at me and said, ""Ok, if you will be a good pupil, student, you will be a dentist."" But this dentist, he was a good psychologist, and he said, ""If you like to be a dentist, you can come to my office to watch after school, after homework, and you are very welcome."" And I was coming to him, and when I graduated from high school, still I was coming to him, and I was assisting him. And I learned about everything else from his work.Then when war broke up, no, that's it, I couldn't do nothing. then after war was finished. I amgoing a little too -- then I start to study in grad school, dentistry. But during the war, first when the German attacked Polish country, this was in September Ist, 1939. There was a terrible time. There suddenly became airplanes and they start to bombard people on the street. There was exactly vacation finishing, and the children, they have first day at school, and they came in this beautiful weather. The sun was shining and they was walking on the street. And suddenly came planes. You -- we didn't know. We thought this is our own planes.Very low. And they suddenly start to with machine guns killing the people on the street.Throwing bombs, was killed, terrible thing. And then we heard on the news that this is for the war. The Germans attacked Polish country. So after two or three days, there was -- the President of the Poland, he gave an order to young people to run away to east, in the direction of Russia. So we went, four brothers together in the east to the city of Lvov. We came there. It was terrible way because we were going only really walking, running, and during the day time the planes, they are going low on the way and was killing people, he refuge, the refuge -- no, the refugees. Ok, so this what happened and Lvov, when we were there a few days there came Russian and the German, they went back and they took the part of Poland and half of part of the city of Przemysl where we were living. So the city was divided by river San. One side -- east -- was Russian, and west was German. So we can see each other. And I worked there in polyclinic, but -- and during this time, when was Russian.My parents, they still were working in our place. And my brother, elder, was in hospital.And the young-- younger brothers, they were working in the place to get some work because everyone supposed to working. And then started another war. And this was in June 22, 1941, the German attacked Russia, and in a few hours later they were in our town and other they came.So it was kills. There was -- after this, the Russian came back and they was fighting about the city of Przemysl one week, seven almost days. So, in the morning, there were Russian.At night, there were Germans. And every person was hiding deep, you know, in the cellars and other, other places because we didn't know what to do. After seven days, the Russians got to go back, pulling back, and the Germans are coming. So we were -- we want-- wanted in the beginning to go with Russian, but they said they won't take us civil people. Only they was going by themselves. So we left there, and the Germans came. And after a few weeks -- this was 1941 -- they start to make orders, ghetto Jewish -- segregate Jewish people.Everybody has to work -- arbeit."" And start to be difficult life, but still we didn't know what."
Q: How many of you were together?,"A: In this time, we were four brothers together. My sister was still in Lvov, in Lemberg."""
"Q: Could you hold up the photograph of your family, please, so we can see it?",A: Yes. TECHNICAL CONVERSATION
"Q: Could you hold up the photograph of your family, please, so we can see it?","A: But I will explain who is who. So this is my father. This is my mother. This is my older brother, the physician. And this is my sister, and this is my younger brother, who were killed in the war -- like in ghetto. They took them to concentration camp. This is the mother-in-law of my youngest brother's wife. This is her mother and her father. They was together killed in 1942. Those taken to a concentration camp from ghetto. That's my close family. This is from ghetto, when we were there. We were working. This is for my oldest brother, the physician.He worked in hospital, and there was like a field hospital in ghetto -- small hospital. He was working like a physician there, and this is his ID. And this was my ID. I was working with him there, the same, given in, in the ghetto."
Q: Thank you.,"A: So in the beginning, when we were in ghetto, we have to go. We were organized. Young people -- everybody has to go in the morning under the guard to do work. So I was working with my older brother. We have to -- they took us to a special place. We were loading coals in the wagons forward and back, under heavy guard, from morning until late evening. And nothing to eat. Only you have to work in there. If you have something with you -- a piece of bread, anything -- you could have.And we work very hard. Then -- this was like in 1941. Then in 1942, they start to take so- called Aktion"" -- take people from the ghetto and make smaller ghetto. So they surround, for example, one part of ghetto. And this part people couldn't live there. They have to go to the wagon, to the train, and they was taking them out. Nobody knows where they were sent.There's only -- they're taking us another place. They will have good life working, and this and this. So the people cannot say no because there was an order. So you have to stay. So this was in 1942. 1941, they, they asked to get -- to give to them thousand young boys. But the ghetto, the -- no. In ghetto, the people who are partners like small government in ghetto, they, they was taking time. They didn't like to give the young people. They wanted to have a list of young people. So this was going to 1942. And then in the beginning of 1942, they said, ""Two thousand."" And they came. They have at least -- they came to our home, and they wanted to take me. But my younger brother, he was a little physical stronger, he said, ""No, I will go."" And they took him to the concentration labor-like camp in Lvov. And this was the young boy who they later hanged. And they took him there. He, he voluntary -- he was going because he wanted to save my life. And I was still working with my, with my parents and, Murderous campaigns undertaken by the Nazis for political, racial, or eugenic ends (German).and my brothers in ghetto. We apparently didn't know about deaths, what's happened to my brother. But my wife how she told you, she was going over there. She was in contact with us.She help us. She was working with my mother and father in this small shop. She was like our own sister, like a daughter. She was very attached to us. We were attached to her. But she was Aryan.She had no -- Catholic, so they didn't touch her. So she can go some. She was sneaking under the fences in the ghetto, and she brought something and this and this. We have contact.When they took my brother to Lvov, she was going to see him, because she was a girl and she was Catholic. She could go close and see something. He can go to the fence or something. She ask some watchman who are same day. Maybe they let her go to talk. So she was in contact with him. One thing she make arrangement with him, but she will break. He asked her that he wanted to run away and maybe she will hide him. So she has to bring him some clothes, this and this; and they make arrangement where, where he has to come to see her. And this time she came but they make special hours when she will meet him. But there was now going the military trains, and all kinds of civil trains were stopped. First, military.So it was a couple of hours, maybe two or three hours late she came, because the trains was - - she couldn't come. In meantime, he -- according to, to his agreement with her -- he left the, the camp, and he saw a woman who was similar to my wife. He came to her. And then she was not this right person. So when he was turning back, he want to go back, some watchman, they find him. They saw him. Now they took him back to, to camp. And when my wife came to see him, they told her it's too late. They hanged him. So she came very depressed."
"Q: Let's make something very clear. Slow down a minute, please. Relax. We have plenty of time. You are about 18? How old are you?",A: 24 at this time.
"Q: 24 at this point, all right. Your wife was 16, 17?","A: She was 17, yes."
Q: All right. We need to make clear that she was obviously not yet your wife.,A: No.
"Q: And that there was indeed -- because she was Catholic, you would have tended not to think in those directions.","A: No. She was only very, very attached to us. She was like a relative. We, we love her very much, and she love us very much."
"Q: Let's talk now -- I want to talk about you. I don't want her story, or her side of it. I want your side of it, all right? Your brother has been has been taken, has been killed.",A: Yes.
