Question,Answer
Q: This is a United States Holocaust Memorial Museum interview with,"A: Well, I'm very happy to do this for the Holocaust Museum."
"Q: Thank you. I'm going to start with the most basic questions, and we'll take the",A: 3-13-21.
"Q: So that would have been May 13"", 1921?",A: March.
"Q: March 13"",","A: March 13"", 1921, yes."
"Q: ""21. And where were you born?","A: I was born in Savannah, Georgia."
Q: And what was your name at birth?,A: At birth my name was Abraham Jaffee.
Q: Okay. Tell me a little bit about how it came to be that you were born in,"A: The reason I was born in Savannah, Georgia was that there was a-- a pawnshop in Savannah that was operated by a--a---an elderly Jewish man, and hewanted to have somebody take over for him in the -- you know, the daily duties. Sohe sent word out to New York that he would be prepared to move a Jewish coupledown to Savannah and get them lodging, if the -- the man in the family would takeover the running of the pawn shop. And he interviewed my father, and he felt myfather was qualified, and my father had recently been married to my mother, whocame over from Lithuania to -- I think she was encouraged to come over to meetmy father, but I wasn't there, so I don't know anything about that. Anyway, theydid get married and go -- and went down to Savannah, and s-so that's where I wasborn, and my three younger siblings were born there, too. Eventually the pawn shopturned into a large department store, and my father became the manager of thedepartment store."
"Q: Ah, I see.","A: And i-- the -- you know, and our life in Savannah was quite interesting andexciting. As a young child, I remember adventures in Savannah that -- that I reallycherish."
"Q: Well, I'm going to get -- want to explore some of those, but right now I'd like to","A: Yes, [had three siblings, and I was the oldest, and sadly I've outlived them all."
Q: Oh dear.,"A: It's -- some of them died fairly young. Two of them actually contracted illnessesin Lithuania during the very severe winters that we experienced there. One of themhad spinal meningitis, which --"
"Q: Wow, wow.","A: -- did not affect his life, other than it was a great shock to us to find out that --hewas just a little baby -- well, not a baby, but he was about two years old, or so, and --or three. And after he -- he recovered from the spinal meningitis, we discovered thathe could no longer hear anything. So he became a deaf mute. But he -- he --"
Q: What was his name?,A: Bernard.
Q: And when was he born?,"A: You know, I don't know."
Q: Okay.,A: I--I don't know the birthdays of anybody.
"Q: Okay. That's okay. I ask, but if it -- and if it's there, it's fine -- The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.",A: Yeah.
Q: -- and if it's not -- it's just to --,A: Yes.
Q: -- it's just to get a sense of --,"A: Yeah,, I wish I knew all these things, but since our family was pretty muchbroken up with all the trips back and forth, and my father losing his job as -- as aconsequence of these interruptions in our lives, we didn't have family affairs likebirthday parties, and -- and celebrations. I mean, it was just get what you could getout of life, you know, so that's why I don't -- I really don't -- I1-- I never put muchstore in anyone remembering my birthday, or -- or me remembering theirs. In anycase, he did -- he did grow up as a deaf mute, and worked, and had a family, and hada--a reasonably successful life. My brother David, the youngest, was actuallyspirited out of Lithuania as the Nazis were invading."
Q: We'll come to that. Right now I just -- I'm sorry that I interrupt.,"A: Yes, that's all right."
Q: But right now what I want to get a sense of is just who your family -- the names,"A: Yes.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.7Interview with Al JaffeeMay 21, 2016"
"Q: -- things like that, then we -- we'll explore some of these important parts of their",A: T understand.
Q: Okay.,A: Yes.
"Q: So right now we have you as the oldest, then who was the next brother in line?",A: Harry.
Q: Harry. And then --,A: Bernard --
Q: Bernard.,A: -- and David.
"Q: Okay, and how many years were there between you? I mean, were you very",A: We were approximately -- we -- each one of us was separated from the next oneby a year and a half.
"Q: Wow, close.",A: Yes.
Q: Pretty close.,"A: Very close.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.8Interview with Al JaffeeMay 21, 2016"
Q: Yeah. Tell me --,A: And I suspect that my mother took us all to Lithuania so she wouldn't becomepregnant again.
"Q: That's a rather drastic trip, you know, a lot of distance.","A: Well, my father stayed in America, so --"
"Q: Yeah. Well, we'll come to that. But let's now stop with your -- no, not stop, but",A: Her first name was -- the English version was Mildred. In -- i-in the -- in Jewishit was Miechla(ph).
"Q: Miechla(ph), mm-hm.","A: Yeah, but it became Mildred in -- in -- in English. My father's name wasMoishe, but which became Morris, and --"
Q: Were they first generation immigrants to the United States? Had they --,"A: Yes, they were."
Q: Okay.,A: First to general -- first generation.
Q: And where did your fa -- you said your mother came from Lithuania. Where did,"A: The same town they -- as a matter of fact, it was at my father's urging that mymother's sister, who was here in America, negotiated to have my mother broughtover for my father."
"Q: Oh, as a potential bride?",A: Yes.
"Q: I see, I see.","A: They may have had contact in Zarasai. I'm not sure, because eventually ourfamily got so separated, that with all the trips and spending time first with bothparents, then with one parent, you know, you lose a lot of --"
"Q: Yeah, of course. It sounds like chaos.",A: Yeah.
"Q: So y -- both parents are from Lithuania, from the same town.",A: Yes.
"Q: They've come over to the United States, your father first. Did he have siblings,","A: Yes, he came from a large family, and curiously, considering what I mentionedearlier, as just an observation, my father was very angry at his father, because he --his -- his mother was pregnant all the time, and he had a -- a large number ofsiblings. So, it's ironic in a way that I -- I think that maybe my mother felt the way The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.10Interview with Al JaffeeMay 21, 2016he felt. But i-it wa -- it was really not unco-uncommon at -- in those days for largefamilies --"
Q: Absolutely.,"A: -- to grow and grow and grow. And of course my father loved his mother somuch that she -- she started to become sickly with all the work attendant to havinglots of children, that I think he felt like that -- that -- like, you know, a lot of childrenfelt, that as they got more and more siblings, and their mothers were being --"
Q: Worn down.,A: -- worn out --
Q: Yeah.,A: -- they worried about that.
Q: Of course.,"A: So -- but my mother's family, there were a lot of siblings also. Some remained inLithuania, and some went to Russia, and two of them -- two of my mother'ssiblings went to Russia and became doctors. So --"
Q: In the tsarist times? During the tsarist regime?,"A: No, it was -- it was probably the Soviet."
Q: Okay.,"A: Yeah, because during the tsarist regime, everyone was fleeing, I d -- from whatI've heard, and I -- I have no reason to know whether it's true or not. They mainlyfeared being in the tsarist military, and being sent to fight in Japan, or some -- youknow, strange place in the world. So tha-that was the reason why a | -- a lot ofyoung Jews took off and emigrated. So --"
"Q: It's a reason I also heard. Nobody wanted to fight in the tsarist army, you know.",A: That's it.
Q: Nobody wanted to -- particularly as it wasn't their home and their fight.,A: Yes.
"Q: Did your family always come from this part of the world? I mean, this is the",A: I don't know a-a --I don't know where my grandparents came from.
Q: Okay.,"A: I--the only rumors that I heard as a child was that they -- when they could, theyescaped to Lithuania, and in fact, Lithuania is surrounded by lakes, and one of thethrilling stories that we cousins would talk about was that our various parents spent The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.12Interview with Al JaffeeMay 21, 2016nights in the lakes, breathing through straws to avoid being recaptured by theRussian military people who were looking for -- for the young men. So --"
Q: Can we cut for a second. [break] Rolling? We're rolling. Okay. So -- so Zarasai,A: Yes.
"Q: -- breathing through straws, to not be captured.","A: That's -- that -- that's -- those are the stories I've heard when I was in Lithuania,and of course to me, these were very brave people with great adventures. And I wascaught up in it, I-- you know, as --"
"Q: Of course, there's great -- they're grand stories, and it's very dramatic.","A: Yes. And survival was really -- you know, was a daily business. Whether it was ashortage of food, or -- or you're being persecuted by one group or another. Mycousin Daniel, who is my age, and was very bright, he was so happy about the factthat Japan defeated tsarist troops. Oh, he celebrated, he had little soldiers, and hewould play the Japanese knocking over the Russians. For some reason, tsaristRussia was very unpopular in the circles that I was in --"
Q: Yeah.,"A: -- which was predominantly Jewish.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.13Interview with Al JaffeeMay 21, 2016"
Q: Of course.,A: Not all -- not a hundred percent. My -- my father figure was a Polish man.
"Q: That's Zarasai, yes?",A: Pardon?
Q: That's when you're in Zarasai?,"A: When I was in Zarasai, yes."
Q: Hold that thought.,A: Okay.
"Q: We'll get there. Right now though, I want to find more out -- more about your","A: Ica--I can tell you as much as I know about my parents, which is, consideringour frequent separations, is limited. One thing I can tell you for certain is that bothmy parents had amazing senses of humor. Unfortunately, they didn't deploy it allthe time, because they were in a certain -- in certain areas of conflict. My fatherdisdained the religious community, my mother embraced it. So there was a --"
Q: Tension.,"A: -- there -- and of course, when my father took me and my brothers out on aweekend trolley ride to some amusement park, he would buy us hot dogs, and he The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.14Interview with Al JaffeeMay 21, 2016would say, do not tell your mother. You know, these were not kosher hot dogs. So --but as far as humor is concerned, my mother, when -- when we -- when we visitedLithuania, and I met her relatives, and friends of hers when she was a young girl,and they would say, oh, your mother, the greatest entertainer in the world. Shecould mimic people, and she could do skits about the tsar and the tsarina and -- ande-everyone was rolling on the floor with laughter."
Q: Is this a mother you knew? Did you recognize that?,"A: 1--I--yes, she was very creative, and she was also very intelligent. I mean, shewent to night school in America as soon as she arrived, to learn English. And shebecame so proficient at it, that she collected books, and she would read to us everynight to go -- when we were going to sleep."
Q: In English?,"A: In English. And even when we were in Lithuania, every day sh -- almost, shewould come to me and say, write to your father and tell him to send English books,because you need to keep up with your English. And she constantly corrected ourgrammar."
Q: Wow.,"A: I can remember so vividly, her look glaring at me and saying, who is her? Yourefer to me as your mother, not as her, or she. I mean, she -- she was a stickler for -- The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.15Interview with Al JaffeeMay 21, 2016"
"Q: Propriety, and --",A: -- correctness.
"Q: -- yes, yeah.","A: And it's -- it's -- has served me well, because I've written tons of material myself,and I -- you know, I --I think I learned to speak properly because of her. When Ireturned from Lithuania, and they stuck me into classes that were younger than th"
